"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"353190",456,456,2131,2943,5074,0.08524,0.03924,0.05074,4281,5809,893,1271,2164,0.03572,0.0169466666666667,0.02164,3816,11384,15200,0.15264,0.151786666666667,0.152,340,435,132,194,3027,9775,2258,3108,5366,0.09032,0.04144,0.05366,17688,59410,19435,61731,81166,0.7774,0.82308,0.81166,659,1669,2328,0.02636,0.0222533333333333,0.02328,8066,38406,46472,0.32264,0.51208,0.46472,8725,40075,84,225,0.00962750716332378,0.00561447286338116,58,83,0.00664756446991404,0.00207111665626949,142,308,0.0162750716332378,0.00768558951965066,0.54118689105403,0.566650494612192,0.590195946589649,0.155791603439555,0.468099911993708,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",104,TRUE,"modUnequal",0.394208396560445,0.081900088006292,0.385395287614475,0.0985505826184839,0.331811710268731,0.0384609806305038,0.334261675762175,0.105319112277441,0.05366,0.13578,0.2488,104,127,0.55,0.2,0.07,8,757656192,6.00464
"353541",807,807,2131,2943,5074,0.08524,0.03924,0.05074,4281,5809,893,1271,2164,0.03572,0.0169466666666667,0.02164,3816,11384,15200,0.15264,0.151786666666667,0.152,340,435,132,194,3027,9775,2258,3108,5366,0.09032,0.04144,0.05366,17688,59410,19435,61731,81166,0.7774,0.82308,0.81166,505,1669,2174,0.0202,0.0222533333333333,0.02174,6659,38406,45065,0.26636,0.51208,0.45065,7164,40075,66,225,0.00921273031825796,0.00561447286338116,43,83,0.00600223338916806,0.00207111665626949,109,308,0.015214963707426,0.00768558951965066,0.54118689105403,0.566650494612192,0.590195946589649,-0.101650165016502,0.426973250363624,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",104,TRUE,"highUnequal",0.651650165016502,0.123026749636376,0.642837056070532,0.139677244248568,0.598198520639466,0.117863898247549,0.600648486132909,0.184722029894486,0.05366,0.13578,0.2488,104,127,0.55,0.2,0.07,8,757656192,6.00464
"353901",114,114,2309,3134,5443,0.09236,0.0417866666666667,0.05443,4546,6098,1031,1286,2317,0.04124,0.0171466666666667,0.02317,3816,11384,15200,0.15264,0.151786666666667,0.152,328,481,136,188,2468,8503,2481,3222,5703,0.09924,0.04296,0.05703,17983,60392,19797,62886,82683,0.79188,0.83848,0.82683,1308,1742,3050,0.05232,0.0232266666666667,0.0305,12718,39856,52574,0.50872,0.531413333333333,0.52574,14026,41598,184,263,0.0131184942250107,0.00632241934708399,55,67,0.00392128903464994,0.00161065435838261,239,330,0.0170397832596606,0.00793307370546661,0.567110036275695,0.591168657005531,0.613293471768404,0.556065239551478,0.575022911226593,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",113,TRUE,"equal",-0.00606523955147797,-0.0250229112265931,0.0110447967242173,0.0161457457789379,-0.00548866144892624,-0.0566376740497757,-0.00427602749517564,0.00999253740039185,0.05703,0.13867,0.25331,113,135,0.55,0.2,0.07,80,409752187,6.00518
"354252",465,465,2309,3134,5443,0.09236,0.0417866666666667,0.05443,4546,6098,1031,1286,2317,0.04124,0.0171466666666667,0.02317,3816,11384,15200,0.15264,0.151786666666667,0.152,328,481,136,188,2468,8503,2481,3222,5703,0.09924,0.04296,0.05703,17983,60392,19797,62886,82683,0.79188,0.83848,0.82683,757,1742,2499,0.03028,0.0232266666666667,0.02499,8534,39856,48390,0.34136,0.531413333333333,0.4839,9291,41598,89,263,0.00957916263050264,0.00632241934708399,48,67,0.00516628995802389,0.00161065435838261,137,330,0.0147454525885265,0.00793307370546661,0.567110036275695,0.591168657005531,0.613293471768404,0.23293703214443,0.507267510461704,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",113,TRUE,"modUnequal",0.31706296785557,0.0427324895382957,0.334173004131265,0.0839011465438266,0.321105308964317,0.0393271181648167,0.322317942918067,0.105957329614984,0.05703,0.13867,0.25331,113,135,0.55,0.2,0.07,80,409752187,6.00518
"354603",816,816,2309,3134,5443,0.09236,0.0417866666666667,0.05443,4546,6098,1031,1286,2317,0.04124,0.0171466666666667,0.02317,3816,11384,15200,0.15264,0.151786666666667,0.152,328,481,136,188,2468,8503,2481,3222,5703,0.09924,0.04296,0.05703,17983,60392,19797,62886,82683,0.79188,0.83848,0.82683,561,1742,2303,0.02244,0.0232266666666667,0.02303,7248,39856,47104,0.28992,0.531413333333333,0.47104,7809,41598,77,263,0.00986041746702523,0.00632241934708399,49,67,0.00627481111537969,0.00161065435838261,126,330,0.0161352285824049,0.00793307370546661,0.567110036275695,0.591168657005531,0.613293471768404,-0.0350564468211527,0.435310433067063,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",113,TRUE,"highUnequal",0.585056446821153,0.114689566932937,0.602166483096848,0.155858223938468,0.605515844650941,0.142522486379539,0.606728478604692,0.209152697829706,0.05703,0.13867,0.25331,113,135,0.55,0.2,0.07,80,409752187,6.00518
"354948",108,108,2634,3605,6239,0.10536,0.0480666666666667,0.06239,5472,7518,1162,1506,2668,0.04648,0.02008,0.02668,3804,11396,15200,0.15216,0.151946666666667,0.152,379,560,165,247,2645,9346,3020,4040,7060,0.1208,0.0538666666666667,0.0706,16878,58131,19028,61148,80176,0.76112,0.815306666666667,0.80176,1661,2210,3871,0.06644,0.0294666666666667,0.03871,12129,38419,50548,0.48516,0.512253333333333,0.50548,13790,40629,243,279,0.0176214648295867,0.0068670161707155,70,97,0.0050761421319797,0.00238745723497994,313,376,0.0226976069615664,0.00925447340569544,0.554083885209713,0.583720228025631,0.611592497010349,0.556492073048364,0.579949427679295,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",107,TRUE,"equal",-0.00649207304836441,-0.029949427679295,-0.00240818783865149,0.00377080034633559,-0.0100040440804772,-0.0586002797083115,-0.00684874556032078,0.0078849460682846,0.0706,0.1376,0.25178,107,124,0.55,0.2,0.07,81,290878952,6.0052
"355299",459,459,2634,3605,6239,0.10536,0.0480666666666667,0.06239,5472,7518,1162,1506,2668,0.04648,0.02008,0.02668,3804,11396,15200,0.15216,0.151946666666667,0.152,379,560,165,247,2645,9346,3020,4040,7060,0.1208,0.0538666666666667,0.0706,16878,58131,19028,61148,80176,0.76112,0.815306666666667,0.80176,913,2210,3123,0.03652,0.0294666666666667,0.03123,8283,38419,46702,0.33132,0.512253333333333,0.46702,9196,40629,120,279,0.0130491518051327,0.0068670161707155,61,97,0.00663331883427577,0.00238745723497994,181,376,0.0196824706394084,0.00925447340569544,0.554083885209713,0.583720228025631,0.611592497010349,0.193136181087988,0.478129075818096,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",107,TRUE,"modUnequal",0.356863818912012,0.0718709241819042,0.360947704121725,0.105591152207535,0.361788845364671,0.0737718785490783,0.364944143884827,0.140257104325674,0.0706,0.1376,0.25178,107,124,0.55,0.2,0.07,81,290878952,6.0052
"355650",810,810,2634,3605,6239,0.10536,0.0480666666666667,0.06239,5472,7518,1162,1506,2668,0.04648,0.02008,0.02668,3804,11396,15200,0.15216,0.151946666666667,0.152,379,560,165,247,2645,9346,3020,4040,7060,0.1208,0.0538666666666667,0.0706,16878,58131,19028,61148,80176,0.76112,0.815306666666667,0.80176,664,2210,2874,0.02656,0.0294666666666667,0.02874,6679,38419,45098,0.26716,0.512253333333333,0.45098,7343,40629,79,279,0.0107585455535885,0.0068670161707155,71,97,0.00966907258613646,0.00238745723497994,150,376,0.0204276181397249,0.00925447340569544,0.554083885209713,0.583720228025631,0.611592497010349,-0.109437751004016,0.421385142328861,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",107,TRUE,"highUnequal",0.659437751004016,0.128614857671139,0.663521636213729,0.162335085696769,0.630168776371308,0.129819607830565,0.633324074891464,0.196304833607162,0.0706,0.1376,0.25178,107,124,0.55,0.2,0.07,81,290878952,6.0052
"355992",99,99,2474,3369,5843,0.09896,0.04492,0.05843,5024,6854,1020,1451,2471,0.0408,0.0193466666666667,0.02471,3865,11335,15200,0.1546,0.151133333333333,0.152,367,509,137,226,3162,10961,2680,3720,6400,0.1072,0.0496,0.064,16813,57176,18801,59782,78583,0.75204,0.797093333333333,0.78583,1462,2035,3497,0.05848,0.0271333333333333,0.03497,11840,36954,48794,0.4736,0.49272,0.48794,13302,38989,198,274,0.0148849797023004,0.00702762317576752,68,99,0.00511201323109307,0.00253917771679192,266,373,0.0199969929333935,0.00956680089255944,0.537313432835821,0.56346541688533,0.591831401965964,0.536023711810306,0.554028312050172,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",98,TRUE,"equal",0.0139762881896945,-0.00402831205017185,0.00128972102551539,0.00943710483515825,0.000101832993889994,-0.0511597970442234,-0.00526614670378189,0.010342080429586,0.064,0.14296,0.25036,98,119,0.55,0.2,0.07,82,673222307,6.0053
"356343",450,450,2474,3369,5843,0.09896,0.04492,0.05843,5024,6854,1020,1451,2471,0.0408,0.0193466666666667,0.02471,3865,11335,15200,0.1546,0.151133333333333,0.152,367,509,137,226,3162,10961,2680,3720,6400,0.1072,0.0496,0.064,16813,57176,18801,59782,78583,0.75204,0.797093333333333,0.78583,831,2035,2866,0.03324,0.0271333333333333,0.02866,7822,36954,44776,0.31288,0.49272,0.44776,8653,38989,111,274,0.0128279209522709,0.00702762317576752,59,99,0.00681844447012597,0.00253917771679192,170,373,0.0196463654223969,0.00956680089255944,0.537313432835821,0.56346541688533,0.591831401965964,0.183714400320898,0.481654005464367,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",98,TRUE,"modUnequal",0.366285599679102,0.0683459945356335,0.353599032514922,0.0818114114209636,0.355729166666667,0.0536146499909325,0.350361186968995,0.115116527464742,0.064,0.14296,0.25036,98,119,0.55,0.2,0.07,82,673222307,6.0053
