"","VE_susc","Label_testingDiff","t","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR_timeDep.2.5.","VE_symptOR_timeDep.50.","VE_symptOR_timeDep.97.5.","Intercept_coef_timeDep_VeOR.2.5.","Intercept_coef_timeDep_VeOR.50.","Intercept_coef_timeDep_VeOR.97.5.","VacStatus_coef_timeDep_VeOR.2.5.","VacStatus_coef_timeDep_VeOR.50.","VacStatus_coef_timeDep_VeOR.97.5.","TimeStep_coef_timeDep_VeOR.2.5.","TimeStep_coef_timeDep_VeOR.50.","TimeStep_coef_timeDep_VeOR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5.","Stats_sampleSizeNonCovid_unvac.2.5.","Stats_sampleSizeNonCovid_unvac.50.","Stats_sampleSizeNonCovid_unvac.97.5.","Stats_sampleSizeNonCovid_vac.2.5.","Stats_sampleSizeNonCovid_vac.50.","Stats_sampleSizeNonCovid_vac.97.5."
"13",0.1,"equal",42,0.035804252825,0.107212565,0.172208352175,0.0174923281,0.110753341,0.193484523025,-7.548655392825,-7.014639737,-6.4972062006,-0.2150402642,-0.117380635,-0.017647310075,0.15021117005,0.155382781,0.16196081555,435.125,753.5,1177.225,1156.725,2058.5,3137.75,6769.625,7112.5,7312.1,20731.4,21452,21928.85
"14",0.1,"equal",43,0.03121409025,0.104959946,0.17212122835,0.014419729375,0.1138689295,0.205502593525,-7.556969491525,-6.9992154395,-6.46121441845,-0.230046044175,-0.120890543,-0.0145638096250001,0.15086839735,0.1563242925,0.161522962,510.75,880,1370.325,1357.225,2392,3594.7,6780.525,7160.5,7382.25,20819.65,21630.5,22173.65
"15",0.1,"equal",44,0.03710083845,0.106392156,0.174195430975,0.021402992175,0.116866968,0.183190954475,-7.5088746909,-6.975758779,-6.440140101275,-0.2023607847,-0.124279453,-0.0216472108750001,0.15136954865,0.156465757,0.161447478825,601,1020,1584.15,1599.275,2787.5,4148.7,6783.075,7201,7446.05,20874.175,21768,22392.1
"16",0.1,"equal",45,0.038067612725,0.106455211,0.16942379805,0.026369900075,0.1153000185,0.191389340225,-7.526860028,-6.933681165,-6.4048962951,-0.212457383125,-0.1225069025,-0.02672403725,0.150382218225,0.155896908,0.1614542851,698.65,1183,1812.65,1859.775,3234,4769.1,6769.4,7231.5,7500.725,20858.475,21852.5,22601.15
"17",0.1,"equal",46,0.05032713095,0.107563798,0.164762782,0.0419895074,0.118516495,0.190471091625,-7.467209592775,-6.913365543,-6.361738381,-0.211305608125,-0.126149318,-0.04289671385,0.1514727474,0.156025569,0.160647781025,810.275,1368,2071.4,2185.35,3736.5,5446.475,6748.9,7242.5,7542.575,20816.95,21921,22786.85
"18",0.1,"equal",47,0.05638431065,0.1109596535,0.157801715125,0.050857277225,0.120254089,0.187991364875,-7.467984656025,-6.8713349155,-6.321549753025,-0.208249598825,-0.1281223085,-0.052196274125,0.1509010518,0.1555649505,0.1596781989,946.375,1582.5,2347,2546.375,4299,6182.075,6704.025,7235.5,7573.1,20715.95,21928.5,22915.125
"19",0.1,"equal",48,0.0542861383,0.1139159835,0.157197529625,0.05856298675,0.126999002,0.18707538535,-7.476813879675,-6.8295715025,-6.2662387749,-0.207126986725,-0.1358186275,-0.0603666550250001,0.15075318055,0.155523854,0.159507149525,1099.85,1825,2649.4,2963.2,4917,6986.075,6651.9,7199.5,7599.55,20569.95,21895,23022.25
"20",0.1,"equal",49,0.060315696,0.1198041485,0.1599054696,0.062912316925,0.126865388,0.189009112725,-7.4212279635,-6.7774460485,-6.197388149275,-0.209509871275,-0.135665582,-0.0649821523,0.150493718025,0.154938739,0.1590214615,1271.925,2076,2982.4,3411.575,5612.5,7887.375,6579.6,7149,7618.275,20371.7,21817,23104.625
"21",0.1,"equal",50,0.0616994534,0.1204597895,0.158968790475,0.059519550625,0.131539956,0.192083583525,-7.38038884845,-6.7364045805,-6.149087703375,-0.21329716355,-0.1410341365,-0.061364749025,0.1502604801,0.154323776,0.1584828662,1453.775,2361.5,3316.075,3954.05,6355.5,8810.15,6498,7101.5,7619.775,20144.55,21690,23149.575
"22",0.1,"equal",51,0.0616480391,0.122188764,0.1624665496,0.07429425305,0.138506923,0.196514457275,-7.339945257275,-6.6682280295,-6.073521976325,-0.218865982875,-0.1490886555,-0.0772003643,0.149224675225,0.1538031325,0.157402088725,1668.1,2663.5,3672.05,4509.525,7164,9788.9,6381.25,7020.5,7591.25,19896.8,21531.5,23124.525
"23",0.1,"equal",52,0.0714178928,0.126632442,0.163032359825,0.077800455425,0.141773086,0.197013940875,-7.3007743835,-6.6020019495,-5.9951398027,-0.2194191776,-0.152886793,-0.0809936533,0.148299956625,0.1528393505,0.1565341741,1919.15,2989,4071.3,5164.1,8056.5,10804.15,6256.6,6932,7546.175,19591.9,21316,23060.775
"24",0.1,"equal",53,0.07859937385,0.128589271,0.16352361955,0.08799987845,0.146949719,0.205821184775,-7.269442125525,-6.544742178,-5.88657142225,-0.230447288875,-0.158937031,-0.092115559375,0.146280425175,0.151869253,0.15644479425,2186.925,3334.5,4437,5875.675,9005,11869.7,6134.5,6814.5,7484.7,19257.725,21059,22923.125
"25",0.1,"equal",54,0.082921567475,0.13170462,0.166494721775,0.090738440625,0.1527704585,0.2073110962,-7.208757152925,-6.444307896,-5.77695526915,-0.2323244694,-0.1657836805,-0.095123790225,0.1440200779,0.150723742,0.15498698365,2469.175,3714.5,4823.75,6658.45,9965,12914.625,6002.75,6696,7395.075,18935.5,20740,22780.05
"26",0.1,"equal",55,0.082374963875,0.1347643615,0.174517026775,0.100165490875,0.1594749385,0.2132444732,-7.1514512576,-6.356497505,-5.6425153467,-0.239837989675,-0.1737285185,-0.105544590525,0.14187153615,0.148904543,0.154231106425,2792.55,4085.5,5223.2,7505.925,10983,13968.25,5847.475,6560.5,7291.25,18601.6,20404.5,22555.275
"27",0.1,"equal",56,0.09403905475,0.1406496455,0.177046104825,0.107179350875,0.1656536045,0.215969760325,-7.07450632255,-6.247889779,-5.512009724625,-0.243312447625,-0.181106779,-0.11336974755,0.1395858724,0.147006403,0.1526735144,3132.75,4473,5587.775,8420.55,12001.5,14989.95,5722.425,6407.5,7184.1,18258.45,20066,22307.125
"28",0.1,"equal",57,0.100979573075,0.144556038,0.1833903687,0.1120077837,0.1711733305,0.2204273171,-6.998504594675,-6.136410982,-5.38764480005,-0.2490151347,-0.1877457905,-0.1188016018,0.136980768025,0.145053712,0.15164706085,3483.225,4874.5,5977.65,9398.025,13058,16015.8,5569.9,6263.5,7048.6,17924.95,19701,22014.35
"29",0.1,"equal",58,0.109336450225,0.1492781855,0.182492197475,0.12662772655,0.178921696,0.2241766112,-6.933441356,-6.002069137,-5.19765829745,-0.253833242975,-0.197136844,-0.13539342435,0.1332146274,0.142646623,0.149797695825,3868.225,5249,6328.8,10390.525,14111,16995.025,5448.8,6121.5,6908,17603.125,19341.5,21677.175
"30",0.1,"equal",59,0.1127656915,0.154232279,0.18841525245,0.134364674925,0.184387108,0.232320515175,-6.840608232925,-5.8581283225,-5.047690335625,-0.264383689575,-0.2038156025,-0.144295374275,0.12972487125,0.139677236,0.1481482766,4236.225,5624.5,6670.4,11425.175,15130.5,17912.725,5309.85,5974,6767.125,17293.9,18961,21300.875
"31",0.1,"equal",60,0.1202544416,0.1595294035,0.194352932375,0.1386186687,0.189403095,0.2352018041,-6.728766315925,-5.721127263,-4.881771735,-0.268144999875,-0.209984465,-0.14921807775,0.12599606885,0.1367055435,0.14600640385,4621.95,6013.5,6992.95,12525.45,16154.5,18791.4,5195.25,5827,6606.175,17027.85,18635,20908.375
"32",0.1,"equal",61,0.12346255775,0.1621566695,0.195461620775,0.1436302556,0.192627227,0.2405135666,-6.5902483099,-5.553162358,-4.69698988965,-0.275112918375,-0.2139698315,-0.15505370595,0.12235680725,0.1333577735,0.14418950485,5008.325,6378.5,7293.425,13534.375,17107,19589.975,5094.95,5690.5,6450.775,16804.475,18263.5,20527.2
"33",0.1,"equal",62,0.1348870023,0.1675138415,0.198485915275,0.15362675635,0.1972828095,0.2460696543,-6.4533565575,-5.376849817,-4.52081058005,-0.28245914535,-0.219752819,-0.1667950654,0.1182094107,0.129803621,0.141940166325,5386.475,6706,7571.5,14592.175,18019.5,20309.975,5004.675,5552,6307.5,16595.225,17937,20146.625
"34",0.1,"equal",63,0.1371416113,0.1705467995,0.20319187515,0.154567641375,0.203886032,0.24642239025,-6.261635007825,-5.201023222,-4.34221926865,-0.282924468925,-0.228014298,-0.16791026725,0.1136433015,0.1260926375,0.1383995401,5785.7,7029.5,7829.75,15630.375,18886.5,20984.125,4905.4,5430,6148.6,16413.65,17662,19783.175
"35",0.1,"equal",64,0.1438932437,0.174886484,0.209173783225,0.16346632485,0.2085549405,0.246569556425,-6.066702967425,-5.0011730765,-4.146645388025,-0.283118844875,-0.2338949975,-0.1784887831,0.1096672455,0.1223276475,0.134905643475,6172.425,7325.5,8071.9,16626,19697,21602.9,4835.575,5318.5,5980.475,16260.75,17422,19400.25
"36",0.1,"equal",65,0.14784382475,0.1773523265,0.2112526603,0.162440025525,0.209172758,0.254851625625,-5.89283871595,-4.8159874205,-3.9714209035,-0.294171933275,-0.2346759685,-0.177283365725,0.105550341025,0.117898014,0.13133737585,6510.975,7599,8275.95,17591.325,20443.5,22152.1,4796.55,5229.5,5835.725,16139.7,17184,19044.125
"37",0.1,"equal",66,0.152058205775,0.1844928965,0.213451945275,0.16040408405,0.214498049,0.25750284305,-5.750863475725,-4.6204267775,-3.78289834025,-0.297768203675,-0.241432351,-0.17483491085,0.10118133145,0.1139993665,0.12845154815,6822.15,7843,8444.8,18467.45,21127.5,22620.65,4768.8,5143,5706.625,16070.325,17009,18714.45
"38",0.1,"equal",67,0.155131142675,0.1883833035,0.215790716475,0.17214687135,0.217781588,0.25747161245,-5.526753389,-4.4330795675,-3.62193023715,-0.297711951075,-0.2456214415,-0.188929143,0.096900694125,0.109974893,0.124337067375,7151.2,8051,8594.675,19298.5,21714,23064.425,4744.575,5078,5578.875,16015.65,16845,18416.85
"39",0.1,"equal",68,0.15808842815,0.190898154,0.22089283485,0.176687474625,0.217978414,0.261216671725,-5.321296432825,-4.236804121,-3.4201019081,-0.30275062925,-0.2458730025,-0.194419459025,0.0924244189,0.105599876,0.12021356825,7432.95,8266.5,8723.85,20069.2,22220,23415.25,4731.6,5033,5471.525,16000.175,16719,18149.9
"40",0.1,"equal",69,0.15860584765,0.1925142085,0.22336631155,0.179714722925,0.2155071685,0.25948960085,-5.148940083475,-4.0563192845,-3.2773334058,-0.300416738025,-0.242718163,-0.198121332875,0.0885588502,0.101254226,0.116612570675,7705.325,8424,8833.15,20775.9,22664,23750.775,4728.875,4990,5400.3,15998.925,16639,17907.15
"41",0.1,"equal",70,0.1603320489,0.1942969855,0.22540761445,0.179832245925,0.2191143405,0.2578406226,-4.92516825465,-3.85511743,-3.0938766845,-0.298191481525,-0.24732655,-0.198255876275,0.084356571875,0.0967761445,0.112270674175,7951.725,8565,8931.175,21411.15,23072,24015.8,4732.9,4964.5,5328.6,16034.75,16610,17710.425
"42",0.1,"equal",71,0.163479464425,0.1954945695,0.226943139525,0.180248035275,0.217838603,0.259871472125,-4.711851013075,-3.6938945925,-2.957689208775,-0.300931686975,-0.2456941695,-0.198755078275,0.08055336835,0.092982562,0.10753982825,8153.425,8692.5,9012.15,21970.55,23418.5,24211.05,4734.925,4945.5,5282.25,16080.1,16583,17541.225
"43",0.1,"equal",72,0.163354000625,0.19561527,0.22764689165,0.1812513828,0.217784467,0.254217373475,-4.51055654575,-3.5178072875,-2.798954148325,-0.293321127525,-0.245625008,-0.199979551825,0.0769593886,0.0890576185,0.103604009625,8348.85,8800.5,9082.4,22454.725,23693,24405.85,4757.65,4939.5,5212.625,16138.9,16596.5,17426.575
"44",0.1,"equal",73,0.164656824275,0.1971261595,0.227341930675,0.18226502755,0.2175981955,0.256443262425,-4.33026862895,-3.334708584,-2.635520312625,-0.296311421425,-0.2453868775,-0.201217545125,0.07288842885,0.0848611395,0.099754034625,8499.125,8890.5,9135.15,22897.225,23957.5,24576.175,4768.275,4933,5166.25,16214.5,16620.5,17334.675
"45",0.1,"equal",74,0.166476598275,0.19744431,0.229529563575,0.1781340554,0.2171720875,0.251559124575,-4.1329974338,-3.167423379,-2.500822370425,-0.289763139625,-0.2448423905,-0.196178002625,0.0693190971,0.0810758505,0.095654195975,8619.3,8971,9185.725,23253.275,24183,24719.6,4780.425,4946,5144.125,16285.475,16664,17270.7
"46",0.1,"equal",75,0.169676669375,0.1998059085,0.231175289575,0.180566623475,0.215408027,0.25437732115,-3.9605016815,-3.0143128225,-2.352741120225,-0.29353568945,-0.24259148,-0.199142928975,0.065757941775,0.0773159685,0.0919110274,8751.95,9034.5,9218.45,23567.3,24360,24836.625,4797.375,4957.5,5131.55,16413.425,16717.5,17243.025
"47",0.1,"equal",76,0.16872978205,0.2008637975,0.23161792055,0.179937810025,0.2165585665,0.253557264025,-3.765283366625,-2.853829299,-2.1974236479,-0.292441904825,-0.244058976,-0.1983753404,0.06211758845,0.0735525125,0.087843601,8846.325,9084,9258.675,23834,24505.5,24938.675,4826.325,4979.5,5146.75,16510.425,16787,17255.475
"48",0.1,"equal",77,0.17153932485,0.200524305,0.231920287875,0.17790511535,0.215940427,0.249891425825,-3.59753757985,-2.703345907,-2.083107934225,-0.28753818525,-0.243270276,-0.1959004501,0.0593768785,0.0699872955,0.084186296725,8924.6,9128.5,9295.2,24063.35,24630.5,25024.45,4847.325,4998.5,5152.4,16623.95,16882,17276.725
