"","VE_susc","Label_testingDiff","t","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5."
"26",0.55,"equal",55,0.488211759475,0.5541259225,0.60666769795,0.48995382725,0.555749616,0.608646935025,-0.93822134835,-0.8113671675,-0.673487623325,206.75,423.5,758.15,296.5,583,1049
"27",0.55,"equal",56,0.500684210525,0.552775201,0.609387965875,0.50257196,0.5562677225,0.61241257525,-0.947833046925,-0.812534002,-0.69836841465,226.125,468.5,831.1,325.875,647,1144.325
"28",0.55,"equal",57,0.510317151425,0.5522242225,0.60568024435,0.513758345875,0.555847317,0.6086397469,-0.9381271252,-0.811586934,-0.72104999745,251.175,522,910.05,355.475,704.5,1261.725
"29",0.55,"equal",58,0.507787385825,0.550041681,0.5971120757,0.510594733,0.552960927,0.600890427675,-0.918548437475,-0.8051097395,-0.71456834095,274.275,571,1000.525,387.05,773.5,1383.475
"30",0.55,"equal",59,0.514657286875,0.550423087,0.59198191385,0.5177499122,0.55333386,0.59549412695,-0.905111771825,-0.8059441755,-0.72930439205,302.375,625,1089.35,424,848.5,1495.625
"31",0.55,"equal",60,0.5058712567,0.550545184,0.590623609225,0.509291631475,0.555018441,0.592935586275,-0.898803763275,-0.80972259,-0.711906940675,336.275,688.5,1190.575,461.325,926,1630.625
"32",0.55,"equal",61,0.5073825025,0.550380534,0.587909581925,0.5108499929,0.554783323,0.59233332595,-0.8973362971,-0.809194209,-0.71508626625,369.8,758,1302.225,511.65,1025,1776.05
"33",0.55,"equal",62,0.5151192118,0.5492592595,0.5887111862,0.518249646125,0.554587766,0.5920370919,-0.89658328985,-0.808755453,-0.730329418825,410.475,822.5,1414.9,558.65,1126.5,1925.4
"34",0.55,"equal",63,0.517358405875,0.5478815285,0.58655455795,0.52168606685,0.552780212,0.5891771313,-0.88959601925,-0.8047051155,-0.737488790025,453.175,907.5,1539.725,612.625,1231,2084.2
"35",0.55,"equal",64,0.522486007025,0.5504194965,0.5816225254,0.526280027725,0.5564127145,0.5877534533,-0.886136491675,-0.812860691,-0.74713890845,486.3,990.5,1661.625,676.8,1343,2264.975
"36",0.55,"equal",65,0.516916365325,0.549191624,0.58151322675,0.521531577125,0.554418974,0.588509284125,-0.887994681975,-0.8083762685,-0.737211544725,538.575,1068.5,1806.575,736.5,1453,2469.975
"37",0.55,"equal",66,0.516932115975,0.549203184,0.58096456485,0.5211100733,0.5551985015,0.58720818575,-0.88484231305,-0.810128673,-0.736286676075,592.3,1168,1945.775,808.6,1581,2681.175
"38",0.55,"equal",67,0.516410135525,0.5495903325,0.581350936975,0.5209726735,0.557331413,0.5872023846,-0.884798048325,-0.8149364855,-0.736004988225,651.25,1280.5,2101.125,890.375,1718,2908.475
"39",0.55,"equal",68,0.52018633715,0.549016702,0.57652351295,0.524077327975,0.557374823,0.582867206425,-0.874361928125,-0.8150320835,-0.742505250275,716.5,1381,2264.45,977.85,1863.5,3107.45
"40",0.55,"equal",69,0.526793617225,0.547796474,0.575734345825,0.532734582575,0.5570505505,0.584319699025,-0.8778537002,-0.814299746,-0.760871681325,790.025,1500.5,2441.85,1063.95,2012.5,3317.275
"41",0.55,"equal",70,0.5266747157,0.5487364745,0.573124203025,0.532820342725,0.557852367,0.5814610308,-0.870990222025,-0.81611306,-0.761045423125,864.225,1636,2601.8,1166.275,2201,3561.75
"42",0.55,"equal",71,0.52698511795,0.547809764,0.57137818435,0.534511420825,0.557996945,0.578767704525,-0.8645718699,-0.816438514,-0.7646685456,944.3,1763.5,2778.725,1257.875,2383,3803.2
"43",0.55,"equal",72,0.526546416725,0.546435496,0.57165589535,0.535567544325,0.5574631735,0.57980091815,-0.8670266809,-0.815231615,-0.76694002195,1028.825,1916.5,2969.075,1371.75,2576.5,4067.55
"44",0.55,"equal",73,0.528567933575,0.5464479665,0.572353489,0.537610388625,0.558493277,0.581693360225,-0.871540593625,-0.817562049,-0.77135281385,1133,2075.5,3168.775,1494,2775.5,4328.625
"45",0.55,"equal",74,0.529436354075,0.546286475,0.5730455661,0.540000222025,0.559110908,0.584632919525,-0.878595214725,-0.818961958,-0.776529276575,1239.8,2240,3369.525,1619.4,2971.5,4595.575
