,VE_susc,Label_testingDiff,t,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR_timeDep.2.5.,VE_symptRR_timeDep.50.,VE_symptRR_timeDep.97.5.,VacStatus_coef_timeDep_VeRR.2.5.,VacStatus_coef_timeDep_VeRR.50.,VacStatus_coef_timeDep_VeRR.97.5.,Stats_sampleSizeCovid_unvac.2.5.,Stats_sampleSizeCovid_unvac.50.,Stats_sampleSizeCovid_unvac.97.5.,Stats_sampleSizeCovid_vac.2.5.,Stats_sampleSizeCovid_vac.50.,Stats_sampleSizeCovid_vac.97.5.
27,0.1,equal,56,0.073952635,0.101827079,0.127434165,0.078995834,0.110967659,0.138447698,-0.149019515,-0.117621711,-0.082290778,3132.75,4473,5587.775,8420.55,12001.5,14989.95
28,0.1,equal,57,0.075613821,0.103195346,0.128057322,0.081200024,0.112947552,0.138560946,-0.149151007,-0.119851236,-0.084687078,3483.225,4874.5,5977.65,9398.025,13058,16015.8
29,0.1,equal,58,0.077628039,0.101840892,0.124777617,0.084494533,0.113786279,0.137174732,-0.147547745,-0.120797139,-0.08827898,3868.225,5249,6328.8,10390.525,14111,16995.025
30,0.1,equal,59,0.076740248,0.101920851,0.123563246,0.085466395,0.114110613,0.137831419,-0.14830686,-0.121163197,-0.089343021,4236.225,5624.5,6670.4,11425.175,15130.5,17912.725
31,0.1,equal,60,0.080143818,0.102973436,0.123649789,0.089326936,0.115814891,0.138769356,-0.14939331,-0.123088894,-0.093572089,4621.95,6013.5,6992.95,12525.45,16154.5,18791.4
32,0.1,equal,61,0.080356809,0.100467639,0.122398646,0.08885781,0.114677705,0.138213992,-0.148748353,-0.121803533,-0.093056325,5008.325,6378.5,7293.425,13534.375,17107,19589.975
33,0.1,equal,62,0.080042607,0.100307879,0.120738604,0.089872723,0.115480229,0.137336577,-0.1477307,-0.122710416,-0.094171869,5386.475,6706,7571.5,14592.175,18019.5,20309.975
34,0.1,equal,63,0.081162784,0.100918497,0.122540428,0.091810602,0.116002345,0.140595079,-0.15151512,-0.123300886,-0.09630441,5785.7,7029.5,7829.75,15630.375,18886.5,20984.125
35,0.1,equal,64,0.082417673,0.102113924,0.119569858,0.095105925,0.118514313,0.137966572,-0.148461257,-0.126146515,-0.099941375,6172.425,7325.5,8071.9,16626,19697,21602.9
36,0.1,equal,65,0.083055151,0.101560477,0.118363021,0.097043885,0.11831098,0.137135784,-0.147497942,-0.125915876,-0.102083374,6510.975,7599,8275.95,17591.325,20443.5,22152.1
37,0.1,equal,66,0.084941473,0.101505092,0.117415496,0.098462096,0.118779651,0.137999472,-0.148499493,-0.126447572,-0.103653208,6822.15,7843,8444.8,18467.45,21127.5,22620.65
38,0.1,equal,67,0.084057722,0.102033751,0.116875445,0.099757603,0.119723547,0.138381186,-0.14894233,-0.127519269,-0.105091269,7151.2,8051,8594.675,19298.5,21714,23064.425
39,0.1,equal,68,0.082863362,0.101783884,0.116890027,0.099032916,0.120131699,0.139452009,-0.150185921,-0.127983041,-0.104288516,7432.95,8266.5,8723.85,20069.2,22220,23415.25
40,0.1,equal,69,0.085056241,0.101885751,0.117051455,0.101598431,0.120713303,0.139584157,-0.150339725,-0.128644272,-0.107138242,7705.325,8424,8833.15,20775.9,22664,23750.775
41,0.1,equal,70,0.085578057,0.1010144,0.115258178,0.102271526,0.120483563,0.138715578,-0.149330512,-0.128383026,-0.107887623,7951.725,8565,8931.175,21411.15,23072,24015.8
42,0.1,equal,71,0.086815619,0.101320164,0.114798308,0.103047447,0.120469451,0.139230815,-0.149928888,-0.128366981,-0.108752334,8153.425,8692.5,9012.15,21970.55,23418.5,24211.05
43,0.1,equal,72,0.08660401,0.101051939,0.114475083,0.103618798,0.121829038,0.138357554,-0.148914976,-0.129913998,-0.109389507,8348.85,8800.5,9082.4,22454.725,23693,24405.85
44,0.1,equal,73,0.087248406,0.100776661,0.113925974,0.104239162,0.121240165,0.139270717,-0.149975442,-0.129243675,-0.110081894,8499.125,8890.5,9135.15,22897.225,23957.5,24576.175
45,0.1,equal,74,0.086772517,0.100577822,0.114027276,0.103960275,0.121418653,0.138906301,-0.14955239,-0.129446904,-0.109770532,8619.3,8971,9185.725,23253.275,24183,24719.6
46,0.1,equal,75,0.086066314,0.101310359,0.114171663,0.104086557,0.121639287,0.13912962,-0.149811482,-0.129697942,-0.109911475,8751.95,9034.5,9218.45,23567.3,24360,24836.625
