"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,4,6,10,0.00016,8e-05,1e-04,0,0,4,2,6,0.00016,2.66666666666667e-05,6e-05,3841,11359,15200,0.15364,0.151453333333333,0.152,1,0,1,0,21156,63635,4,2,6,0.00016,2.66666666666667e-05,6e-05,3840,11359,3840,11359,15199,0.1536,0.151453333333333,0.15199,0,0,0,0,0,0,406,1169,1575,0.01624,0.0155866666666667,0.01575,406,1169,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.830971036182763,0.830971036182763,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"2",2,9,12,21,0.00036,0.00016,0.00021,5,6,4,2,6,0.00016,2.66666666666667e-05,6e-05,3842,11358,15200,0.15368,0.15144,0.152,2,0,1,0,21150,63624,4,2,6,0.00016,2.66666666666667e-05,6e-05,3841,11364,3842,11364,15206,0.15368,0.15152,0.15206,0,0,0,0,0,0,734,2141,2875,0.02936,0.0285466666666667,0.02875,734,2141,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.8309574093629,0.831001407954945,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"3",3,11,15,26,0.00044,2e-04,0.00026,7,9,4,2,6,0.00016,2.66666666666667e-05,6e-05,3842,11358,15200,0.15368,0.15144,0.152,2,0,1,0,21138,63597,4,2,6,0.00016,2.66666666666667e-05,6e-05,3851,11388,3852,11388,15240,0.15408,0.15184,0.1524,0,1,1,0,1.33333333333333e-05,1e-05,996,2979,3975,0.03984,0.03972,0.03975,996,2980,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.830874604847208,0.830918510713031,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"4",4,12,20,32,0.00048,0.000266666666666667,0.00032,8,14,6,2,8,0.00024,2.66666666666667e-05,8e-05,3840,11360,15200,0.1536,0.151466666666667,0.152,2,0,2,0,21106,63508,6,2,8,0.00024,2.66666666666667e-05,8e-05,3882,11472,3882,11472,15354,0.15528,0.15296,0.15354,3,1,4,0.00012,1.33333333333333e-05,4e-05,1260,3694,4954,0.0504,0.0492533333333333,0.04954,1263,3695,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.887203626220363,0.887203626220363,0.888888888888889,0.886302111532214,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"5",5,12,24,36,0.00048,0.00032,0.00036,9,18,5,2,7,2e-04,2.66666666666667e-05,7e-05,3834,11366,15200,0.15336,0.151546666666667,0.152,1,0,1,0,21030,63276,6,2,8,0.00024,2.66666666666667e-05,8e-05,3957,11700,3957,11700,15657,0.15828,0.156,0.15657,3,1,4,0.00012,1.33333333333333e-05,4e-05,1440,4292,5732,0.0576,0.0572266666666667,0.05732,1443,4293,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.887264957264957,0.887264957264957,0.888888888888889,0.888164026095061,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"6",6,13,34,47,0.00052,0.000453333333333333,0.00047,10,28,7,7,14,0.00028,9.33333333333333e-05,0.00014,3830,11370,15200,0.1532,0.1516,0.152,1,1,1,0,20891,62833,8,7,15,0.00032,9.33333333333333e-05,0.00015,4095,12133,4095,12134,16229,0.1638,0.161786666666667,0.16229,4,1,5,0.00016,1.33333333333333e-05,5e-05,1601,4825,6426,0.06404,0.0643333333333333,0.06426,1605,4826,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333333333,0.704703725070051,0.704679386796341,0.916666666666667,0.917046632124352,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"7",7,13,43,56,0.00052,0.000573333333333333,0.00056,10,37,7,7,14,0.00028,9.33333333333333e-05,0.00014,3827,11373,15200,0.15308,0.15164,0.152,1,1,1,0,20654,62144,8,7,15,0.00032,9.33333333333333e-05,0.00015,4332,12813,4332,12814,17146,0.17328,0.170853333333333,0.17146,5,1,6,2e-04,1.33333333333333e-05,6e-05,1752,5273,7025,0.07008,0.0703066666666667,0.07025,1757,5274,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333333333,0.704190728890276,0.704167642238352,0.933333333333333,0.933548264744927,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"8",8,15,48,63,6e-04,0.00064,0.00063,13,42,7,12,19,0.00028,0.00016,0.00019,3840,11360,15200,0.1536,0.151466666666667,0.152,2,2,1,1,20306,61140,8,12,20,0.00032,0.00016,2e-04,4677,13812,4678,13814,18492,0.18712,0.184186666666667,0.18492,5,1,6,2e-04,1.33333333333333e-05,6e-05,1908,5728,7636,0.07632,0.0763733333333333,0.07636,1913,5729,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.49203706384827,0.492072111207645,0.933333333333333,0.933379888268156,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"9",9,16,58,74,0.00064,0.000773333333333333,0.00074,14,52,7,15,22,0.00028,2e-04,0.00022,3832,11368,15200,0.15328,0.151573333333333,0.152,2,3,1,1,19919,59903,8,15,23,0.00032,2e-04,0.00023,5063,15039,5064,15043,20107,0.20256,0.200573333333333,0.20107,5,2,7,2e-04,2.66666666666667e-05,7e-05,2088,6251,8339,0.08352,0.0833466666666667,0.08339,2093,6253,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.368809413016021,0.368766207859565,0.866666666666667,0.866389377699568,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
"10",10,17,59,76,0.00068,0.000786666666666667,0.00076,18,58,5,18,23,2e-04,0.00024,0.00023,3832,11368,15200,0.15328,0.151573333333333,0.152,3,5,1,2,19462,58575,9,20,29,0.00036,0.000266666666666667,0.00029,5516,16361,5518,16366,21884,0.22072,0.218213333333333,0.21884,5,5,10,2e-04,6.66666666666667e-05,1e-04,2258,6848,9106,0.09032,0.0913066666666667,0.09106,2263,6853,0,1,0,0.000145921494236101,0,0,0,0,0,1,0,0.000145921494236101,0.259259259259259,0.250750200279713,0.250792874654497,0.666666666666667,0.670268691588785,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.00927258193445238,-0.0044556346003751,-0.00557346380465584,-0.00609482945090045,-0.00445014132649699,-0.0468239979259515,-0.0165314208758381,-0.0195707739570745,0.19539,0.37142,0.57225,50,57,0.1,0.2,0.1,73,58659371,6.00502
