"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,1,9,10,4e-05,0.00012,1e-04,0,0,0,6,6,0,8e-05,6e-05,3682,11518,15200,0.14728,0.153573333333333,0.152,1,1,0,0,21318,63474,0,6,6,0,8e-05,6e-05,3681,11517,3682,11518,15200,0.14728,0.153573333333333,0.152,0,0,0,0,0,0,394,1186,1580,0.01576,0.0158133333333333,0.0158,394,1186,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"2",2,1,13,14,4e-05,0.000173333333333333,0.00014,0,4,0,6,6,0,8e-05,6e-05,3683,11517,15200,0.14732,0.15356,0.152,1,2,0,0,21317,63468,0,6,6,0,8e-05,6e-05,3682,11519,3683,11521,15204,0.14732,0.153613333333333,0.15204,0,2,2,0,2.66666666666667e-05,2e-05,717,2137,2854,0.02868,0.0284933333333333,0.02854,717,2139,0,1,0,0.000467508181393174,0,0,0,0,0,1,0,0.000467508181393174,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"3",3,1,15,16,4e-05,2e-04,0.00016,0,6,0,6,6,0,8e-05,6e-05,3683,11517,15200,0.14732,0.15356,0.152,1,2,0,0,21311,63441,0,6,6,0,8e-05,6e-05,3688,11544,3689,11546,15235,0.14756,0.153946666666667,0.15235,0,2,2,0,2.66666666666667e-05,2e-05,998,2946,3944,0.03992,0.03928,0.03944,998,2948,0,1,0,0.00033921302578019,0,0,0,0,0,1,0,0.00033921302578019,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"4",4,1,19,20,4e-05,0.000253333333333333,2e-04,0,10,0,7,7,0,9.33333333333333e-05,7e-05,3691,11509,15200,0.14764,0.153453333333333,0.152,1,2,0,0,21282,63353,0,7,7,0,9.33333333333333e-05,7e-05,3717,11628,3718,11630,15348,0.14872,0.155066666666667,0.15348,0,3,3,0,4e-05,3e-05,1207,3644,4851,0.04828,0.0485866666666667,0.04851,1207,3647,0,1,0,0.000274197970935015,0,0,0,0,0,1,0,0.000274197970935015,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"5",5,2,22,24,8e-05,0.000293333333333333,0.00024,1,14,0,6,6,0,8e-05,6e-05,3694,11506,15200,0.14776,0.153413333333333,0.152,2,2,0,0,21209,63132,0,7,7,0,9.33333333333333e-05,7e-05,3789,11845,3791,11847,15638,0.15164,0.15796,0.15638,0,3,3,0,4e-05,3e-05,1401,4293,5694,0.05604,0.05724,0.05694,1401,4296,0,1,0,0.000232774674115456,0,0,0,0,0,1,0,0.000232774674115456,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"6",6,2,26,28,8e-05,0.000346666666666667,0.00028,1,18,0,7,7,0,9.33333333333333e-05,7e-05,3718,11482,15200,0.14872,0.153093333333333,0.152,2,2,0,0,21069,62719,0,8,8,0,0.000106666666666667,8e-05,3929,12254,3931,12256,16187,0.15724,0.163413333333333,0.16187,1,3,4,4e-05,4e-05,4e-05,1567,4836,6403,0.06268,0.06448,0.06403,1568,4839,1,1,0.000637755102040816,0.000206654267410622,0,0,0,0,1,1,0.000637755102040816,0.000206654267410622,NA,NA,NA,0,0.0279156327543425,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"7",7,4,27,31,0.00016,0.00036,0.00031,3,19,0,12,12,0,0.00016,0.00012,3720,11480,15200,0.1488,0.153066666666667,0.152,2,2,0,1,20847,62070,0,13,13,0,0.000173333333333333,0.00013,4149,12902,4151,12903,17054,0.16604,0.17204,0.17054,1,4,5,4e-05,5.33333333333333e-05,5e-05,1730,5314,7044,0.0692,0.0708533333333333,0.07044,1731,5318,1,1,0.000577700751010976,0.000188040616773223,0,0,0,0,1,1,0.000577700751010976,0.000188040616773223,NA,NA,NA,-0.333333333333333,-0.302220549491908,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"8",8,7,28,35,0.00028,0.000373333333333333,0.00035,6,22,0,11,11,0,0.000146666666666667,0.00011,3707,11493,15200,0.14828,0.15324,0.152,1,1,0,1,20509,61009,0,13,13,0,0.000173333333333333,0.00013,4484,13960,4486,13961,18447,0.17944,0.186146666666667,0.18447,1,4,5,4e-05,5.33333333333333e-05,5e-05,1877,5789,7666,0.07508,0.0771866666666667,0.07666,1878,5793,1,1,0.00053248136315229,0.000172622130157086,0,0,0,0,1,1,0.00053248136315229,0.000172622130157086,NA,NA,NA,-0.333333333333333,-0.296942477111764,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"9",9,7,33,40,0.00028,0.00044,4e-04,6,28,0,12,12,0,0.00016,0.00012,3758,11442,15200,0.15032,0.15256,0.152,1,2,0,1,20049,59773,0,15,15,0,2e-04,0.00015,4944,15190,4946,15193,20139,0.19784,0.202573333333333,0.20139,1,6,7,4e-05,8e-05,7e-05,2037,6261,8298,0.08148,0.08348,0.08298,2038,6267,1,1,0.000490677134445535,0.00015956598053295,0,0,0,0,1,1,0.000490677134445535,0.00015956598053295,NA,NA,NA,-1,-0.952084331576426,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
"10",10,10,37,47,4e-04,0.000493333333333333,0.00047,9,34,0,11,11,0,0.000146666666666667,0.00011,3784,11416,15200,0.15136,0.152213333333333,0.152,1,1,0,0,19578,58433,0,15,15,0,2e-04,0.00015,5412,16524,5415,16527,21942,0.2166,0.22036,0.21942,1,6,7,4e-05,8e-05,7e-05,2207,6807,9014,0.08828,0.09076,0.09014,2208,6813,1,1,0.000452898550724638,0.000146778218112432,0,0,0,0,1,1,0.000452898550724638,0.000146778218112432,NA,NA,NA,-1,-0.945350374614368,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.0301023672424823,0.00744123861622661,0.00132165955710939,0.000355090157843851,-0.00156617597633932,-0.0582695105317244,-0.0144395514951527,-0.0114665357362609,0.168,0.36631,0.57396,51,59,0.1,0.2,0.1,47,705962817,6.00564
