"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,4,6,10,0.00016,8e-05,1e-04,0,0,3,5,8,0.00012,6.66666666666667e-05,8e-05,3777,11423,15200,0.15108,0.152306666666667,0.152,1,1,0,1,21220,63572,3,5,8,0.00012,6.66666666666667e-05,8e-05,3776,11422,3777,11422,15199,0.15108,0.152293333333333,0.15199,1,1,2,4e-05,1.33333333333333e-05,2e-05,368,1192,1560,0.01472,0.0158933333333333,0.0156,369,1193,1,0,0.002710027100271,0,0,0,0,0,1,0,0.002710027100271,0,0.444444444444444,0.448870600595342,0.449016517831086,0.666666666666667,0.691275167785235,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"2",2,4,10,14,0.00016,0.000133333333333333,0.00014,0,4,3,5,8,0.00012,6.66666666666667e-05,8e-05,3776,11424,15200,0.15104,0.15232,0.152,1,2,0,1,21220,63562,3,5,8,0.00012,6.66666666666667e-05,8e-05,3776,11428,3777,11429,15206,0.15108,0.152386666666667,0.15206,3,2,5,0.00012,2.66666666666667e-05,5e-05,688,2207,2895,0.02752,0.0294266666666667,0.02895,691,2209,1,0,0.00144717800289436,0,0,0,0,0,1,0,0.00144717800289436,0,0.444444444444444,0.449208154694199,0.449305798623265,0.777777777777778,0.792176408397523,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"3",3,4,13,17,0.00016,0.000173333333333333,0.00017,0,7,3,5,8,0.00012,6.66666666666667e-05,8e-05,3774,11426,15200,0.15096,0.152346666666667,0.152,1,2,0,1,21215,63535,3,5,8,0.00012,6.66666666666667e-05,8e-05,3781,11452,3782,11453,15235,0.15128,0.152706666666667,0.15235,3,3,6,0.00012,4e-05,6e-05,968,3013,3981,0.03872,0.0401733333333333,0.03981,971,3016,1,0,0.00102986611740474,0,0,0,0,0,1,0,0.00102986611740474,0,0.444444444444444,0.449634739078553,0.449732215624636,0.666666666666667,0.678725522734816,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"4",4,4,16,20,0.00016,0.000213333333333333,2e-04,0,10,3,5,8,0.00012,6.66666666666667e-05,8e-05,3767,11433,15200,0.15068,0.15244,0.152,1,3,0,1,21184,63438,3,5,8,0.00012,6.66666666666667e-05,8e-05,3812,11546,3813,11548,15361,0.15252,0.153973333333333,0.15361,3,3,6,0.00012,4e-05,6e-05,1199,3711,4910,0.04796,0.04948,0.0491,1202,3714,1,0,0.000831946755407654,0,0,0,0,0,1,0,0.000831946755407654,0,0.444444444444444,0.449688257706962,0.449737282753046,0.666666666666667,0.676906494206413,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"5",5,7,16,23,0.00028,0.000213333333333333,0.00023,3,10,3,5,8,0.00012,6.66666666666667e-05,8e-05,3752,11448,15200,0.15008,0.15264,0.152,1,3,0,1,21113,63185,3,5,8,0.00012,6.66666666666667e-05,8e-05,3880,11799,3881,11801,15682,0.15524,0.157346666666667,0.15682,3,3,6,0.00012,4e-05,6e-05,1401,4292,5693,0.05604,0.0572266666666667,0.05693,1404,4295,1,0,0.000712250712250712,0,0,0,0,0,1,0,0.000712250712250712,0,0.444444444444444,0.451882608818462,0.451930954600672,0.666666666666667,0.673578751164958,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"6",6,9,20,29,0.00036,0.000266666666666667,0.00029,5,14,3,5,8,0.00012,6.66666666666667e-05,8e-05,3764,11436,15200,0.15056,0.15248,0.152,1,4,0,1,20950,62758,3,5,8,0.00012,6.66666666666667e-05,8e-05,4041,12222,4042,12225,16267,0.16168,0.163,0.16267,3,4,7,0.00012,5.33333333333333e-05,7e-05,1587,4819,6406,0.06348,0.0642533333333333,0.06406,1590,4823,1,1,0.000628930817610063,0.000207339829981339,0,0,0,0,1,1,0.000628930817610063,0.000207339829981339,0.444444444444444,0.448943421949557,0.448944526264114,0.555555555555556,0.560904752023241,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"7",7,10,22,32,4e-04,0.000293333333333333,0.00032,6,16,3,8,11,0.00012,0.000106666666666667,0.00011,3753,11447,15200,0.15012,0.152626666666667,0.152,1,4,0,2,20713,62067,3,8,11,0.00012,0.000106666666666667,0.00011,4277,12911,4278,12913,17191,0.17112,0.172173333333333,0.17191,3,4,7,0.00012,5.33333333333333e-05,7e-05,1755,5308,7063,0.0702,0.0707733333333333,0.07063,1758,5312,1,0,0.000568828213879408,0,0,0,0,0,1,0,0.000568828213879408,0,0.111111111111111,0.116549213970417,0.116618903777141,0.555555555555556,0.559155990957046,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"8",8,10,27,37,4e-04,0.00036,0.00037,7,22,2,7,9,8e-05,9.33333333333333e-05,9e-05,3762,11438,15200,0.15048,0.152506666666667,0.152,1,6,0,1,20384,61056,3,8,11,0.00012,0.000106666666666667,0.00011,4605,13916,4606,13922,18528,0.18424,0.185626666666667,0.18528,3,4,7,0.00012,5.33333333333333e-05,7e-05,1927,5815,7742,0.07708,0.0775333333333333,0.07742,1930,5819,1,0,0.000518134715025907,0,0,0,0,0,1,0,0.000518134715025907,0,0.111111111111111,0.117751280946224,0.117562517964933,0.555555555555556,0.558154198910863,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"9",9,12,32,44,0.00048,0.000426666666666667,0.00044,9,27,2,9,11,8e-05,0.00012,0.00011,3754,11446,15200,0.15016,0.152613333333333,0.152,2,6,0,1,20012,59852,3,10,13,0.00012,0.000133333333333333,0.00013,4975,15115,4977,15122,20099,0.19908,0.201626666666667,0.20099,3,5,8,0.00012,6.66666666666667e-05,8e-05,2074,6369,8443,0.08296,0.08492,0.08443,2077,6374,1,1,0.000481463649494463,0.000156887354879197,0,0,0,0,1,1,0.000481463649494463,0.000156887354879197,-0.111111111111111,-0.0970771062028832,-0.0971441173227479,0.444444444444444,0.457266970220338,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
"10",10,16,38,54,0.00064,0.000506666666666667,0.00054,14,33,2,12,14,8e-05,0.00016,0.00014,3740,11460,15200,0.1496,0.1528,0.152,3,11,0,3,19585,58478,4,13,17,0.00016,0.000173333333333333,0.00017,5397,16483,5401,16493,21894,0.21604,0.219906666666667,0.21894,4,5,9,0.00016,6.66666666666667e-05,9e-05,2252,6941,9193,0.09008,0.0925466666666667,0.09193,2256,6946,1,1,0.000443262411347518,0.000143967751223726,0,0,0,0,1,1,0.000443262411347518,0.000143967751223726,-0.0833333333333333,-0.0642848481173832,-0.0641418431110843,0.583333333333333,0.594438841665466,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.00435606060606056,-0.0276583206812729,0.00675009762204182,0.00259127309677443,0.000418243377813182,-0.0591502802522173,0.00582373791954982,0.00955838933785713,0.19487,0.37232,0.57579,53,60,0.1,0.2,0.1,77,638456362,6.00518
