"","VE_infect","Label_testingDiff","t","Covid_cumPropSymptInfect_vac.0.","Covid_cumPropSymptInfect_vac.25.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.75.","Covid_cumPropSymptInfect_vac.100.","Covid_cumPropSymptInfect_unvac.0.","Covid_cumPropSymptInfect_unvac.25.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.75.","Covid_cumPropSymptInfect_unvac.100.","NonCovid_cumPropSymptInfect_vac.0.","NonCovid_cumPropSymptInfect_vac.25.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.75.","NonCovid_cumPropSymptInfect_vac.100.","NonCovid_cumPropSymptInfect_unvac.0.","NonCovid_cumPropSymptInfect_unvac.25.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.75.","NonCovid_cumPropSymptInfect_unvac.100.","Covid_cumPropSymptExpInfect_tested_vac.0.","Covid_cumPropSymptExpInfect_tested_vac.25.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.75.","Covid_cumPropSymptExpInfect_tested_vac.100.","Covid_cumPropSymptExpInfect_tested_unvac.0.","Covid_cumPropSymptExpInfect_tested_unvac.25.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.75.","Covid_cumPropSymptExpInfect_tested_unvac.100.","NonCovid_cumPropSymptInfect_tested_vac.0.","NonCovid_cumPropSymptInfect_tested_vac.25.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.75.","NonCovid_cumPropSymptInfect_tested_vac.100.","NonCovid_cumPropSymptInfect_tested_unvac.0.","NonCovid_cumPropSymptInfect_tested_unvac.25.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.75.","NonCovid_cumPropSymptInfect_tested_unvac.100.","CumProp_falseNeg_vac.0.","CumProp_falseNeg_vac.25.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.75.","CumProp_falseNeg_vac.100.","CumProp_falseNeg_unvac.0.","CumProp_falseNeg_unvac.25.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.75.","CumProp_falseNeg_unvac.100."
"11",0.1,"modUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150586666666667,0.151646666666667,0.15198,0.15224,0.15316,0.14848,0.15121,0.152,0.15304,0.1562,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,4e-05,0.01484,0.0154533333333333,0.0157133333333333,0.01604,0.0167466666666667,0.0066,0.00751,0.00788,0.00832,0.00932,0,0,0,0,0,0,0,0,0,0
"12",0.3,"modUnequal",0,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.149933333333333,0.15135,0.151886666666667,0.15231,0.154066666666667,0.14568,0.15104,0.1523,0.15392,0.15812,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,8e-05,0.0147333333333333,0.01536,0.0157533333333333,0.0160133333333333,0.0166,0.00588,0.00751,0.00782,0.00812,0.00944,0,0,0,0,0,0,0,0,0,0
"13",0.5,"modUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00024,0.150586666666667,0.151476666666667,0.15186,0.152266666666667,0.153426666666667,0.14768,0.1512,0.15238,0.1535,0.15616,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,4e-05,0.01452,0.0153466666666667,0.0157,0.01596,0.0168,0.00668,0.00743,0.00768,0.00816,0.00912,0,0,0,0,0,0,0,0,0,0
"14",0.7,"modUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00024,0.1502,0.15145,0.151946666666667,0.152413333333333,0.15336,0.14788,0.15073,0.15212,0.15355,0.15732,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,4e-05,0.0143333333333333,0.0154266666666667,0.0157533333333333,0.0160166666666667,0.0172,0.00644,0.00743,0.00776,0.00801,0.00912,0,0,0,0,0,0,0,0,0,0
"15",0.9,"modUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00032,0.150253333333333,0.151576666666667,0.152073333333334,0.15239,0.1536,0.14716,0.15082,0.15174,0.15326,0.1572,0,0,0,0,4e-05,0,0,0,0,8e-05,0.01464,0.0155333333333333,0.0157866666666667,0.01603,0.0167733333333333,0.00664,0.00743,0.0079,0.00824,0.009,0,0,0,0,0,0,0,0,0,0
"16",0.1,"equal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150733333333333,0.151703333333333,0.15204,0.15231,0.153186666666667,0.14856,0.15123,0.15204,0.15312,0.15624,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,0.00012,0.0276666666666667,0.02857,0.02886,0.02935,0.0306666666666667,0.02656,0.02843,0.02896,0.02953,0.0324,0,0,0,0,0,0,0,0,0,0
"17",0.3,"equal",1,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.15,0.151413333333333,0.15196,0.152403333333333,0.154133333333333,0.14568,0.15118,0.1524,0.154,0.15824,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,4e-05,0.00012,0.0276533333333333,0.02845,0.0288333333333333,0.0292733333333333,0.0298933333333333,0.02636,0.02819,0.02892,0.02981,0.03164,0,0,0,0,0,0,0,0,0,0
"18",0.5,"equal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00024,0.15068,0.151563333333333,0.15194,0.15234,0.15348,0.14784,0.15127,0.15244,0.15361,0.15632,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,4e-05,0.00012,0.02744,0.02842,0.0288533333333333,0.0292233333333333,0.03028,0.02628,0.02827,0.02898,0.02968,0.0314,0,0,0,0,0,0,0,0,0,0
"19",0.7,"equal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00024,0.150213333333333,0.15154,0.15202,0.152483333333333,0.153466666666667,0.14804,0.15087,0.15224,0.15355,0.15732,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,0.00012,0.0267066666666667,0.0285633333333333,0.02888,0.0292566666666667,0.0309866666666667,0.02668,0.02796,0.02882,0.02959,0.03128,0,0,0,0,0,0,0,0,0,0
"20",0.9,"equal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00032,0.150333333333333,0.15163,0.152133333333334,0.152443333333333,0.15368,0.14728,0.15093,0.1518,0.15328,0.15724,0,0,0,1.33333333333333e-05,4e-05,0,0,0,4e-05,0.00012,0.0275866666666667,0.0286033333333333,0.02894,0.0293233333333333,0.03016,0.02612,0.0284,0.02888,0.02937,0.03152,0,0,0,0,0,0,0,0,0,0
