"","Covid_probTrans","Label_testingDiff","t","Covid_cumPropSymptInfect_vac.0.","Covid_cumPropSymptInfect_vac.25.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.75.","Covid_cumPropSymptInfect_vac.100.","Covid_cumPropSymptInfect_unvac.0.","Covid_cumPropSymptInfect_unvac.25.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.75.","Covid_cumPropSymptInfect_unvac.100.","NonCovid_cumPropSymptInfect_vac.0.","NonCovid_cumPropSymptInfect_vac.25.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.75.","NonCovid_cumPropSymptInfect_vac.100.","NonCovid_cumPropSymptInfect_unvac.0.","NonCovid_cumPropSymptInfect_unvac.25.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.75.","NonCovid_cumPropSymptInfect_unvac.100.","Covid_cumPropSymptExpInfect_tested_vac.0.","Covid_cumPropSymptExpInfect_tested_vac.25.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.75.","Covid_cumPropSymptExpInfect_tested_vac.100.","Covid_cumPropSymptExpInfect_tested_unvac.0.","Covid_cumPropSymptExpInfect_tested_unvac.25.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.75.","Covid_cumPropSymptExpInfect_tested_unvac.100.","NonCovid_cumPropSymptInfect_tested_vac.0.","NonCovid_cumPropSymptInfect_tested_vac.25.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.75.","NonCovid_cumPropSymptInfect_tested_vac.100.","NonCovid_cumPropSymptInfect_tested_unvac.0.","NonCovid_cumPropSymptInfect_tested_unvac.25.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.75.","NonCovid_cumPropSymptInfect_tested_unvac.100.","CumProp_falseNeg_vac.0.","CumProp_falseNeg_vac.25.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.75.","CumProp_falseNeg_vac.100.","CumProp_falseNeg_unvac.0.","CumProp_falseNeg_unvac.25.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.75.","CumProp_falseNeg_unvac.100."
"11",0.03,"modUnequal",0,0,4e-05,5.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00028,0.150866666666667,0.151653333333333,0.15198,0.152486666666667,0.154026666666667,0.14588,0.15047,0.15204,0.153,0.15536,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.0144933333333333,0.0155733333333333,0.0157466666666667,0.01601,0.01672,0.00688,0.00756,0.00786,0.00825,0.00904,0,0,0,0,0,0,0,0,0,0
"12",0.05,"modUnequal",0,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,8e-05,0.00012,0.00024,0.15072,0.151586666666667,0.152033333333334,0.152386666666667,0.15348,0.14752,0.1508,0.15188,0.15309,0.15584,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,8e-05,0.0147733333333333,0.0154333333333333,0.0156666666666667,0.0160433333333333,0.0165866666666667,0.00508,0.00747,0.00778,0.00824,0.00904,0,0,0,0,0,0,0,0,0,0
"13",0.07,"modUnequal",0,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00012,0.00032,0.150653333333333,0.151596666666667,0.151986666666667,0.1524,0.153946666666667,0.14612,0.15079,0.15194,0.15317,0.156,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,4e-05,0.01464,0.0155133333333333,0.0157733333333333,0.0160833333333333,0.0166933333333333,0.00632,0.00744,0.0078,0.00821,0.00916,0,0,0,0,0,0,0,0,0,0
"14",0.09,"modUnequal",0,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,8e-05,0,8e-05,0.00012,0.00012,2e-04,0.15,0.15153,0.15202,0.15244,0.15328,0.14812,0.1506,0.15184,0.15337,0.158,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.0147066666666667,0.01545,0.0157533333333333,0.0159733333333333,0.0165866666666667,0.0066,0.0074,0.00778,0.0082,0.0094,0,0,0,0,0,0,0,0,0,0
"15",0.11,"modUnequal",0,0,2.66666666666667e-05,5.33333333333333e-05,5.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.150013333333333,0.151616666666667,0.15206,0.152453333333333,0.153213333333333,0.14832,0.15062,0.1518,0.15312,0.15792,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.0143733333333333,0.0153866666666667,0.0156666666666667,0.01587,0.01688,0.00616,0.00751,0.00788,0.00816,0.009,0,0,0,0,0,0,0,0,0,0
"16",0.03,"equal",1,0,4e-05,5.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00028,0.150933333333333,0.151733333333333,0.152066666666667,0.152563333333333,0.154053333333333,0.14604,0.15055,0.1521,0.15305,0.15544,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,4e-05,4e-05,0.00012,0.0276533333333333,0.0286933333333333,0.0289466666666667,0.0292533333333333,0.0303333333333333,0.02696,0.02815,0.0288,0.02941,0.03076,0,0,0,0,0,0,0,0,0,0
"17",0.05,"equal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,8e-05,0.00012,0.00024,0.150733333333333,0.1517,0.1521,0.152483333333333,0.153626666666667,0.14768,0.15084,0.15194,0.15324,0.15592,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,4e-05,0.00012,0.0277466666666667,0.02848,0.0290266666666667,0.0294266666666667,0.0301066666666667,0.02708,0.02819,0.02888,0.02966,0.0312,0,0,0,0,0,0,0,0,0,0
"18",0.07,"equal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00012,0.00032,0.15068,0.151646666666667,0.15206,0.152483333333333,0.154,0.14612,0.15089,0.152,0.15325,0.15608,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,0.00012,0.0278933333333333,0.0286,0.0289866666666667,0.0293966666666667,0.03028,0.02628,0.02807,0.02894,0.02965,0.03124,0,0,0,0,0,0,0,0,0,0
"19",0.09,"equal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,8e-05,0,8e-05,0.00012,0.00012,2e-04,0.150053333333333,0.1516,0.152086666666666,0.15251,0.1534,0.14816,0.15071,0.1519,0.15344,0.15812,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,4e-05,0.00012,0.02728,0.0283933333333333,0.02886,0.0292266666666667,0.0304,0.02696,0.02815,0.02896,0.0298,0.03144,0,0,0,0,0,0,0,0,0,0
"20",0.11,"equal",1,0,2.66666666666667e-05,5.33333333333333e-05,5.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.150066666666667,0.151666666666667,0.152133333333334,0.15251,0.153293333333333,0.14844,0.15072,0.15188,0.1532,0.158,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,0.00016,0.0278133333333333,0.0284866666666666,0.0288466666666667,0.0292966666666667,0.0307866666666667,0.02636,0.02835,0.02896,0.02956,0.03252,0,0,0,0,0,0,0,0,0,0
