"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,2,8,10,8e-05,0.000106666666666667,1e-04,0,0,2,7,9,8e-05,9.33333333333333e-05,9e-05,3754,11446,15200,0.15016,0.152613333333333,0.152,0,3,0,3,21244,63549,2,7,9,8e-05,9.33333333333333e-05,9e-05,3754,11443,3754,11443,15197,0.15016,0.152573333333333,0.15197,0,1,1,0,1.33333333333333e-05,1e-05,389,1196,1585,0.01556,0.0159466666666667,0.01585,389,1197,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.148212881237438,-0.148212881237438,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"2",2,3,13,16,0.00012,0.000173333333333333,0.00016,1,5,2,7,9,8e-05,9.33333333333333e-05,9e-05,3753,11447,15200,0.15012,0.152626666666667,0.152,0,4,0,3,21243,63541,2,7,9,8e-05,9.33333333333333e-05,9e-05,3754,11446,3754,11447,15201,0.15016,0.152626666666667,0.15201,1,2,3,4e-05,2.66666666666667e-05,3e-05,718,2193,2911,0.02872,0.02924,0.02911,719,2195,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.147811653708395,-0.147911934300192,0.333333333333333,0.345189238486092,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"3",3,3,13,16,0.00012,0.000173333333333333,0.00016,1,5,2,7,9,8e-05,9.33333333333333e-05,9e-05,3754,11446,15200,0.15016,0.152613333333333,0.152,0,4,0,3,21235,63519,2,7,9,8e-05,9.33333333333333e-05,9e-05,3762,11468,3762,11469,15231,0.15048,0.15292,0.15231,1,3,4,4e-05,4e-05,4e-05,982,3028,4010,0.03928,0.0403733333333333,0.0401,983,3031,0,1,0,0.000329924117452986,0,0,0,0,0,1,0,0.000329924117452986,-0.166666666666667,-0.148051268637196,-0.148151377746774,0,0.0270805812417437,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"4",4,7,15,22,0.00028,2e-04,0.00022,5,7,2,9,11,8e-05,0.00012,0.00011,3752,11448,15200,0.15008,0.15264,0.152,0,5,0,3,21207,63443,2,9,11,8e-05,0.00012,0.00011,3786,11542,3786,11544,15330,0.15144,0.15392,0.1533,1,3,4,4e-05,4e-05,4e-05,1227,3714,4941,0.04908,0.04952,0.04941,1228,3717,0,1,0,0.000269034167339252,0,0,0,0,0,1,0,0.000269034167339252,-0.5,-0.475831600831601,-0.476087333217813,0,0.00888529886914369,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"5",5,9,19,28,0.00036,0.000253333333333333,0.00028,7,11,2,11,13,8e-05,0.000146666666666667,0.00013,3743,11457,15200,0.14972,0.15276,0.152,0,6,0,4,21137,63223,2,11,13,8e-05,0.000146666666666667,0.00013,3854,11758,3854,11760,15614,0.15416,0.1568,0.15614,1,4,5,4e-05,5.33333333333333e-05,5e-05,1433,4369,5802,0.05732,0.0582533333333333,0.05802,1434,4373,0,0,0,0,0,0,0,0,0,0,0,0,-0.833333333333333,-0.802465986394558,-0.802772580370811,-0.333333333333333,-0.311970702677958,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"6",6,12,26,38,0.00048,0.000346666666666667,0.00038,10,18,4,13,17,0.00016,0.000173333333333333,0.00017,3759,11441,15200,0.15036,0.152546666666667,0.152,0,6,0,4,20978,62804,4,13,17,0.00016,0.000173333333333333,0.00017,4010,12170,4010,12172,16182,0.1604,0.162293333333333,0.16182,2,8,10,8e-05,0.000106666666666667,1e-04,1621,4925,6546,0.06484,0.0656666666666667,0.06546,1623,4933,0,1,0,0.00020271639975674,0,0,0,0,0,1,0,0.00020271639975674,-0.0833333333333333,-0.0706950377916531,-0.0708709942481511,-0.333333333333333,-0.316548223350254,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"7",7,14,29,43,0.00056,0.000386666666666667,0.00043,12,21,5,13,18,2e-04,0.000173333333333333,0.00018,3756,11444,15200,0.15024,0.152586666666667,0.152,0,6,0,4,20738,62071,5,13,18,2e-04,0.000173333333333333,0.00018,4248,12900,4248,12902,17150,0.16992,0.172026666666667,0.1715,2,8,10,8e-05,0.000106666666666667,1e-04,1772,5457,7229,0.07088,0.07276,0.07229,1774,5465,0,1,0,0.000182982616651418,0,0,0,0,0,1,0,0.000182982616651418,0.133333333333333,0.143946674934119,0.143813953488372,-0.333333333333333,-0.298882169690306,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"8",8,15,34,49,6e-04,0.000453333333333333,0.00049,14,30,4,12,16,0.00016,0.00016,0.00016,3756,11444,15200,0.15024,0.152586666666667,0.152,0,5,0,2,20412,61080,5,16,21,2e-04,0.000213333333333333,0.00021,4572,13882,4573,13885,18458,0.18292,0.185133333333333,0.18458,2,8,10,8e-05,0.000106666666666667,1e-04,1952,5974,7926,0.07808,0.0796533333333333,0.07926,1954,5982,0,1,0,0.000167168171180207,0,0,0,0,0,1,0,0.000167168171180207,-0.0666666666666667,-0.0539142960028809,-0.0539115401239014,-0.333333333333333,-0.306996986943421,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"9",9,17,41,58,0.00068,0.000546666666666667,0.00058,17,38,6,14,20,0.00024,0.000186666666666667,2e-04,3766,11434,15200,0.15064,0.152453333333333,0.152,1,3,0,2,20008,59871,8,18,26,0.00032,0.00024,0.00026,4973,15083,4975,15086,20061,0.199,0.201146666666667,0.20061,2,10,12,8e-05,0.000133333333333333,0.00012,2134,6487,8621,0.08536,0.0864933333333333,0.08621,2136,6497,0,1,0,0.000153917192550408,0,0,0,0,0,1,0,0.000153917192550408,0.25,0.258004109770648,0.258154876350859,-0.666666666666667,-0.644828117774009,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
"10",10,19,50,69,0.00076,0.000666666666666667,0.00069,19,49,6,12,18,0.00024,0.00016,0.00018,3744,11456,15200,0.14976,0.152746666666667,0.152,1,3,0,1,19573,58479,8,18,26,0.00032,0.00024,0.00026,5406,16464,5408,16469,21877,0.21632,0.219586666666667,0.21877,3,10,13,0.00012,0.000133333333333333,0.00013,2295,7086,9381,0.0918,0.09448,0.09381,2298,7096,0,1,0,0.000140924464487035,0,0,0,0,0,1,0,0.000140924464487035,0.25,0.261157325884996,0.261206268221574,-0.111111111111111,-0.0795935647756139,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.00279196458971745,-0.0103372814327094,0.0117066932718879,0.0257074705150181,0.0161492756525802,-0.0273305971150428,0.00794200389037214,0.0296779376477044,0.15795,0.37425,0.5753,48,57,0.1,0.2,0.1,32,169075383,6.00498
