"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,3,7,10,0.00012,9.33333333333333e-05,1e-04,0,0,2,3,5,8e-05,4e-05,5e-05,3867,11333,15200,0.15468,0.151106666666667,0.152,0,1,0,1,21130,63661,2,3,5,8e-05,4e-05,5e-05,3867,11332,3867,11332,15199,0.15468,0.151093333333333,0.15199,1,0,1,4e-05,0,1e-05,389,1191,1580,0.01556,0.01588,0.0158,390,1191,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.488130956583127,0.488130956583127,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"2",2,6,9,15,0.00024,0.00012,0.00015,3,2,2,3,5,8e-05,4e-05,5e-05,3869,11331,15200,0.15476,0.15108,0.152,0,1,0,1,21125,63657,2,3,5,8e-05,4e-05,5e-05,3869,11334,3869,11334,15203,0.15476,0.15112,0.15203,1,0,1,4e-05,0,1e-05,741,2166,2907,0.02964,0.02888,0.02907,742,2166,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.487956590788777,0.487956590788777,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"3",3,9,15,24,0.00036,2e-04,0.00024,6,8,2,3,5,8e-05,4e-05,5e-05,3868,11332,15200,0.15472,0.151093333333333,0.152,0,1,0,1,21114,63618,2,3,5,8e-05,4e-05,5e-05,3877,11367,3877,11367,15244,0.15508,0.15156,0.15244,1,0,1,4e-05,0,1e-05,1004,2954,3958,0.04016,0.0393866666666667,0.03958,1005,2954,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.488387437318554,0.488387437318554,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"4",4,9,18,27,0.00036,0.00024,0.00027,6,11,3,3,6,0.00012,4e-05,6e-05,3872,11328,15200,0.15488,0.15104,0.152,0,1,0,1,21079,63532,3,3,6,0.00012,4e-05,6e-05,3912,11450,3912,11450,15362,0.15648,0.152666666666667,0.15362,1,0,1,4e-05,0,1e-05,1251,3643,4894,0.05004,0.0485733333333333,0.04894,1252,3643,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.658340611353712,0.658340611353712,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"5",5,9,22,31,0.00036,0.000293333333333333,0.00031,6,15,3,4,7,0.00012,5.33333333333333e-05,7e-05,3874,11326,15200,0.15496,0.151013333333333,0.152,1,2,0,1,21015,63311,3,4,7,0.00012,5.33333333333333e-05,7e-05,3976,11667,3977,11668,15645,0.15908,0.155573333333333,0.15645,3,0,3,0.00012,0,3e-05,1450,4263,5713,0.058,0.05684,0.05713,1453,4263,1,0,0.000688231245698555,0,0,0,0,0,1,0,0.000688231245698555,0,0.555555555555556,0.545537652839675,0.545612982486215,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"6",6,12,27,39,0.00048,0.00036,0.00039,9,20,3,4,7,0.00012,5.33333333333333e-05,7e-05,3867,11333,15200,0.15468,0.151106666666667,0.152,1,4,0,1,20871,62886,3,4,7,0.00012,5.33333333333333e-05,7e-05,4117,12087,4118,12090,16208,0.16472,0.1612,0.16208,3,0,3,0.00012,0,3e-05,1613,4785,6398,0.06452,0.0638,0.06398,1616,4785,1,0,0.000618811881188119,0,0,0,0,0,1,0,0.000618811881188119,0,0.555555555555556,0.545850565205404,0.5458481564215,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"7",7,14,33,47,0.00056,0.00044,0.00047,11,26,5,4,9,2e-04,5.33333333333333e-05,9e-05,3848,11352,15200,0.15392,0.15136,0.152,1,4,0,1,20660,62165,5,4,9,2e-04,5.33333333333333e-05,9e-05,4326,12802,4327,12805,17132,0.17308,0.170733333333333,0.17132,3,0,3,0.00012,0,3e-05,1783,5293,7076,0.07132,0.0705733333333333,0.07076,1786,5293,1,0,0.000559910414333707,0,0,0,0,0,1,0,0.000559910414333707,0,0.733333333333333,0.729668098399063,0.729667239493829,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"8",8,13,35,48,0.00052,0.000466666666666667,0.00048,11,29,4,5,9,0.00016,6.66666666666667e-05,9e-05,3860,11340,15200,0.1544,0.1512,0.152,2,3,0,0,20331,61115,5,6,11,2e-04,8e-05,0.00011,4655,13849,4657,13852,18509,0.18628,0.184693333333333,0.18509,3,0,3,0.00012,0,3e-05,1966,5804,7770,0.07864,0.0773866666666667,0.0777,1969,5804,1,0,0.000507872016251904,0,0,0,0,0,1,0,0.000507872016251904,0,0.6,0.596563673115796,0.596649577586829,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"9",9,15,38,53,6e-04,0.000506666666666667,0.00053,14,32,4,10,14,0.00016,0.000133333333333333,0.00014,3849,11351,15200,0.15396,0.151346666666667,0.152,3,3,0,1,19899,59871,5,11,16,2e-04,0.000146666666666667,0.00016,5084,15090,5088,15092,20180,0.20352,0.201226666666667,0.2018,3,1,4,0.00012,1.33333333333333e-05,4e-05,2128,6343,8471,0.08512,0.0845733333333333,0.08471,2131,6344,1,0,0.000469263256687001,0,0,0,0,0,1,0,0.000469263256687001,0,0.266666666666667,0.258309037900875,0.258793903247184,0.888888888888889,0.888170686846392,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
"10",10,16,46,62,0.00064,0.000613333333333333,0.00062,16,40,5,13,18,2e-04,0.000173333333333333,0.00018,3866,11334,15200,0.15464,0.15112,0.152,4,5,2,2,19444,58563,7,14,21,0.00028,0.000186666666666667,0.00021,5537,16390,5540,16394,21934,0.2216,0.218586666666667,0.21934,4,3,7,0.00016,4e-05,7e-05,2304,6913,9217,0.09216,0.0921733333333333,0.09217,2308,6916,1,0,0.000433275563258232,0,0,0,0,0,1,0,0.000433275563258232,0,0.333333333333333,0.324142979138709,0.324344112263575,0.75,0.750036163749457,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",-0.00545988519556792,-0.0145057964688713,-0.00528523449696505,0.0105004634363921,-0.0098843322818086,-0.0460149993540402,-0.00856771370322607,0.0129588319510641,0.1977,0.37149,0.57282,50,57,0.1,0.2,0.1,71,537251001,6.00496
