"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,4,6,10,0.00016,8e-05,1e-04,0,0,3,3,6,0.00012,4e-05,6e-05,3804,11396,15200,0.15216,0.151946666666667,0.152,0,0,0,0,21192,63598,3,3,6,0.00012,4e-05,6e-05,3804,11396,3804,11396,15200,0.15216,0.151946666666667,0.152,1,0,1,4e-05,0,1e-05,383,1189,1572,0.01532,0.0158533333333333,0.01572,384,1189,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666198666198666,0.666198666198666,1,1,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"2",2,6,8,14,0.00024,0.000106666666666667,0.00014,2,2,3,3,6,0.00012,4e-05,6e-05,3804,11396,15200,0.15216,0.151946666666667,0.152,1,1,0,0,21190,63592,3,3,6,0.00012,4e-05,6e-05,3804,11400,3805,11401,15206,0.1522,0.152013333333333,0.15206,1,2,3,4e-05,2.66666666666667e-05,3e-05,729,2161,2890,0.02916,0.0288133333333333,0.0289,730,2163,0,1,0,0.000462320850670365,0,0,0,0,0,1,0,0.000462320850670365,0.666666666666667,0.666257345846855,0.666315789473684,0.333333333333333,0.325312355391023,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"3",3,8,14,22,0.00032,0.000186666666666667,0.00022,4,8,3,3,6,0.00012,4e-05,6e-05,3810,11390,15200,0.1524,0.151866666666667,0.152,2,3,0,0,21178,63566,3,3,6,0.00012,4e-05,6e-05,3814,11420,3816,11423,15239,0.15264,0.152306666666667,0.15239,1,2,3,4e-05,2.66666666666667e-05,3e-05,1001,3003,4004,0.04004,0.04004,0.04004,1002,3005,0,1,0,0.000332778702163062,0,0,0,0,0,1,0,0.000332778702163062,0.666666666666667,0.665937144357875,0.666024518388792,0.333333333333333,0.333333333333333,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"4",4,10,16,26,4e-04,0.000213333333333333,0.00026,6,10,3,5,8,0.00012,6.66666666666667e-05,8e-05,3824,11376,15200,0.15296,0.15168,0.152,2,4,0,1,21137,63487,3,5,8,0.00012,6.66666666666667e-05,8e-05,3853,11497,3855,11500,15355,0.1542,0.153333333333333,0.15355,1,2,3,4e-05,2.66666666666667e-05,3e-05,1226,3737,4963,0.04904,0.0498266666666667,0.04963,1227,3739,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0.441304347826087,0.441448493809979,0.333333333333333,0.343858710195344,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"5",5,10,19,29,4e-04,0.000253333333333333,0.00029,6,13,4,5,9,0.00016,6.66666666666667e-05,9e-05,3823,11377,15200,0.15292,0.151693333333333,0.152,2,5,1,0,21072,63279,4,5,9,0.00016,6.66666666666667e-05,9e-05,3918,11702,3919,11707,15626,0.15676,0.156093333333333,0.15626,2,4,6,8e-05,5.33333333333333e-05,6e-05,1442,4348,5790,0.05768,0.0579733333333333,0.0579,1444,4352,0,1,0,0.000229779411764706,0,0,0,0,0,1,0,0.000229779411764706,0.583333333333333,0.581553771247971,0.581481797983251,0.333333333333333,0.33670653173873,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"6",6,10,25,35,4e-04,0.000333333333333333,0.00035,6,20,5,7,12,2e-04,9.33333333333333e-05,0.00012,3828,11372,15200,0.15312,0.151626666666667,0.152,2,6,1,0,20926,62837,5,7,12,2e-04,9.33333333333333e-05,0.00012,4064,12137,4065,12144,16209,0.1626,0.16192,0.16209,2,4,6,8e-05,5.33333333333333e-05,6e-05,1627,4888,6515,0.06508,0.0651733333333333,0.06515,1629,4892,0,1,0,0.000204415372035977,0,0,0,0,0,1,0,0.000204415372035977,0.533333333333333,0.531373517786561,0.531218587789404,0.333333333333333,0.334288052373159,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"7",7,14,30,44,0.00056,4e-04,0.00044,11,26,4,9,13,0.00016,0.00012,0.00013,3831,11369,15200,0.15324,0.151586666666667,0.152,3,6,1,1,20677,62118,5,9,14,2e-04,0.00012,0.00014,4308,12850,4310,12856,17166,0.1724,0.171413333333333,0.17166,2,5,7,8e-05,6.66666666666667e-05,7e-05,1789,5389,7178,0.07156,0.0718533333333333,0.07178,1791,5394,0,1,0,0.000185391175380052,0,0,0,0,0,1,0,0.000185391175380052,0.4,0.396546359676416,0.396544747081712,0.166666666666667,0.170068658378178,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"8",8,17,38,55,0.00068,0.000506666666666667,0.00055,14,34,4,11,15,0.00016,0.000146666666666667,0.00015,3851,11349,15200,0.15404,0.15132,0.152,3,7,1,1,20347,61153,5,11,16,2e-04,0.000146666666666667,0.00016,4635,13807,4638,13816,18454,0.18552,0.184213333333333,0.18454,4,7,11,0.00016,9.33333333333333e-05,0.00011,1957,5890,7847,0.07828,0.0785333333333333,0.07847,1961,5897,1,3,0.000509943906170321,0.000508733254197049,0,0,0,0,1,3,0.000509943906170321,0.000508733254197049,0.266666666666667,0.261464968152866,0.261461577460708,0.416666666666667,0.418548387096774,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"9",9,19,44,63,0.00076,0.000586666666666667,0.00063,16,42,5,12,17,2e-04,0.00016,0.00017,3845,11355,15200,0.1538,0.1514,0.152,3,8,1,2,19922,59959,6,13,19,0.00024,0.000173333333333333,0.00019,5058,14993,5061,15002,20063,0.20244,0.200026666666667,0.20063,4,7,11,0.00016,9.33333333333333e-05,0.00011,2130,6402,8532,0.0852,0.08536,0.08532,2134,6409,1,3,0.000468603561387067,0.000468091745982213,0,0,0,0,1,3,0.000468603561387067,0.000468091745982213,0.277777777777778,0.269064124783362,0.269058894150604,0.416666666666667,0.41776007497657,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
"10",10,19,56,75,0.00076,0.000746666666666667,0.00075,17,55,5,14,19,2e-04,0.000186666666666667,0.00019,3853,11347,15200,0.15412,0.151293333333333,0.152,3,8,1,3,19482,58590,7,16,23,0.00028,0.000213333333333333,0.00023,5497,16349,5501,16358,21859,0.22004,0.218106666666667,0.21859,5,7,12,2e-04,9.33333333333333e-05,0.00012,2319,6952,9271,0.09276,0.0926933333333333,0.09271,2324,6959,1,2,0.000430292598967298,0.000287397614599799,0,0,0,0,1,2,0.000430292598967298,0.000287397614599799,0.238095238095238,0.231341589087035,0.23147767884449,0.533333333333333,0.532997698504028,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",-0.00932691021008966,-0.018207497323496,0.012220396376587,0.0285325438581469,-0.00396634615384614,-0.0455920561651787,0.00645135237677952,0.0308956353084245,0.19391,0.37036,0.57336,50,57,0.1,0.2,0.1,17,394113916,6.00524
