"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,2,8,10,8e-05,0.000106666666666667,1e-04,0,0,0,5,5,0,6.66666666666667e-05,5e-05,3794,11406,15200,0.15176,0.15208,0.152,0,1,0,1,21204,63587,0,5,5,0,6.66666666666667e-05,5e-05,3794,11405,3794,11405,15199,0.15176,0.152066666666667,0.15199,0,0,0,0,0,0,391,1196,1587,0.01564,0.0159466666666667,0.01587,391,1196,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"2",2,5,9,14,2e-04,0.00012,0.00014,3,1,0,5,5,0,6.66666666666667e-05,5e-05,3796,11404,15200,0.15184,0.152053333333333,0.152,0,2,0,1,21197,63575,0,5,5,0,6.66666666666667e-05,5e-05,3798,11416,3798,11417,15215,0.15192,0.152226666666667,0.15215,0,2,2,0,2.66666666666667e-05,2e-05,709,2203,2912,0.02836,0.0293733333333333,0.02912,709,2205,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"3",3,6,11,17,0.00024,0.000146666666666667,0.00017,4,3,0,5,5,0,6.66666666666667e-05,5e-05,3804,11396,15200,0.15216,0.151946666666667,0.152,0,3,0,1,21182,63548,0,5,5,0,6.66666666666667e-05,5e-05,3812,11441,3812,11443,15255,0.15248,0.152573333333333,0.15255,0,2,2,0,2.66666666666667e-05,2e-05,970,3010,3980,0.0388,0.0401333333333333,0.0398,970,3012,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"4",4,7,16,23,0.00028,0.000213333333333333,0.00023,5,8,0,5,5,0,6.66666666666667e-05,5e-05,3804,11396,15200,0.15216,0.151946666666667,0.152,0,3,0,1,21147,63462,0,5,5,0,6.66666666666667e-05,5e-05,3846,11522,3846,11524,15370,0.15384,0.153653333333333,0.1537,0,3,3,0,4e-05,3e-05,1191,3697,4888,0.04764,0.0492933333333333,0.04888,1191,3700,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"5",5,9,19,28,0.00036,0.000253333333333333,0.00028,7,11,2,7,9,8e-05,9.33333333333333e-05,9e-05,3809,11391,15200,0.15236,0.15188,0.152,1,3,0,2,21078,63260,2,7,9,8e-05,9.33333333333333e-05,9e-05,3913,11721,3914,11722,15636,0.15656,0.156293333333333,0.15636,0,4,4,0,5.33333333333333e-05,4e-05,1400,4344,5744,0.056,0.05792,0.05744,1400,4348,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.168657225729397,-0.168458322668714,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"6",6,11,27,38,0.00044,0.00036,0.00038,10,19,3,7,10,0.00012,9.33333333333333e-05,1e-04,3810,11390,15200,0.1524,0.151866666666667,0.152,1,3,0,2,20932,62835,3,7,10,0.00012,9.33333333333333e-05,1e-04,4056,12138,4057,12139,16196,0.16228,0.161853333333333,0.16196,0,5,5,0,6.66666666666667e-05,5e-05,1569,4878,6447,0.06276,0.06504,0.06447,1569,4883,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.220171897740066,0.220299884659746,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"7",7,14,30,44,0.00056,4e-04,0.00044,13,22,3,8,11,0.00012,0.000106666666666667,0.00011,3816,11384,15200,0.15264,0.151786666666667,0.152,2,4,0,2,20697,62125,3,8,11,0.00012,0.000106666666666667,0.00011,4288,12845,4290,12847,17137,0.1716,0.171293333333333,0.17137,1,6,7,4e-05,8e-05,7e-05,1727,5357,7084,0.06908,0.0714266666666667,0.07084,1728,5363,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.109519732233206,0.109796289087842,-1,-0.93429158110883,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"8",8,15,36,51,6e-04,0.00048,0.00051,14,28,3,10,13,0.00012,0.000133333333333333,0.00013,3814,11386,15200,0.15256,0.151813333333333,0.152,2,5,0,2,20355,61150,3,10,13,0.00012,0.000133333333333333,0.00013,4629,13814,4631,13817,18448,0.18524,0.184226666666667,0.18448,2,7,9,8e-05,9.33333333333333e-05,9e-05,1902,5831,7733,0.07608,0.0777466666666667,0.07733,1904,5838,1,0,0.000525210084033613,0,0,0,0,0,1,0,0.000525210084033613,0,-0.111111111111111,-0.117222744927746,-0.116982771101781,-0.166666666666667,-0.141656662665066,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"9",9,18,40,58,0.00072,0.000533333333333333,0.00058,17,33,6,11,17,0.00024,0.000146666666666667,0.00017,3795,11405,15200,0.1518,0.152066666666667,0.152,1,4,1,1,19953,59996,6,12,18,0.00024,0.00016,0.00018,5028,14963,5029,14967,19996,0.20116,0.19956,0.19996,2,9,11,8e-05,0.00012,0.00011,2070,6381,8451,0.0828,0.08508,0.08451,2072,6390,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.327988240796419,0.327942257568669,-0.5,-0.459802538787024,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
"10",10,18,48,66,0.00072,0.00064,0.00066,17,42,9,12,21,0.00036,0.00016,0.00021,3783,11417,15200,0.15132,0.152226666666667,0.152,2,7,2,3,19484,58646,9,14,23,0.00036,0.000186666666666667,0.00023,5497,16304,5497,16310,21807,0.21988,0.217466666666667,0.21807,2,9,11,8e-05,0.00012,0.00011,2241,6931,9172,0.08964,0.0924133333333333,0.09172,2243,6940,0,0,0,0,0,0,0,0,0,0,0,0,0.481481481481482,0.475727229375298,0.47553429287973,-0.5,-0.454984850670899,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.0313805261730405,0.0141124995202193,0.022791230605632,0.0266919200734371,0.0192340820247796,-0.0213992844033381,0.00486944114080179,0.0154476781302678,0.20257,0.3794,0.57062,50,57,0.1,0.2,0.1,56,29293804,6.0052
