"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,3,7,10,0.00012,9.33333333333333e-05,1e-04,0,0,3,6,9,0.00012,8e-05,9e-05,3661,11539,15200,0.14644,0.153853333333333,0.152,0,0,0,0,21336,63454,3,6,9,0.00012,8e-05,9e-05,3661,11539,3661,11539,15200,0.14644,0.153853333333333,0.152,0,1,1,0,1.33333333333333e-05,1e-05,378,1222,1600,0.01512,0.0162933333333333,0.016,378,1223,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.365456278706994,0.365456278706994,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"2",2,4,12,16,0.00016,0.00016,0.00016,1,5,3,6,9,0.00012,8e-05,9e-05,3661,11539,15200,0.14644,0.153853333333333,0.152,0,1,0,0,21334,63444,3,6,9,0.00012,8e-05,9e-05,3662,11544,3662,11545,15207,0.14648,0.153933333333333,0.15207,0,1,1,0,1.33333333333333e-05,1e-05,700,2228,2928,0.028,0.0297066666666667,0.02928,700,2229,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.365612819402339,0.365557865557866,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"3",3,5,14,19,2e-04,0.000186666666666667,0.00019,2,7,3,6,9,0.00012,8e-05,9e-05,3657,11543,15200,0.14628,0.153906666666667,0.152,0,1,0,0,21328,63417,3,6,9,0.00012,8e-05,9e-05,3667,11569,3667,11570,15237,0.14668,0.154266666666667,0.15237,0,3,3,0,4e-05,3e-05,986,3059,4045,0.03944,0.0407866666666667,0.04045,986,3062,0,1,0,0.000326583932070542,0,0,0,0,0,1,0,0.000326583932070542,0.333333333333333,0.366119273984443,0.366064482669202,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"4",4,9,18,27,0.00036,0.00024,0.00027,6,11,3,8,11,0.00012,0.000106666666666667,0.00011,3656,11544,15200,0.14624,0.15392,0.152,0,1,0,0,21292,63327,3,8,11,0.00012,0.000106666666666667,0.00011,3699,11655,3699,11656,15355,0.14796,0.155413333333333,0.15355,0,4,4,0,5.33333333333333e-05,4e-05,1191,3809,5000,0.04764,0.0507866666666667,0.05,1191,3813,0,1,0,0.000262260687123,0,0,0,0,0,1,0,0.000262260687123,0.111111111111111,0.153740562800275,0.153667953667954,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"5",5,13,23,36,0.00052,0.000306666666666667,0.00036,10,16,4,9,13,0.00016,0.00012,0.00013,3668,11532,15200,0.14672,0.15376,0.152,1,1,0,0,21215,63108,4,9,13,0.00016,0.00012,0.00013,3772,11869,3773,11870,15643,0.15092,0.158266666666667,0.15643,1,5,6,4e-05,6.66666666666667e-05,6e-05,1390,4437,5827,0.0556,0.05916,0.05827,1391,4442,0,1,0,0.000225123818099955,0,0,0,0,0,1,0,0.000225123818099955,0.25,0.284814658803707,0.28494397169096,-0.666666666666667,-0.566373675907144,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"6",6,13,25,38,0.00052,0.000333333333333333,0.00038,10,18,4,9,13,0.00016,0.00012,0.00013,3670,11530,15200,0.1468,0.153733333333333,0.152,1,1,0,0,21086,62683,4,9,13,0.00016,0.00012,0.00013,3901,12292,3902,12293,16195,0.15608,0.163906666666667,0.16195,2,5,7,8e-05,6.66666666666667e-05,7e-05,1562,4962,6524,0.06248,0.06616,0.06524,1564,4967,0,1,0,0.000201328769881216,0,0,0,0,0,1,0,0.000201328769881216,0.25,0.285813064345562,0.285938008460787,0.166666666666667,0.213018943974204,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"7",7,14,26,40,0.00056,0.000346666666666667,4e-04,11,20,4,12,16,0.00016,0.00016,0.00016,3672,11528,15200,0.14688,0.153706666666667,0.152,2,1,0,0,20863,61973,4,12,16,0.00016,0.00016,0.00016,4123,13000,4125,13001,17126,0.165,0.173346666666667,0.17126,3,5,8,0.00012,6.66666666666667e-05,8e-05,1736,5460,7196,0.06944,0.0728,0.07196,1739,5465,1,1,0.000575043128234618,0.000182982616651418,0,0,0,0,1,1,0.000575043128234618,0.000182982616651418,0,0.0481501422967464,0.0485384615384615,0.444444444444444,0.47008547008547,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"8",8,13,29,42,0.00052,0.000386666666666667,0.00042,11,24,4,15,19,0.00016,2e-04,0.00019,3735,11465,15200,0.1494,0.152866666666667,0.152,2,1,0,0,20503,60990,4,16,20,0.00016,0.000213333333333333,2e-04,4483,13979,4485,13981,18466,0.1794,0.186413333333333,0.18466,3,6,9,0.00012,8e-05,9e-05,1892,5948,7840,0.07568,0.0793066666666667,0.0784,1895,5954,1,1,0.000527704485488127,0.000167954316425932,0,0,0,0,1,1,0.000527704485488127,0.000167954316425932,-0.333333333333333,-0.283170016450898,-0.282781314829387,0.333333333333333,0.363819771351715,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"9",9,18,38,56,0.00072,0.000506666666666667,0.00056,16,35,6,15,21,0.00024,2e-04,0.00021,3758,11442,15200,0.15032,0.15256,0.152,4,2,0,0,20070,59744,6,18,24,0.00024,0.00024,0.00024,4911,15214,4915,15217,20132,0.1966,0.202893333333333,0.20132,3,7,10,0.00012,9.33333333333333e-05,1e-04,2075,6451,8526,0.083,0.0860133333333333,0.08526,2078,6458,1,2,0.000481231953801732,0.000309693403530505,0,0,0,0,1,2,0.000481231953801732,0.000309693403530505,0,0.0310179404613261,0.0316156171946892,0.222222222222222,0.24947036635147,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
"10",10,21,51,72,0.00084,0.00068,0.00072,19,49,7,15,22,0.00028,2e-04,0.00022,3769,11431,15200,0.15076,0.152413333333333,0.152,5,2,0,0,19628,58423,7,19,26,0.00028,0.000253333333333333,0.00026,5350,16521,5355,16526,21881,0.2142,0.220346666666667,0.21881,5,8,13,2e-04,0.000106666666666667,0.00013,2256,6987,9243,0.09024,0.09316,0.09243,2261,6995,1,3,0.000442282176028306,0.000428877769835597,0,0,0,0,1,3,0.000442282176028306,0.000428877769835597,0.0952380952380951,0.120476824397918,0.121032106323554,0.466666666666667,0.483383426363246,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",-0.0173441734417344,-0.0321398490687144,-0.00880805911187732,0.00689055606876798,-0.00439338976219258,-0.0490477362245028,-0.00795902995668207,0.00375891210824675,0.19026,0.36632,0.57377,49,56,0.1,0.2,0.1,15,741033882,6.00494
