"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,3,7,10,0.00012,9.33333333333333e-05,1e-04,0,0,2,4,6,8e-05,5.33333333333333e-05,6e-05,3874,11326,15200,0.15496,0.151013333333333,0.152,0,1,0,0,21123,63668,2,4,6,8e-05,5.33333333333333e-05,6e-05,3874,11325,3874,11326,15200,0.15496,0.151013333333333,0.152,0,0,0,0,0,0,389,1198,1587,0.01556,0.0159733333333333,0.01587,389,1198,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.315910294896698,0.315849889624724,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"2",2,6,12,18,0.00024,0.00016,0.00018,3,5,2,4,6,8e-05,5.33333333333333e-05,6e-05,3875,11325,15200,0.155,0.151,0.152,0,2,0,0,21117,63657,2,4,6,8e-05,5.33333333333333e-05,6e-05,3877,11331,3877,11333,15210,0.15508,0.151106666666667,0.1521,0,0,0,0,0,0,725,2131,2856,0.029,0.0284133333333333,0.02856,725,2131,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.315803405982529,0.315682640543641,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"3",3,7,16,23,0.00028,0.000213333333333333,0.00023,4,9,2,6,8,8e-05,8e-05,8e-05,3877,11323,15200,0.15508,0.150973333333333,0.152,0,2,0,0,21110,63638,2,6,8,8e-05,8e-05,8e-05,3883,11346,3883,11348,15231,0.15532,0.151306666666667,0.15231,0,1,1,0,1.33333333333333e-05,1e-05,1000,2974,3974,0.04,0.0396533333333333,0.03974,1000,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265244977088472,-0.0267054468535166,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"4",4,7,18,25,0.00028,0.00024,0.00025,4,11,2,6,8,8e-05,8e-05,8e-05,3874,11326,15200,0.15496,0.151013333333333,0.152,0,2,0,0,21076,63545,2,6,8,8e-05,8e-05,8e-05,3917,11437,3917,11439,15356,0.15668,0.15252,0.15356,0,1,1,0,1.33333333333333e-05,1e-05,1256,3661,4917,0.05024,0.0488133333333333,0.04917,1256,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272751114607919,-0.0274547521203112,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"5",5,11,26,37,0.00044,0.000346666666666667,0.00037,8,19,2,8,10,8e-05,0.000106666666666667,1e-04,3868,11332,15200,0.15472,0.151093333333333,0.152,1,2,0,0,21007,63346,2,8,10,8e-05,0.000106666666666667,1e-04,3982,11628,3983,11630,15613,0.15932,0.155066666666667,0.15613,0,1,1,0,1.33333333333333e-05,1e-05,1479,4212,5691,0.05916,0.05616,0.05691,1479,4213,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,-0.369905417024935,-0.369797041623667,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"6",6,14,30,44,0.00056,4e-04,0.00044,11,24,2,10,12,8e-05,0.000133333333333333,0.00012,3882,11318,15200,0.15528,0.150906666666667,0.152,1,4,0,1,20859,62937,2,10,12,8e-05,0.000133333333333333,0.00012,4127,12032,4128,12035,16163,0.16512,0.160466666666667,0.16163,0,1,1,0,1.33333333333333e-05,1e-05,1660,4772,6432,0.0664,0.0636266666666667,0.06432,1660,4773,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666666666667,-0.714997922725384,-0.715009973404255,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"7",7,18,36,54,0.00072,0.00048,0.00054,15,31,3,10,13,0.00012,0.000133333333333333,0.00013,3883,11317,15200,0.15532,0.150893333333333,0.152,1,3,0,1,20619,62214,3,11,14,0.00012,0.000146666666666667,0.00014,4363,12748,4364,12751,17115,0.17456,0.170013333333333,0.17115,0,3,3,0,4e-05,3e-05,1843,5248,7091,0.07372,0.0699733333333333,0.07091,1843,5251,0,1,0,0.000190439916206437,0,0,0,0,0,1,0,0.000190439916206437,-0.222222222222222,-0.254908111782083,-0.254915803786215,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"8",8,19,43,62,0.00076,0.000573333333333333,0.00062,17,39,3,13,16,0.00012,0.000173333333333333,0.00016,3872,11328,15200,0.15488,0.15104,0.152,2,3,0,1,20289,61234,3,14,17,0.00012,0.000186666666666667,0.00017,4691,13720,4693,13724,18417,0.18772,0.182986666666667,0.18417,2,4,6,8e-05,5.33333333333333e-05,6e-05,2005,5768,7773,0.0802,0.0769066666666667,0.07773,2007,5772,2,1,0.000996512207274539,0.000173250173250173,0,0,0,0,2,1,0.000996512207274539,0.000173250173250173,-0.555555555555555,-0.595793257553677,-0.595578231292517,0.333333333333333,0.304785020804438,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"9",9,23,51,74,0.00092,0.00068,0.00074,21,47,6,19,25,0.00024,0.000253333333333333,0.00025,3896,11304,15200,0.15584,0.15072,0.152,3,5,2,3,19864,60019,6,20,26,0.00024,0.000266666666666667,0.00026,5112,14927,5113,14930,20043,0.20452,0.199066666666667,0.20043,2,5,7,8e-05,6.66666666666667e-05,7e-05,2160,6312,8472,0.0864,0.08416,0.08472,2162,6317,1,0,0.000462534690101758,0,0,0,0,0,1,0,0.000462534690101758,0,-0.111111111111111,-0.141549453002902,-0.141555570442822,0.166666666666667,0.144486692015209,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"10",10,26,69,95,0.00104,0.00092,0.00095,24,65,6,22,28,0.00024,0.000293333333333333,0.00028,3841,11359,15200,0.15364,0.151453333333333,0.152,4,8,2,4,19433,58643,6,23,29,0.00024,0.000306666666666667,0.00029,5540,16285,5542,16291,21833,0.22168,0.217213333333333,0.21833,2,7,9,8e-05,9.33333333333333e-05,9e-05,2350,6852,9202,0.094,0.09136,0.09202,2352,6859,1,2,0.000425170068027211,0.000291587694999271,0,0,0,0,1,2,0.000425170068027211,0.000291587694999271,-0.277777777777778,-0.304053362797455,-0.304063043700747,-0.166666666666667,-0.200379451255108,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"11",11,34,80,114,0.00136,0.00106666666666667,0.00114,32,78,8,24,32,0.00032,0.00032,0.00032,3854,11346,15200,0.15416,0.15128,0.152,6,13,3,5,18942,57262,8,26,34,0.00032,0.000346666666666667,0.00034,6023,17653,6027,17665,23692,0.24108,0.235533333333333,0.23692,4,7,11,0.00016,9.33333333333333e-05,0.00011,2523,7411,9934,0.10092,0.0988133333333333,0.09934,2527,7418,1,2,0.000395726157499011,0.000269614451334592,0,0,0,0,1,2,0.000395726157499011,0.000269614451334592,-0.0833333333333333,-0.108845174073026,-0.108862516286184,0.416666666666667,0.404230198353798,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",10,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"12",12,35,92,127,0.0014,0.00122666666666667,0.00127,34,92,9,30,39,0.00036,4e-04,0.00039,3889,11311,15200,0.15556,0.150813333333333,0.152,6,14,5,4,18498,55999,10,34,44,4e-04,0.000453333333333333,0.00044,6465,18902,6467,18919,25386,0.25868,0.252253333333333,0.25386,4,10,14,0.00016,0.000133333333333333,0.00014,2693,8008,10701,0.10772,0.106773333333333,0.10701,2697,8018,0,3,0,0.000374158144175605,0,0,0,0,0,3,0,0.000374158144175605,-0.133333333333333,-0.162207304825836,-0.162892815575071,0.166666666666667,0.159278221778222,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",11,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
"13",13,40,115,155,0.0016,0.00153333333333333,0.00155,40,115,9,34,43,0.00036,0.000453333333333333,0.00043,3887,11313,15200,0.15548,0.15084,0.152,7,17,4,3,18125,54899,11,38,49,0.00044,0.000506666666666667,0.00049,6832,19979,6836,20004,26840,0.27344,0.26672,0.2684,4,11,15,0.00016,0.000146666666666667,0.00015,2909,8566,11475,0.11636,0.114213333333333,0.11475,2913,8577,0,3,0,0.000349772647778944,0,0,0,0,0,3,0,0.000349772647778944,-0.151515151515151,-0.180527530857465,-0.181313106034063,0.0833333333333335,0.0661043660985291,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",12,TRUE,"equal",0.0133310128785243,0.000869190079565457,-0.00655261697489407,0.0017925729797168,0.00687809971286871,-0.0329671595012292,0.00390916538333663,0.0133056844552506,0.224,0.37727,0.57286,49,55,0.1,0.2,0.1,22,811791521,6.00468
