Covid_probTrans,VE_infect,VE_susc,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.03,0.2,0.55,equal,1,1,9.00E-05,-0.333333333,-0.394025605,-0.883333333,-0.944025605,8.00E-05,9.33E-05
0.03,0.2,0.55,modUnequal,1,1,9.00E-05,NA,NA,NA,NA,8.00E-05,9.33E-05
0.03,0.2,0.55,highUnequal,1,1,9.00E-05,NA,NA,NA,NA,8.00E-05,9.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,1,1,0.45,0.45,4.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,1,1,0.45,0.45,0.00024,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,1,1,0.45,0.45,0.00024,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00024,2.67E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,1,1,0.45,0.45,2.00E-04,1.33E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,1,1,0.45,0.45,2.00E-04,1.33E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,2.00E-04,1.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0,0.000106667
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,0,0.000106667
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0,0.000106667
0.03,0.2,0.55,equal,1,1,6.00E-05,NA,NA,NA,NA,8.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,1,1,0.45,0.45,8.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,8.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,1,1,0.45,0.45,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,0.666666667,0.6643324,0.116666667,0.1143324,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,0,9.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,0,9.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0,9.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,1,1,0.45,0.45,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,1,1,0.45,0.45,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,0.00016,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00016,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00016,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,0,0.455427252,-0.55,-0.094572748,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,1,1,0.45,0.45,4.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,1,1,0.45,0.45,4.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,9.00E-05,0.666666667,0.668981481,0.116666667,0.118981481,2.00E-04,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,9.00E-05,0.666666667,0.834259259,0.116666667,0.284259259,2.00E-04,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,9.00E-05,NA,NA,NA,NA,2.00E-04,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,0.333333333,0.37147966,-0.216666667,-0.17852034,8.00E-05,8.00E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,0.333333333,0.798837729,-0.216666667,0.248837729,8.00E-05,8.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,8.00E-05,8.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,0.666666667,0.672874881,0.116666667,0.122874881,2.00E-04,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,0.666666667,0.82330468,0.116666667,0.27330468,2.00E-04,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,0.666666667,0.865807068,0.116666667,0.315807068,2.00E-04,2.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,0.666666667,0.651415094,0.116666667,0.101415094,0.00012,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,0.666666667,0.836320755,0.116666667,0.286320755,0.00012,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,0.666666667,0.886486486,0.116666667,0.336486486,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,0.666666667,0.653756416,0.116666667,0.103756416,0.00016,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00016,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00016,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,NA,NA,NA,NA,4.00E-05,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,4.00E-05,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,4.00E-05,6.67E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00012,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,1,1,0.45,0.45,0.00012,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00012,6.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
