VE_susc,VE_infect,Covid_probTrans,totalNum_sims,t,Label_testingDiff,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Avg_numContacts.2.5.,Avg_numContacts.50.,Avg_numContacts.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.
0.1,0.2,0.1,100,30,equal,-0.089571746,0.090054331,0.257112019,-0.086935897,0.088205128,0.257301223,0.005004333,0.008586667,0.014167333,0.0056,0.00962,0.016466,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,31,equal,-0.120617525,0.087436577,0.259377524,-0.12034334,0.087186437,0.255191965,0.005832667,0.010146667,0.01671,0.006478,0.01132,0.019624,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,32,equal,-0.106487826,0.095424082,0.250952392,-0.091542845,0.095,0.247346278,0.006979667,0.011973333,0.019862,0.007716,0.0134,0.022647,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,33,equal,-0.072163726,0.087394768,0.241214755,-0.070184108,0.089105339,0.2297982,0.008262667,0.01422,0.023599,0.009274,0.01594,0.026267,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,34,equal,-0.035035277,0.091483751,0.209512048,-0.02915897,0.094409938,0.199870144,0.009748333,0.0167,0.027618,0.010872,0.01896,0.030997,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,35,equal,-0.033757191,0.098609006,0.19670415,-0.034346405,0.095952024,0.192953945,0.011418,0.019673333,0.032348333,0.012775,0.0221,0.036758,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,36,equal,-0.039886894,0.081477858,0.206828869,-0.051697531,0.080177653,0.207484895,0.013438333,0.023206667,0.037808333,0.015056,0.02616,0.043307,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,37,equal,-0.029759653,0.090970878,0.20848017,-0.026331522,0.087957673,0.199590611,0.015921,0.027573333,0.044036,0.017637,0.0306,0.050692,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,38,equal,-0.012003566,0.091637104,0.182740093,-0.019192701,0.084730957,0.179666124,0.018649,0.0323,0.050975,0.020791,0.03596,0.058634,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,39,equal,-0.010288408,0.090796942,0.185602366,-0.008842582,0.091040008,0.180298448,0.022096,0.03808,0.060074333,0.024046,0.04228,0.068521,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,40,equal,0.011667618,0.096797518,0.179076831,0.006024918,0.09404709,0.176951227,0.026172667,0.044673333,0.070106333,0.028291,0.04914,0.080174,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,41,equal,0.035644215,0.094889674,0.171150817,0.034846855,0.093530655,0.164873131,0.030555667,0.052226667,0.081792667,0.033273,0.05768,0.092412,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,42,equal,0.027830604,0.10409073,0.169047873,0.026703739,0.098052446,0.159460553,0.035479333,0.060446667,0.094869333,0.038934,0.06704,0.106366,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,43,equal,0.033709921,0.107819597,0.173071403,0.039853325,0.100061787,0.159683609,0.041531333,0.070566667,0.109034,0.045051,0.0783,0.121569,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,44,equal,0.027250615,0.106993091,0.165406051,0.030520299,0.098565318,0.149059195,0.048781333,0.081653333,0.124778667,0.052969,0.09106,0.14036,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,45,equal,0.029089198,0.105136553,0.161241275,0.034646091,0.097005405,0.141988393,0.056340333,0.094366667,0.142656667,0.062619,0.10524,0.16005,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,46,equal,0.036044832,0.105284282,0.165124278,0.04021284,0.096625011,0.148608266,0.065610667,0.108466667,0.161840667,0.072683,0.12012,0.181491,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,47,equal,0.05329567,0.109525613,0.166014444,0.044890162,0.097655966,0.14885387,0.075718,0.125033333,0.182795333,0.083335,0.13866,0.203525,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,48,equal,0.057619954,0.111471339,0.16434731,0.051734132,0.097852401,0.139159413,0.087201333,0.142906667,0.205708333,0.09706,0.15828,0.22928,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,49,equal,0.057548194,0.113006691,0.165008443,0.052323176,0.098532852,0.13815311,0.100619667,0.16204,0.228900667,0.111382,0.1804,0.255816,6.0044895,6.00492,6.005521,47,50,53
0.1,0.2,0.1,100,50,equal,0.058578359,0.114892379,0.159246564,0.05352066,0.098497241,0.131013477,0.115787667,0.182646667,0.253029667,0.127834,0.2034,0.282656,6.0044895,6.00492,6.005521,47,50,53
