Covid_probTrans,VE_infect,VE_susc,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.03,0.2,0.1,equal,219,219,0.09389,0.100727603,0.10270826,0.000727603,0.00270826,0.10236,0.091066667
0.03,0.2,0.1,modUnequal,219,219,0.09389,-0.558313633,-0.182975709,-0.658313633,-0.282975709,0.10236,0.091066667
0.03,0.2,0.1,highUnequal,219,219,0.09389,-1.0992569,-0.430102591,-1.1992569,-0.530102591,0.10236,0.091066667
0.03,0.2,0.1,equal,203,203,0.08265,0.124246988,0.129378003,0.024246988,0.029378003,0.0908,0.079933333
0.03,0.2,0.1,modUnequal,203,203,0.08265,-0.569500675,-0.160100665,-0.669500675,-0.260100665,0.0908,0.079933333
0.03,0.2,0.1,highUnequal,203,203,0.08265,-1.091726619,-0.378858097,-1.191726619,-0.478858097,0.0908,0.079933333
0.03,0.2,0.1,equal,275,275,0.04686,0.065908013,0.06689602,-0.034091987,-0.03310398,0.0478,0.046546667
0.03,0.2,0.1,modUnequal,275,275,0.04686,-0.637572735,-0.297634913,-0.737572735,-0.397634913,0.0478,0.046546667
0.03,0.2,0.1,highUnequal,275,275,0.04686,-0.995947315,-0.441078693,-1.095947315,-0.541078693,0.0478,0.046546667
0.03,0.2,0.1,equal,163,163,0.03478,0.086238532,0.085556009,-0.013761468,-0.014443991,0.03696,0.034053333
0.03,0.2,0.1,modUnequal,163,163,0.03478,-0.66,-0.188938068,-0.76,-0.288938068,0.03696,0.034053333
0.03,0.2,0.1,highUnequal,163,163,0.03478,-1.465346535,-0.495370678,-1.565346535,-0.595370678,0.03696,0.034053333
0.03,0.2,0.1,equal,290,290,0.10094,0.062327164,0.062979342,-0.037672836,-0.037020658,0.10776,0.098666667
0.03,0.2,0.1,modUnequal,290,290,0.10094,-0.556497175,-0.24301501,-0.656497175,-0.34301501,0.10776,0.098666667
0.03,0.2,0.1,highUnequal,290,290,0.10094,-1.075329567,-0.538912447,-1.175329567,-0.638912447,0.10776,0.098666667
0.03,0.2,0.1,equal,263,263,0.10883,0.086615716,0.091504671,-0.013384284,-0.008495329,0.1166,0.10624
0.03,0.2,0.1,modUnequal,263,263,0.10883,-0.598422497,-0.268750182,-0.698422497,-0.368750182,0.1166,0.10624
0.03,0.2,0.1,highUnequal,263,263,0.10883,-0.951842546,-0.409373856,-1.051842546,-0.509373856,0.1166,0.10624
0.03,0.2,0.1,equal,260,260,0.08276,0.087418936,0.083711461,-0.012581064,-0.016288539,0.0886,0.080813333
0.03,0.2,0.1,modUnequal,260,260,0.08276,-0.574049217,-0.241460698,-0.674049217,-0.341460698,0.0886,0.080813333
0.03,0.2,0.1,highUnequal,260,260,0.08276,-1.011435106,-0.448936351,-1.111435106,-0.548936351,0.0886,0.080813333
0.03,0.2,0.1,equal,210,210,0.0703,0.104545455,0.104023638,0.004545455,0.004023638,0.07452,0.068893333
