VE_infect,VE_susc,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.55,0.1,equal,71,71,0.08516,0.549643445,0.579458662,-0.000356555,0.029458662,0.144,0.065546667
0.1,0.55,0.1,modUnequal,71,71,0.08516,0.165650407,0.50566929,-0.384349593,-0.04433071,0.144,0.065546667
0.1,0.55,0.1,highUnequal,71,71,0.08516,-0.12005457,0.4675906,-0.67005457,-0.0824094,0.144,0.065546667
0.1,0.55,0.1,equal,69,69,0.07602,0.547987616,0.573935583,-0.002012384,0.023935583,0.12832,0.058586667
0.1,0.55,0.1,modUnequal,69,69,0.07602,0.178852643,0.50398128,-0.371147357,-0.04601872,0.12832,0.058586667
0.1,0.55,0.1,highUnequal,69,69,0.07602,-0.107738998,0.46077396,-0.657738998,-0.08922604,0.12832,0.058586667
0.1,0.55,0.1,equal,67,67,0.1,0.533809524,0.566449122,-0.016190476,0.016449122,0.16752,0.077493333
0.1,0.55,0.1,modUnequal,67,67,0.1,0.185524126,0.526182316,-0.364475874,-0.023817684,0.16752,0.077493333
0.1,0.55,0.1,highUnequal,67,67,0.1,-0.1125,0.473667867,-0.6625,-0.076332133,0.16752,0.077493333
0.1,0.55,0.1,equal,68,68,0.09709,0.544759115,0.580337361,-0.005240885,0.030337361,0.16388,0.074826667
0.1,0.55,0.1,modUnequal,68,68,0.09709,0.18786295,0.524342563,-0.36213705,-0.025657437,0.16388,0.074826667
0.1,0.55,0.1,highUnequal,68,68,0.09709,-0.032484312,0.515536834,-0.582484312,-0.034463166,0.16388,0.074826667
0.1,0.55,0.1,equal,72,72,0.09995,0.557522124,0.599303889,0.007522124,0.049303889,0.16888,0.076973333
0.1,0.55,0.1,modUnequal,72,72,0.09995,0.199663016,0.528152299,-0.350336984,-0.021847701,0.16888,0.076973333
0.1,0.55,0.1,highUnequal,72,72,0.09995,-0.049723757,0.509583203,-0.599723757,-0.040416797,0.16888,0.076973333
0.1,0.55,0.1,equal,73,73,0.10652,0.550014582,0.588260021,1.46E-05,0.038260021,0.18008,0.082
0.1,0.55,0.1,modUnequal,73,73,0.10652,0.180997877,0.517625615,-0.369002123,-0.032374385,0.18008,0.082
0.1,0.55,0.1,highUnequal,73,73,0.10652,-0.071527778,0.478664917,-0.621527778,-0.071335083,0.18008,0.082
0.1,0.55,0.1,equal,70,70,0.09874,0.542489809,0.581770136,-0.007510191,0.031770136,0.1704,0.074853333
0.1,0.55,0.1,modUnequal,70,70,0.09874,0.19213732,0.524964743,-0.35786268,-0.025035257,0.1704,0.074853333
0.1,0.55,0.1,highUnequal,70,70,0.09874,-0.097817908,0.475132329,-0.647817908,-0.074867671,0.1704,0.074853333
0.1,0.55,0.1,equal,71,71,0.08325,0.539609644,0.569459029,-0.010390356,0.019459029,0.13996,0.064346667
0.1,0.55,0.1,modUnequal,71,71,0.08325,0.203574975,0.525986213,-0.346425025,-0.024013787,0.13996,0.064346667
0.1,0.55,0.1,highUnequal,71,71,0.08325,-0.164005806,0.444802133,-0.714005806,-0.105197867,0.13996,0.064346667
0.1,0.55,0.1,equal,73,73,0.11492,0.542170293,0.581846945,-0.007829707,0.031846945,0.19356,0.088706667
0.1,0.55,0.1,modUnequal,73,73,0.11492,0.17954272,0.513731565,-0.37045728,-0.036268435,0.19356,0.088706667
0.1,0.55,0.1,highUnequal,73,73,0.11492,-0.134065203,0.447649375,-0.684065203,-0.102350625,0.19356,0.088706667
0.1,0.55,0.1,equal,67,67,0.10393,0.572248529,0.610623185,0.022248529,0.060623185,0.17768,0.079346667
0.1,0.55,0.1,modUnequal,67,67,0.10393,0.205702105,0.528125972,-0.344297895,-0.021874028,0.17768,0.079346667
0.1,0.55,0.1,highUnequal,67,67,0.10393,-0.065023223,0.498328687,-0.615023223,-0.051671313,0.17768,0.079346667
0.1,0.55,0.1,equal,72,72,0.07929,0.553996101,0.578667732,0.003996101,0.028667732,0.13452,0.06088
0.1,0.55,0.1,modUnequal,72,72,0.07929,0.1834404,0.507674309,-0.3665596,-0.042325691,0.13452,0.06088
0.1,0.55,0.1,highUnequal,72,72,0.07929,-0.098943324,0.473686558,-0.648943324,-0.076313442,0.13452,0.06088
0.1,0.55,0.1,equal,72,72,0.08994,0.558526135,0.59327183,0.008526135,0.04327183,0.15548,0.068093333
0.1,0.55,0.1,modUnequal,72,72,0.08994,0.237418591,0.548854415,-0.312581409,-0.001145585,0.15548,0.068093333
0.1,0.55,0.1,highUnequal,72,72,0.08994,-0.109388458,0.459797504,-0.659388458,-0.090202496,0.15548,0.068093333
0.1,0.55,0.1,equal,65,65,0.08954,0.558011997,0.589453574,0.008011997,0.039453574,0.1534,0.068253333
0.1,0.55,0.1,modUnequal,65,65,0.08954,0.238559197,0.564435119,-0.311440803,0.014435119,0.1534,0.068253333
0.1,0.55,0.1,highUnequal,65,65,0.08954,-0.100725566,0.488211623,-0.650725566,-0.061788377,0.1534,0.068253333
0.1,0.55,0.1,equal,75,75,0.1041,0.561018437,0.601637911,0.011018437,0.051637911,0.17992,0.078826667
0.1,0.55,0.1,modUnequal,75,75,0.1041,0.221789883,0.540878839,-0.328210117,-0.009121161,0.17992,0.078826667
0.1,0.55,0.1,highUnequal,75,75,0.1041,-0.158748552,0.442551222,-0.708748552,-0.107448778,0.17992,0.078826667
0.1,0.55,0.1,equal,70,70,0.11215,0.534716459,0.574227629,-0.015283541,0.024227629,0.1884,0.086733333
0.1,0.55,0.1,modUnequal,70,70,0.11215,0.195022733,0.5339116,-0.354977267,-0.0160884,0.1884,0.086733333
0.1,0.55,0.1,highUnequal,70,70,0.11215,-0.146557601,0.464186839,-0.696557601,-0.085813161,0.1884,0.086733333
0.1,0.55,0.1,equal,67,67,0.09739,0.553666981,0.590355894,0.003666981,0.040355894,0.16496,0.074866667
0.1,0.55,0.1,modUnequal,67,67,0.09739,0.198190557,0.527460699,-0.351809443,-0.022539301,0.16496,0.074866667
0.1,0.55,0.1,highUnequal,67,67,0.09739,-0.174327122,0.448767041,-0.724327122,-0.101232959,0.16496,0.074866667
0.1,0.55,0.1,equal,69,69,0.10694,0.548302872,0.587654694,-0.001697128,0.037654694,0.18056,0.0824
0.1,0.55,0.1,modUnequal,69,69,0.10694,0.173566879,0.516967274,-0.376433121,-0.033032726,0.18056,0.0824
0.1,0.55,0.1,highUnequal,69,69,0.10694,-0.082377477,0.479847514,-0.632377477,-0.070152486,0.18056,0.0824
0.1,0.55,0.1,equal,69,69,0.10139,0.552607502,0.592113127,0.002607502,0.042113127,0.17232,0.077746667
0.1,0.55,0.1,modUnequal,69,69,0.10139,0.203583062,0.541364685,-0.346416938,-0.008635315,0.17232,0.077746667
0.1,0.55,0.1,highUnequal,69,69,0.10139,-0.08908686,0.480999596,-0.63908686,-0.069000404,0.17232,0.077746667
0.1,0.55,0.1,equal,71,71,0.10684,0.532500372,0.571641833,-0.017499628,0.021641833,0.18076,0.0822
0.1,0.55,0.1,modUnequal,71,71,0.10684,0.178300654,0.514969707,-0.371699346,-0.035030293,0.18076,0.0822
0.1,0.55,0.1,highUnequal,71,71,0.10684,-0.090183836,0.481243922,-0.640183836,-0.068756078,0.18076,0.0822
0.1,0.55,0.1,equal,65,65,0.08852,0.537087168,0.570030579,-0.012912832,0.020030579,0.14864,0.06848
0.1,0.55,0.1,modUnequal,65,65,0.08852,0.157635468,0.507015656,-0.392364532,-0.042984344,0.14864,0.06848
0.1,0.55,0.1,highUnequal,65,65,0.08852,-0.114732725,0.474396819,-0.664732725,-0.075603181,0.14864,0.06848
0.1,0.55,0.1,equal,69,69,0.07467,0.517107811,0.5456004,-0.032892189,-0.0043996,0.12552,0.05772
0.1,0.55,0.1,modUnequal,69,69,0.07467,0.131242741,0.483022639,-0.418757259,-0.066977361,0.12552,0.05772
0.1,0.55,0.1,highUnequal,69,69,0.07467,-0.210355987,0.413210891,-0.760355987,-0.136789109,0.12552,0.05772
0.1,0.55,0.1,equal,72,72,0.08812,0.54479333,0.573624916,-0.00520667,0.023624916,0.14928,0.067733333
0.1,0.55,0.1,modUnequal,72,72,0.08812,0.216009777,0.53799344,-0.333990223,-0.01200656,0.14928,0.067733333
0.1,0.55,0.1,highUnequal,72,72,0.08812,-0.118082789,0.460512389,-0.668082789,-0.089487611,0.14928,0.067733333
