VE_susc,VE_infect,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.2,0.1,highUnequal,52,52,0.20318,-1.224143452,-0.11050621,-1.324143452,-0.21050621,0.22052,0.1974
0.1,0.2,0.1,equal,48,48,0.17809,0.079933515,0.117970652,-0.020066485,0.017970652,0.19216,0.1734
0.1,0.2,0.1,modUnequal,48,48,0.17809,-0.674642464,-0.005682356,-0.774642464,-0.105682356,0.19216,0.1734
0.1,0.2,0.1,highUnequal,48,48,0.17809,-1.250184775,-0.083336163,-1.350184775,-0.183336163,0.19216,0.1734
0.1,0.2,0.1,equal,49,49,0.224,0.086668987,0.09913081,-0.013331013,-0.00086919,0.23832,0.219226667
0.1,0.2,0.1,modUnequal,49,49,0.224,-0.697283312,-0.043869079,-0.797283312,-0.143869079,0.23832,0.219226667
0.1,0.2,0.1,highUnequal,49,49,0.224,-1.35125448,-0.158379188,-1.45125448,-0.258379188,0.23832,0.219226667
0.1,0.2,0.1,equal,49,49,0.17101,0.085205993,0.104353535,-0.014794007,0.004353535,0.18752,0.165506667
0.1,0.2,0.1,modUnequal,49,49,0.17101,-0.678694158,-0.021847709,-0.778694158,-0.121847709,0.18752,0.165506667
0.1,0.2,0.1,highUnequal,49,49,0.17101,-1.220454545,-0.041234173,-1.320454545,-0.141234173,0.18752,0.165506667
0.1,0.2,0.1,equal,47,47,0.18267,0.131287298,0.167316475,0.031287298,0.067316475,0.19628,0.178133333
0.1,0.2,0.1,modUnequal,47,47,0.18267,-0.549809886,0.06085993,-0.649809886,-0.03914007,0.19628,0.178133333
0.1,0.2,0.1,highUnequal,47,47,0.18267,-1.184351554,-0.01349086,-1.284351554,-0.11349086,0.19628,0.178133333
0.1,0.2,0.1,equal,51,51,0.18628,0.101536694,0.129875932,0.001536694,0.029875932,0.19832,0.182266667
0.1,0.2,0.1,modUnequal,51,51,0.18628,-0.705096757,-0.035476384,-0.805096757,-0.135476384,0.19832,0.182266667
0.1,0.2,0.1,highUnequal,51,51,0.18628,-1.343071161,-0.133314371,-1.443071161,-0.233314371,0.19832,0.182266667
0.1,0.2,0.1,equal,49,49,0.15993,0.109186871,0.119002882,0.009186871,0.019002882,0.17232,0.1558
0.1,0.2,0.1,modUnequal,49,49,0.15993,-0.698427673,-0.041142143,-0.798427673,-0.141142143,0.17232,0.1558
0.1,0.2,0.1,highUnequal,49,49,0.15993,-1.323010753,-0.112699952,-1.423010753,-0.212699952,0.17232,0.1558
0.1,0.2,0.1,equal,52,52,0.19247,0.106365834,0.135917387,0.006365834,0.035917387,0.20688,0.187666667
0.1,0.2,0.1,modUnequal,52,52,0.19247,-0.634487841,0.007750089,-0.734487841,-0.092249911,0.20688,0.187666667
0.1,0.2,0.1,highUnequal,52,52,0.19247,-1.200396825,-0.075499779,-1.300396825,-0.175499779,0.20688,0.187666667
0.1,0.2,0.1,equal,53,53,0.21427,0.0899042,0.103954919,-0.0100958,0.003954919,0.23068,0.2088
0.1,0.2,0.1,modUnequal,53,53,0.21427,-0.655495979,-0.029004215,-0.755495979,-0.129004215,0.23068,0.2088
0.1,0.2,0.1,highUnequal,53,53,0.21427,-1.433497537,-0.200131225,-1.533497537,-0.300131225,0.23068,0.2088
0.1,0.2,0.1,equal,47,47,0.17777,0.082909539,0.091858047,-0.017090461,-0.008141953,0.19348,0.172533333
0.1,0.2,0.1,modUnequal,47,47,0.17777,-0.604908306,0.006057648,-0.704908306,-0.093942352,0.19348,0.172533333
0.1,0.2,0.1,highUnequal,47,47,0.17777,-1.33372549,-0.110436752,-1.43372549,-0.210436752,0.19348,0.172533333
0.1,0.2,0.1,equal,50,50,0.17186,0.080845771,0.083979394,-0.019154229,-0.016020606,0.18472,0.167573333
0.1,0.2,0.1,modUnequal,50,50,0.17186,-0.656022409,-0.007434333,-0.756022409,-0.107434333,0.18472,0.167573333
0.1,0.2,0.1,highUnequal,50,50,0.17186,-1.239393939,-0.080760282,-1.339393939,-0.180760282,0.18472,0.167573333
0.1,0.2,0.1,equal,48,48,0.14686,0.089673913,0.11443331,-0.010326087,0.01443331,0.15824,0.143066667
0.1,0.2,0.1,modUnequal,48,48,0.14686,-0.653504442,0.001561661,-0.753504442,-0.098438339,0.15824,0.143066667
0.1,0.2,0.1,highUnequal,48,48,0.14686,-1.285129604,-0.061095512,-1.385129604,-0.161095512,0.15824,0.143066667
0.1,0.2,0.1,equal,53,53,0.17079,0.084638507,0.092831717,-0.015361493,-0.007168283,0.18524,0.165973333
0.1,0.2,0.1,modUnequal,53,53,0.17079,-0.674189815,-0.019294537,-0.774189815,-0.119294537,0.18524,0.165973333
0.1,0.2,0.1,highUnequal,53,53,0.17079,-1.133480826,-0.033997169,-1.233480826,-0.133997169,0.18524,0.165973333
0.1,0.2,0.1,equal,48,48,0.15795,0.097208035,0.110337281,-0.002791965,0.010337281,0.172,0.153266667
0.1,0.2,0.1,modUnequal,48,48,0.15795,-0.639764997,0.039988,-0.739764997,-0.060012,0.172,0.153266667
0.1,0.2,0.1,highUnequal,48,48,0.15795,-1.198590381,-0.039001438,-1.298590381,-0.139001438,0.172,0.153266667
0.1,0.2,0.1,equal,49,49,0.19869,0.091006138,0.088193925,-0.008993862,-0.011806075,0.2146,0.193386667
0.1,0.2,0.1,modUnequal,49,49,0.19869,-0.621904762,0.014814442,-0.721904762,-0.085185558,0.2146,0.193386667
0.1,0.2,0.1,highUnequal,49,49,0.19869,-1.272939606,-0.096982751,-1.372939606,-0.196982751,0.2146,0.193386667
0.1,0.2,0.1,equal,52,52,0.22519,0.109040718,0.110301093,0.009040718,0.010301093,0.24516,0.218533333
0.1,0.2,0.1,modUnequal,52,52,0.22519,-0.699802502,-0.065953387,-0.799802502,-0.165953387,0.24516,0.218533333
0.1,0.2,0.1,highUnequal,52,52,0.22519,-1.293072824,-0.164539742,-1.393072824,-0.264539742,0.24516,0.218533333
0.1,0.2,0.1,equal,49,49,0.16815,0.071235919,0.09091421,-0.028764081,-0.00908579,0.18048,0.16404
0.1,0.2,0.1,modUnequal,49,49,0.16815,-0.646694796,-0.013991032,-0.746694796,-0.113991032,0.18048,0.16404
0.1,0.2,0.1,highUnequal,49,49,0.16815,-1.412031314,-0.173977922,-1.512031314,-0.273977922,0.18048,0.16404
0.1,0.2,0.1,equal,50,50,0.17303,0.077161931,0.097404777,-0.022838069,-0.002595223,0.18716,0.16832
0.1,0.2,0.1,modUnequal,50,50,0.17303,-0.72140168,-0.039764924,-0.82140168,-0.139764924,0.18716,0.16832
0.1,0.2,0.1,highUnequal,50,50,0.17303,-1.226217228,-0.050468336,-1.326217228,-0.150468336,0.18716,0.16832
0.1,0.2,0.1,equal,52,52,0.21025,0.099528419,0.117785717,-0.000471581,0.017785717,0.22192,0.20636
0.1,0.2,0.1,modUnequal,52,52,0.21025,-0.666896393,-0.023603106,-0.766896393,-0.123603106,0.22192,0.20636
0.1,0.2,0.1,highUnequal,52,52,0.21025,-1.26255067,-0.128558435,-1.36255067,-0.228558435,0.22192,0.20636
0.1,0.2,0.1,equal,51,51,0.16835,0.060329653,0.058638305,-0.039670347,-0.041361695,0.178,0.165133333
0.1,0.2,0.1,modUnequal,51,51,0.16835,-0.671505835,-0.013824738,-0.771505835,-0.113824738,0.178,0.165133333
0.1,0.2,0.1,highUnequal,51,51,0.16835,-1.39869281,-0.166695342,-1.49869281,-0.266695342,0.178,0.165133333
0.1,0.2,0.1,equal,47,47,0.16807,0.090838024,0.10118423,-0.009161976,0.00118423,0.18044,0.163946667
0.1,0.2,0.1,modUnequal,47,47,0.16807,-0.733750745,-0.054724621,-0.833750745,-0.154724621,0.18044,0.163946667
0.1,0.2,0.1,highUnequal,47,47,0.16807,-1.253875969,-0.124459303,-1.353875969,-0.224459303,0.18044,0.163946667
0.1,0.2,0.1,equal,51,51,0.19018,0.093327703,0.111312311,-0.006672297,0.011312311,0.20432,0.185466667
0.1,0.2,0.1,modUnequal,51,51,0.19018,-0.67211838,-0.009904603,-0.77211838,-0.109904603,0.20432,0.185466667
0.1,0.2,0.1,highUnequal,51,51,0.19018,-1.217975207,-0.087141609,-1.317975207,-0.187141609,0.20432,0.185466667
0.1,0.2,0.1,equal,50,50,0.1837,0.099742046,0.107118136,-0.000257954,0.007118136,0.19908,0.178573333
0.1,0.2,0.1,modUnequal,50,50,0.1837,-0.644933229,-0.004412083,-0.744933229,-0.104412083,0.19908,0.178573333
0.1,0.2,0.1,highUnequal,50,50,0.1837,-1.241970021,-0.094987997,-1.341970021,-0.194987997,0.19908,0.178573333
0.1,0.2,0.1,equal,49,49,0.17846,0.063687491,0.080905831,-0.036312509,-0.019094169,0.19612,0.172573333
0.1,0.2,0.1,modUnequal,49,49,0.17846,-0.619348055,0.006914163,-0.719348055,-0.093085837,0.19612,0.172573333
0.1,0.2,0.1,highUnequal,49,49,0.17846,-1.294227188,-0.090540982,-1.394227188,-0.190540982,0.19612,0.172573333
0.1,0.2,0.1,equal,50,50,0.17191,0.105006105,0.115658356,0.005006105,0.015658356,0.18564,0.167333333
0.1,0.2,0.1,modUnequal,50,50,0.17191,-0.659309564,-0.015638736,-0.759309564,-0.115638736,0.18564,0.167333333
0.1,0.2,0.1,highUnequal,50,50,0.17191,-1.296905601,-0.113807326,-1.396905601,-0.213807326,0.18564,0.167333333
0.1,0.2,0.1,equal,50,50,0.1621,0.114628998,0.138987864,0.014628998,0.038987864,0.1774,0.157
0.1,0.2,0.1,modUnequal,50,50,0.1621,-0.597246632,0.037897686,-0.697246632,-0.062102314,0.1774,0.157
0.1,0.2,0.1,highUnequal,50,50,0.1621,-1.230265849,-0.073757315,-1.330265849,-0.173757315,0.1774,0.157
0.1,0.2,0.1,equal,49,49,0.16646,0.094053882,0.098013801,-0.005946118,-0.001986199,0.17684,0.163
0.1,0.2,0.1,modUnequal,49,49,0.16646,-0.590540162,0.00545501,-0.690540162,-0.09454499,0.17684,0.163
0.1,0.2,0.1,highUnequal,49,49,0.16646,-1.271382894,-0.118656598,-1.371382894,-0.218656598,0.17684,0.163
0.1,0.2,0.1,equal,53,53,0.20387,0.11136335,0.127867292,0.01136335,0.027867292,0.22172,0.19792
0.1,0.2,0.1,modUnequal,53,53,0.20387,-0.68847352,-0.062829681,-0.78847352,-0.162829681,0.22172,0.19792
0.1,0.2,0.1,highUnequal,53,53,0.20387,-1.195015576,-0.09472375,-1.295015576,-0.19472375,0.22172,0.19792
