VE_infect,VE_susc,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.1,0.1,highUnequal,54,54,0.21954,-1.206207102,-0.090804243,-1.306207102,-0.190804243,0.23972,0.212813333
0.1,0.1,0.1,equal,48,48,0.19438,0.093289238,0.120717826,-0.006710762,0.020717826,0.208,0.18984
0.1,0.1,0.1,modUnequal,48,48,0.19438,-0.684587814,-0.025021453,-0.784587814,-0.125021453,0.208,0.18984
0.1,0.1,0.1,highUnequal,48,48,0.19438,-1.251882272,-0.089934376,-1.351882272,-0.189934376,0.208,0.18984
0.1,0.1,0.1,equal,47,47,0.22658,0.097041974,0.114663999,-0.002958026,0.014663999,0.24248,0.22128
0.1,0.1,0.1,modUnequal,47,47,0.22658,-0.683671245,-0.030325293,-0.783671245,-0.130325293,0.24248,0.22128
0.1,0.1,0.1,highUnequal,47,47,0.22658,-1.317131713,-0.105282344,-1.417131713,-0.205282344,0.24248,0.22128
0.1,0.1,0.1,equal,50,50,0.19023,0.105640601,0.119161965,0.005640601,0.019161965,0.20748,0.18448
0.1,0.1,0.1,modUnequal,50,50,0.19023,-0.631446541,0.006287675,-0.731446541,-0.093712325,0.20748,0.18448
0.1,0.1,0.1,highUnequal,50,50,0.19023,-1.249392993,-0.072172758,-1.349392993,-0.172172758,0.20748,0.18448
0.1,0.1,0.1,equal,45,45,0.1614,0.092620356,0.120340712,-0.007379644,0.020340712,0.17336,0.157413333
0.1,0.1,0.1,modUnequal,45,45,0.1614,-0.652107977,0.002101786,-0.752107977,-0.097898214,0.17336,0.157413333
0.1,0.1,0.1,highUnequal,45,45,0.1614,-1.278126307,-0.063832622,-1.378126307,-0.163832622,0.17336,0.157413333
0.1,0.1,0.1,equal,49,49,0.17237,0.123949259,0.141044714,0.023949259,0.041044714,0.18696,0.167506667
0.1,0.1,0.1,modUnequal,49,49,0.17237,-0.67162438,-0.051603138,-0.77162438,-0.151603138,0.18696,0.167506667
0.1,0.1,0.1,highUnequal,49,49,0.17237,-1.208863198,-0.043409885,-1.308863198,-0.143409885,0.18696,0.167506667
0.1,0.1,0.1,equal,48,48,0.19996,0.079262549,0.10898085,-0.020737451,0.00898085,0.21436,0.19516
0.1,0.1,0.1,modUnequal,48,48,0.19996,-0.604973024,0.046991943,-0.704973024,-0.053008057,0.21436,0.19516
0.1,0.1,0.1,highUnequal,48,48,0.19996,-1.327210884,-0.12906169,-1.427210884,-0.22906169,0.21436,0.19516
0.1,0.1,0.1,equal,47,47,0.17087,0.072163292,0.092442912,-0.027836708,-0.007557088,0.18168,0.167266667
0.1,0.1,0.1,modUnequal,47,47,0.17087,-0.747805026,-0.065076473,-0.847805026,-0.165076473,0.18168,0.167266667
0.1,0.1,0.1,highUnequal,47,47,0.17087,-1.346747967,-0.13267442,-1.446747967,-0.23267442,0.18168,0.167266667
0.1,0.1,0.1,equal,48,48,0.19278,0.087572977,0.111014348,-0.012427023,0.011014348,0.2078,0.187773333
0.1,0.1,0.1,modUnequal,48,48,0.19278,-0.708040593,-0.02795643,-0.808040593,-0.12795643,0.2078,0.187773333
