Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,t,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,t_highChange,t_peak,VE_susc,Epi_simNum,Seed_num,totalNum_sims
1848,2559,9668,30923,73,0.08757,0.19465,73,87,0.55,71,168271540,100
4485,6012,8862,31757,87,0.08757,0.19465,73,87,0.55,71,168271540,100
1051,2559,6207,30923,73,0.08757,0.19465,73,87,0.55,71,168271540,100
2573,6012,6070,31757,87,0.08757,0.19465,73,87,0.55,71,168271540,100
779,2559,4982,30923,73,0.08757,0.19465,73,87,0.55,71,168271540,100
1953,6012,5083,31757,87,0.08757,0.19465,73,87,0.55,71,168271540,100
2405,3281,9303,30633,74,0.11115,0.1834,74,83,0.55,72,688091939,100
4104,5632,8744,31162,83,0.11115,0.1834,74,83,0.55,72,688091939,100
1353,3281,6000,30633,74,0.11115,0.1834,74,83,0.55,72,688091939,100
2333,5632,5910,31162,83,0.11115,0.1834,74,83,0.55,72,688091939,100
999,3281,4707,30633,74,0.11115,0.1834,74,83,0.55,72,688091939,100
1730,5632,4835,31162,83,0.11115,0.1834,74,83,0.55,72,688091939,100
1956,2627,9109,29710,69,0.09096,0.1848,69,81,0.55,73,24080037,100
4228,5645,8462,30564,81,0.09096,0.1848,69,81,0.55,73,24080037,100
1108,2627,5763,29710,69,0.09096,0.1848,69,81,0.55,73,24080037,100
2428,5645,5667,30564,81,0.09096,0.1848,69,81,0.55,73,24080037,100
796,2627,4673,29710,69,0.09096,0.1848,69,81,0.55,73,24080037,100
1802,5645,4814,30564,81,0.09096,0.1848,69,81,0.55,73,24080037,100
1762,2451,9630,30967,73,0.0821,0.19679,73,88,0.55,74,833117643,100
4437,6196,8855,31864,88,0.0821,0.19679,73,88,0.55,74,833117643,100
950,2451,6079,30967,73,0.0821,0.19679,73,88,0.55,74,833117643,100
2558,6196,6000,31864,88,0.0821,0.19679,73,88,0.55,74,833117643,100
722,2451,4914,30967,73,0.0821,0.19679,73,88,0.55,74,833117643,100
1832,6196,5105,31864,88,0.0821,0.19679,73,88,0.55,74,833117643,100
2399,3307,9173,29852,71,0.10855,0.17804,71,80,0.55,75,567650992,100
4086,5550,8675,30513,80,0.10855,0.17804,71,80,0.55,75,567650992,100
1321,3307,5815,29852,71,0.10855,0.17804,71,80,0.55,75,567650992,100
2323,5550,5764,30513,80,0.10855,0.17804,71,80,0.55,75,567650992,100
940,3307,4792,29852,71,0.10855,0.17804,71,80,0.55,75,567650992,100
1636,5550,4846,30513,80,0.10855,0.17804,71,80,0.55,75,567650992,100
1844,2512,9115,29302,67,0.08557,0.18479,67,80,0.55,76,363361905,100
4237,5662,8470,30477,80,0.08557,0.18479,67,80,0.55,76,363361905,100
1024,2512,5852,29302,67,0.08557,0.18479,67,80,0.55,76,363361905,100
2395,5662,5831,30477,80,0.08557,0.18479,67,80,0.55,76,363361905,100
729,2512,4598,29302,67,0.08557,0.18479,67,80,0.55,76,363361905,100
1709,5662,4803,30477,80,0.08557,0.18479,67,80,0.55,76,363361905,100
2356,3137,9203,30480,73,0.10488,0.18285,73,83,0.55,77,890697241,100
4266,5747,8635,31120,83,0.10488,0.18285,73,83,0.55,77,890697241,100
1274,3137,5837,30480,73,0.10488,0.18285,73,83,0.55,77,890697241,100
2350,5747,5792,31120,83,0.10488,0.18285,73,83,0.55,77,890697241,100
965,3137,4832,30480,73,0.10488,0.18285,73,83,0.55,77,890697241,100
1761,5747,4934,31120,83,0.10488,0.18285,73,83,0.55,77,890697241,100
2188,2985,9669,31567,77,0.10199,0.18948,77,88,0.55,78,108215980,100
4402,5840,8953,32045,88,0.10199,0.18948,77,88,0.55,78,108215980,100
1280,2985,6251,31567,77,0.10199,0.18948,77,88,0.55,78,108215980,100
2465,5840,6112,32045,88,0.10199,0.18948,77,88,0.55,78,108215980,100
908,2985,5068,31567,77,0.10199,0.18948,77,88,0.55,78,108215980,100
1828,5840,5158,32045,88,0.10199,0.18948,77,88,0.55,78,108215980,100
1831,2466,9737,31555,75,0.08444,0.17621,75,87,0.55,79,438186071,100
3985,5496,9108,32171,87,0.08444,0.17621,75,87,0.55,79,438186071,100
979,2466,6249,31555,75,0.08444,0.17621,75,87,0.55,79,438186071,100
2182,5496,6164,32171,87,0.08444,0.17621,75,87,0.55,79,438186071,100
762,2466,5133,31555,75,0.08444,0.17621,75,87,0.55,79,438186071,100
1656,5496,5281,32171,87,0.08444,0.17621,75,87,0.55,79,438186071,100
1943,2547,9385,30852,73,0.08807,0.18671,73,86,0.55,8,356569673,100
4358,5741,8698,31662,86,0.08807,0.18671,73,86,0.55,8,356569673,100
1045,2547,6152,30852,73,0.08807,0.18671,73,86,0.55,8,356569673,100
2408,5741,6081,31662,86,0.08807,0.18671,73,86,0.55,8,356569673,100
810,2547,4940,30852,73,0.08807,0.18671,73,86,0.55,8,356569673,100
1807,5741,5091,31662,86,0.08807,0.18671,73,86,0.55,8,356569673,100
1957,2634,9051,29516,68,0.09007,0.1746,68,79,0.55,80,560738674,100
3976,5388,8541,30313,79,0.09007,0.1746,68,79,0.55,80,560738674,100
1119,2634,5681,29516,68,0.09007,0.1746,68,79,0.55,80,560738674,100
2279,5388,5655,30313,79,0.09007,0.1746,68,79,0.55,80,560738674,100
779,2634,4647,29516,68,0.09007,0.1746,68,79,0.55,80,560738674,100
1630,5388,4793,30313,79,0.09007,0.1746,68,79,0.55,80,560738674,100
1589,2157,9102,28923,65,0.07446,0.19043,65,81,0.55,81,27956358,100
4399,5875,8431,30425,81,0.07446,0.19043,65,81,0.55,81,27956358,100
909,2157,5737,28923,65,0.07446,0.19043,65,81,0.55,81,27956358,100
2529,5875,5808,30425,81,0.07446,0.19043,65,81,0.55,81,27956358,100
683,2157,4563,28923,65,0.07446,0.19043,65,81,0.55,81,27956358,100
1880,5875,4830,30425,81,0.07446,0.19043,65,81,0.55,81,27956358,100
2028,2805,9488,30841,74,0.09473,0.18773,74,86,0.55,82,746091831,100
4226,5898,8815,31456,86,0.09473,0.18773,74,86,0.55,82,746091831,100
1182,2805,6080,30841,74,0.09473,0.18773,74,86,0.55,82,746091831,100
2464,5898,5981,31456,86,0.09473,0.18773,74,86,0.55,82,746091831,100
832,2805,4952,30841,74,0.09473,0.18773,74,86,0.55,82,746091831,100
1825,5898,5037,31456,86,0.09473,0.18773,74,86,0.55,82,746091831,100
1843,2445,9540,30661,72,0.08329,0.18369,72,85,0.55,83,908536344,100
4226,5583,8847,31538,85,0.08329,0.18369,72,85,0.55,83,908536344,100
984,2445,6039,30661,72,0.08329,0.18369,72,85,0.55,83,908536344,100
2346,5583,5954,31538,85,0.08329,0.18369,72,85,0.55,83,908536344,100
730,2445,4925,30661,72,0.08329,0.18369,72,85,0.55,83,908536344,100
1728,5583,5086,31538,85,0.08329,0.18369,72,85,0.55,83,908536344,100
1957,2573,9512,30783,73,0.08854,0.18665,73,86,0.55,84,437714814,100
4328,5698,8854,31735,86,0.08854,0.18665,73,86,0.55,84,437714814,100
1067,2573,6073,30783,73,0.08854,0.18665,73,86,0.55,84,437714814,100
2397,5698,6015,31735,86,0.08854,0.18665,73,86,0.55,84,437714814,100
788,2573,4859,30783,73,0.08854,0.18665,73,86,0.55,84,437714814,100
1793,5698,4997,31735,86,0.08854,0.18665,73,86,0.55,84,437714814,100
1792,2488,9414,30373,71,0.08306,0.18884,71,85,0.55,85,592174960,100
4289,5972,8774,31387,85,0.08306,0.18884,71,85,0.55,85,592174960,100
999,2488,5976,30373,71,0.08306,0.18884,71,85,0.55,85,592174960,100
2391,5972,5944,31387,85,0.08306,0.18884,71,85,0.55,85,592174960,100
712,2488,4891,30373,71,0.08306,0.18884,71,85,0.55,85,592174960,100
1714,5972,5106,31387,85,0.08306,0.18884,71,85,0.55,85,592174960,100
1961,2728,9347,29810,70,0.09182,0.18676,70,82,0.55,86,458776968,100
4206,5717,8710,30788,82,0.09182,0.18676,70,82,0.55,86,458776968,100
1095,2728,5934,29810,70,0.09182,0.18676,70,82,0.55,86,458776968,100
2357,5717,5849,30788,82,0.09182,0.18676,70,82,0.55,86,458776968,100
806,2728,4817,29810,70,0.09182,0.18676,70,82,0.55,86,458776968,100
1797,5717,4924,30788,82,0.09182,0.18676,70,82,0.55,86,458776968,100
1859,2328,9081,29567,67,0.08141,0.18085,67,80,0.55,87,752433480,100
4239,5451,8477,30769,80,0.08141,0.18085,67,80,0.55,87,752433480,100
1028,2328,5820,29567,67,0.08141,0.18085,67,80,0.55,87,752433480,100
2397,5451,5709,30769,80,0.08141,0.18085,67,80,0.55,87,752433480,100
723,2328,4703,29567,67,0.08141,0.18085,67,80,0.55,87,752433480,100
1744,5451,4888,30769,80,0.08141,0.18085,67,80,0.55,87,752433480,100
2023,2792,9156,29677,69,0.09414,0.18757,69,81,0.55,88,443948528,100
4218,5819,8560,30553,81,0.09414,0.18757,69,81,0.55,88,443948528,100
1140,2792,5832,29677,69,0.09414,0.18757,69,81,0.55,88,443948528,100
2414,5819,5751,30553,81,0.09414,0.18757,69,81,0.55,88,443948528,100
838,2792,4704,29677,69,0.09414,0.18757,69,81,0.55,88,443948528,100
1760,5819,4877,30553,81,0.09414,0.18757,69,81,0.55,88,443948528,100
2775,3734,9489,32132,81,0.12444,0.19011,81,89,0.55,89,78499032,100
4382,5853,8920,32338,89,0.12444,0.19011,81,89,0.55,89,78499032,100
1545,3734,6290,32132,81,0.12444,0.19011,81,89,0.55,89,78499032,100
2463,5853,6196,32338,89,0.12444,0.19011,81,89,0.55,89,78499032,100
1107,3734,5147,32132,81,0.12444,0.19011,81,89,0.55,89,78499032,100
1794,5853,5180,32338,89,0.12444,0.19011,81,89,0.55,89,78499032,100
2031,2673,9488,30418,72,0.09153,0.18405,72,84,0.55,9,849370114,100
4267,5688,8813,31206,84,0.09153,0.18405,72,84,0.55,9,849370114,100
1179,2673,5957,30418,72,0.09153,0.18405,72,84,0.55,9,849370114,100
2426,5688,5905,31206,84,0.09153,0.18405,72,84,0.55,9,849370114,100
835,2673,4970,30418,72,0.09153,0.18405,72,84,0.55,9,849370114,100
1791,5688,5108,31206,84,0.09153,0.18405,72,84,0.55,9,849370114,100
2013,2702,9353,30323,71,0.0914,0.19194,71,84,0.55,90,352777205,100
4495,5997,8580,31094,84,0.0914,0.19194,71,84,0.55,90,352777205,100
1098,2702,6038,30323,71,0.0914,0.19194,71,84,0.55,90,352777205,100
2516,5997,5903,31094,84,0.0914,0.19194,71,84,0.55,90,352777205,100
858,2702,4801,30323,71,0.0914,0.19194,71,84,0.55,90,352777205,100
1919,5997,4877,31094,84,0.0914,0.19194,71,84,0.55,90,352777205,100
1896,2543,9368,30344,71,0.08691,0.17915,71,83,0.55,91,367301126,100
4121,5428,8720,31229,83,0.08691,0.17915,71,83,0.55,91,367301126,100
1051,2543,6015,30344,71,0.08691,0.17915,71,83,0.55,91,367301126,100
2309,5428,5953,31229,83,0.08691,0.17915,71,83,0.55,91,367301126,100
794,2543,4868,30344,71,0.08691,0.17915,71,83,0.55,91,367301126,100
1696,5428,4977,31229,83,0.08691,0.17915,71,83,0.55,91,367301126,100
1872,2549,9942,31400,76,0.08505,0.18446,76,89,0.55,92,911719760,100
4236,5797,9154,32155,89,0.08505,0.18446,76,89,0.55,92,911719760,100
1017,2549,6373,31400,76,0.08505,0.18446,76,89,0.55,92,911719760,100
2408,5797,6226,32155,89,0.08505,0.18446,76,89,0.55,92,911719760,100
769,2549,5210,31400,76,0.08505,0.18446,76,89,0.55,92,911719760,100
1775,5797,5343,32155,89,0.08505,0.18446,76,89,0.55,92,911719760,100
2507,3334,8894,29933,71,0.11274,0.19234,71,81,0.55,93,690974803,100
4423,5891,8318,30571,81,0.11274,0.19234,71,81,0.55,93,690974803,100
1396,3334,5762,29933,71,0.11274,0.19234,71,81,0.55,93,690974803,100
2514,5891,5649,30571,81,0.11274,0.19234,71,81,0.55,93,690974803,100
1053,3334,4563,29933,71,0.11274,0.19234,71,81,0.55,93,690974803,100
1837,5891,4673,30571,81,0.11274,0.19234,71,81,0.55,93,690974803,100
2214,3045,9526,30948,75,0.10176,0.18793,75,86,0.55,94,364522024,100
4260,5832,8893,31602,86,0.10176,0.18793,75,86,0.55,94,364522024,100
1197,3045,6167,30948,75,0.10176,0.18793,75,86,0.55,94,364522024,100
2343,5832,6094,31602,86,0.10176,0.18793,75,86,0.55,94,364522024,100
910,3045,4963,30948,75,0.10176,0.18793,75,86,0.55,94,364522024,100
1771,5832,5060,31602,86,0.10176,0.18793,75,86,0.55,94,364522024,100
2077,2856,9895,32263,79,0.09761,0.1843,79,90,0.55,95,564783386,100
4166,5671,9123,32669,90,0.09761,0.1843,79,90,0.55,95,564783386,100
1163,2856,6332,32263,79,0.09761,0.1843,79,90,0.55,95,564783386,100
2336,5671,6186,32669,90,0.09761,0.1843,79,90,0.55,95,564783386,100
830,2856,5280,32263,79,0.09761,0.1843,79,90,0.55,95,564783386,100
1765,5671,5339,32669,90,0.09761,0.1843,79,90,0.55,95,564783386,100
2013,2559,9608,31385,75,0.08936,0.18301,75,87,0.55,96,958857900,100
4225,5552,8972,31987,87,0.08936,0.18301,75,87,0.55,96,958857900,100
1110,2559,6201,31385,75,0.08936,0.18301,75,87,0.55,96,958857900,100
2365,5552,6129,31987,87,0.08936,0.18301,75,87,0.55,96,958857900,100
862,2559,4971,31385,75,0.08936,0.18301,75,87,0.55,96,958857900,100
1794,5552,5066,31987,87,0.08936,0.18301,75,87,0.55,96,958857900,100
2367,3194,9303,30643,74,0.10859,0.18742,74,84,0.55,97,782009083,100
4223,5812,8720,31195,84,0.10859,0.18742,74,84,0.55,97,782009083,100
1329,3194,6042,30643,74,0.10859,0.18742,74,84,0.55,97,782009083,100
2420,5812,5953,31195,84,0.10859,0.18742,74,84,0.55,97,782009083,100
972,3194,4860,30643,74,0.10859,0.18742,74,84,0.55,97,782009083,100
1790,5812,4966,31195,84,0.10859,0.18742,74,84,0.55,97,782009083,100
2220,3013,9593,31183,76,0.10175,0.18239,76,86,0.55,98,116954427,100
4134,5628,8983,31677,86,0.10175,0.18239,76,86,0.55,98,116954427,100
1206,3013,6245,31183,76,0.10175,0.18239,76,86,0.55,98,116954427,100
2312,5628,6160,31677,86,0.10175,0.18239,76,86,0.55,98,116954427,100
980,3013,5090,31183,76,0.10175,0.18239,76,86,0.55,98,116954427,100
1782,5628,5193,31677,86,0.10175,0.18239,76,86,0.55,98,116954427,100
1831,2481,9063,29040,66,0.08471,0.19157,66,80,0.55,99,99155383,100
4393,5928,8442,30296,80,0.08471,0.19157,66,80,0.55,99,99155383,100
933,2481,5785,29040,66,0.08471,0.19157,66,80,0.55,99,99155383,100
2451,5928,5746,30296,80,0.08471,0.19157,66,80,0.55,99,99155383,100
724,2481,4604,29040,66,0.08471,0.19157,66,80,0.55,99,99155383,100
1827,5928,4768,30296,80,0.08471,0.19157,66,80,0.55,99,99155383,100
