"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"64657",0.55,"modUnequal",72,72,0.05,0.09723,0.189510939510939,0.551969716461888,-0.360489060489061,0.00196971646188826,2295,12455,100
"65008",0.55,"highUnequal",72,72,0.05,0.09723,-0.0751173708920188,0.527656181973414,-0.625117370892019,-0.0223438180265858,1824,12455,100
"65360",0.55,"equal",73,73,0.05,0.10535,0.556047923847038,0.59852218497898,0.00604792384703767,0.0485221849789796,3762,12480,100
"65711",0.55,"modUnequal",73,73,0.05,0.10535,0.234578381437465,0.571290295372426,-0.315421618562535,0.021290295372426,2330,12480,100
"66062",0.55,"highUnequal",73,73,0.05,0.10535,-0.0982541615915549,0.54353811408851,-0.648254161591555,-0.00646188591149011,1729,12480,100
"66411",0.55,"equal",71,71,0.05,0.08405,0.554302422723475,0.584550446090089,0.00430242272347525,0.0345504460900894,3832,12333,100
"66762",0.55,"modUnequal",71,71,0.05,0.08405,0.213126843657817,0.557276183259677,-0.336873156342183,0.00727618325967661,2313,12333,100
"67113",0.55,"highUnequal",71,71,0.05,0.08405,-0.0161904761904761,0.545420995934253,-0.566190476190476,-0.00457900406574696,1839,12333,100
"67469",0.55,"equal",76,76,0.05,0.09835,0.552880328161227,0.584915444262594,0.00288032816122696,0.0349154442625935,4034,13036,100
"67820",0.55,"modUnequal",76,76,0.05,0.09835,0.191029364311068,0.545372899888224,-0.358970635688932,-0.00462710011177636,2442,13036,100
"68171",0.55,"highUnequal",76,76,0.05,0.09835,-0.0458906967042136,0.55182989937176,-0.595890696704214,0.00182989937175992,1862,13036,100
"68513",0.55,"equal",67,67,0.05,0.08778,0.551076862280182,0.589609559150609,0.00107686228018178,0.0396095591506094,3575,11732,100
"68864",0.55,"modUnequal",67,67,0.05,0.08778,0.161314138058324,0.533118192606454,-0.388685861941676,-0.0168818073935464,2177,11732,100
"69215",0.55,"highUnequal",67,67,0.05,0.08778,-0.144008056394763,0.488355755889591,-0.694008056394763,-0.0616442441104095,1749,11732,100
"69570",0.55,"equal",71,71,0.05,0.0899,0.529222087867795,0.563389603166236,-0.0207779121322048,0.0133896031662357,3808,12318,100
"69921",0.55,"modUnequal",71,71,0.05,0.0899,0.189732917100243,0.553820293610241,-0.360267082899757,0.00382029361024072,2261,12318,100
"70272",0.55,"highUnequal",71,71,0.05,0.0899,-0.151873767258383,0.529824541177533,-0.701873767258383,-0.020175458822467,1676,12318,100
"70623",0.55,"equal",71,71,0.05,0.08119,0.563254926891291,0.600024595642731,0.0132549268912905,0.0500245956427307,3800,12448,100
"70974",0.55,"modUnequal",71,71,0.05,0.08119,0.149752475247525,0.515588412150984,-0.400247524752475,-0.0344115878490163,2364,12448,100
"71325",0.55,"highUnequal",71,71,0.05,0.08119,-0.0585516178736518,0.541050523645236,-0.608551617873652,-0.00894947635476373,1799,12448,100
"71675",0.55,"equal",70,70,0.05,0.08458,0.558497536945813,0.585692964832401,0.00849753694581279,0.0356929648324009,3834,12257,100
"72026",0.55,"modUnequal",70,70,0.05,0.08458,0.179633867276888,0.540991193749278,-0.370366132723112,-0.00900880625072231,2286,12257,100
"72377",0.55,"highUnequal",70,70,0.05,0.08458,-0.0798192771084338,0.533520186645251,-0.629819277108434,-0.0164798133547488,1765,12257,100
"72735",0.55,"equal",77,77,0.05,0.09577,0.541147602869007,0.574002579714256,-0.00885239713099295,0.0240025797142562,4067,13142,100
"73086",0.55,"modUnequal",77,77,0.05,0.09577,0.218579234972678,0.558867702348371,-0.331420765027322,0.0088677023483712,2473,13142,100
"73437",0.55,"highUnequal",77,77,0.05,0.09577,-0.13810861423221,0.511311298880508,-0.68810861423221,-0.0386887011194917,1881,13142,100
"73776",0.55,"equal",65,65,0.05,0.08309,0.548664944013781,0.585960469364164,-0.00133505598621886,0.035960469364164,3497,11436,100
"74127",0.55,"modUnequal",65,65,0.05,0.08309,0.198776758409786,0.567019969130157,-0.351223241590214,0.0170199691301571,2060,11436,100
"74478",0.55,"highUnequal",65,65,0.05,0.08309,-0.0585858585858587,0.541242434841595,-0.608585858585859,-0.00875756515840465,1652,11436,100
"74834",0.55,"equal",70,70,0.05,0.07326,0.561193328635189,0.5940063203698,0.0111933286351891,0.0440063203697998,3782,12263,100
"75185",0.55,"modUnequal",70,70,0.05,0.07326,0.204767986377182,0.555077318318017,-0.345232013622818,0.00507731831801705,2287,12263,100
"75536",0.55,"highUnequal",70,70,0.05,0.07326,-0.0292011019283747,0.559381408699016,-0.579201101928375,0.00938140869901594,1750,12263,100
"75888",0.55,"equal",71,71,0.05,0.07837,0.559340904030283,0.584647213903615,0.00934090403028276,0.0346472139036148,3868,12311,100
"76239",0.55,"modUnequal",71,71,0.05,0.07837,0.139939156888309,0.503496676793536,-0.410060843111691,-0.0465033232064644,2369,12311,100
"76590",0.55,"highUnequal",71,71,0.05,0.07837,-0.0921633554083885,0.508965626497813,-0.642163355408389,-0.0410343735021875,1845,12311,100
"76943",0.55,"equal",73,73,0.05,0.08687,0.54306658521686,0.570666831644539,-0.00693341478313991,0.0206668316445391,3977,12698,100
"77294",0.55,"modUnequal",73,73,0.05,0.08687,0.169811320754717,0.536917119617708,-0.380188679245283,-0.0130828803822917,2361,12698,100
"77645",0.55,"highUnequal",73,73,0.05,0.08687,-0.128205128205128,0.503156160267516,-0.678205128205128,-0.0468438397324836,1864,12698,100
"77993",0.55,"equal",70,70,0.05,0.07686,0.557380789413644,0.574963245101875,0.00738078941364351,0.0249632451018754,3892,12159,100
"78344",0.55,"modUnequal",70,70,0.05,0.07686,0.167739167739168,0.521547560037567,-0.382260832260832,-0.0284524399624326,2330,12159,100
"78695",0.55,"highUnequal",70,70,0.05,0.07686,-0.039657020364416,0.535194048630565,-0.589657020364416,-0.0148059513694354,1812,12159,100
"79048",0.55,"equal",72,72,0.05,0.08221,0.573970618663356,0.592449490780437,0.023970618663356,0.0424494907804365,4014,12588,100
"79399",0.55,"modUnequal",72,72,0.05,0.08221,0.176070428171269,0.524807062958644,-0.373929571828731,-0.0251929370413562,2420,12588,100
"79750",0.55,"highUnequal",72,72,0.05,0.08221,-0.0876914949815109,0.546881617438589,-0.637691494981511,-0.00311838256141117,1748,12588,100
"80103",0.55,"equal",74,74,0.05,0.11985,0.539465962441315,0.581466902875822,-0.0105340375586855,0.031466902875822,3780,12478,100
"80454",0.55,"modUnequal",74,74,0.05,0.11985,0.178057083006023,0.533235493683337,-0.371942916993978,-0.0167645063166633,2362,12478,100
"80805",0.55,"highUnequal",74,74,0.05,0.11985,-0.123881131399928,0.514978370525035,-0.673881131399928,-0.0350216294749651,1795,12478,100
"81150",0.55,"equal",68,68,0.05,0.10056,0.529316837009145,0.571513534575031,-0.0206831629908555,0.0215135345750311,3571,11768,100
"81501",0.55,"modUnequal",68,68,0.05,0.10056,0.163479923518164,0.544918292858879,-0.386520076481836,-0.00508170714112111,2134,11768,100
"81852",0.55,"highUnequal",68,68,0.05,0.10056,-0.152832674571805,0.520077560101353,-0.702832674571805,-0.0299224398986466,1633,11768,100
"82206",0.55,"equal",71,71,0.05,0.06906,0.535192563081009,0.55431298358444,-0.0148074369189908,0.0043129835844401,4017,12568,100
"82557",0.55,"modUnequal",71,71,0.05,0.06906,0.2106450157871,0.566821982326832,-0.3393549842129,0.0168219823268322,2299,12568,100
"82908",0.55,"highUnequal",71,71,0.05,0.06906,-0.0510510510510511,0.55116239727952,-0.601051051051051,0.00116239727952006,1789,12568,100
"83264",0.55,"equal",76,76,0.05,0.09467,0.539806547619048,0.569993549311927,-0.0101934523809524,0.0199935493119265,4074,13080,100
"83615",0.55,"modUnequal",76,76,0.05,0.09467,0.177799933532735,0.549864321408862,-0.372200066467265,-0.000135678591137944,2387,13080,100
"83966",0.55,"highUnequal",76,76,0.05,0.09467,-0.109914759982055,0.507666250962089,-0.659914759982055,-0.0423337490379114,1934,13080,100
"84319",0.55,"equal",78,78,0.05,0.10303,0.541834677419355,0.566880768932798,-0.00816532258064528,0.0168807689327981,4133,13116,100
"84670",0.55,"modUnequal",78,78,0.05,0.10303,0.181818181818182,0.541878067038177,-0.368181818181818,-0.00812193296182318,2448,13116,100
"85021",0.55,"highUnequal",78,78,0.05,0.10303,-0.0899280575539569,0.516861716482258,-0.639928057553957,-0.0331382835177422,1938,13116,100
"85365",0.55,"equal",71,71,0.05,0.0943,0.526325866360329,0.560978382957385,-0.0236741336396707,0.0109783829573853,3805,12316,100
"85716",0.55,"modUnequal",71,71,0.05,0.0943,0.183498349834983,0.536193119149525,-0.366501650165017,-0.0138068808504754,2332,12316,100
"86067",0.55,"highUnequal",71,71,0.05,0.0943,-0.179780639008107,0.490192224683246,-0.729780639008107,-0.0598077753167542,1774,12316,100
"86426",0.55,"equal",79,79,0.05,0.09909,0.538380095288512,0.582687362928231,-0.0116199047114875,0.032687362928231,4050,13440,100
"86777",0.55,"modUnequal",79,79,0.05,0.09909,0.174242424242424,0.536432968073593,-0.375757575757576,-0.013567031926407,2515,13440,100
"87128",0.55,"highUnequal",79,79,0.05,0.09909,-0.236879432624113,0.453895643363728,-0.786879432624114,-0.0961043566362716,1978,13440,100
"87476",0.55,"equal",76,76,0.05,0.09214,0.547187617969045,0.577069526187454,-0.00281238203095513,0.0270695261874543,4029,12941,100
"87827",0.55,"modUnequal",76,76,0.05,0.09214,0.135495495495496,0.502981723706552,-0.414504504504504,-0.0470182762934483,2480,12941,100
"88178",0.55,"highUnequal",76,76,0.05,0.09214,-0.0748207885304657,0.525338010474336,-0.624820788530466,-0.0246619895256637,1905,12941,100
"88522",0.55,"equal",69,69,0.05,0.08595,0.552908477268215,0.581618729767711,0.00290847726821508,0.0316187297677109,3750,12022,100
"88873",0.55,"modUnequal",69,69,0.05,0.08595,0.216423103688239,0.554765115729027,-0.333576896311761,0.00476511572902705,2277,12022,100
"89224",0.55,"highUnequal",69,69,0.05,0.08595,-0.154871794871795,0.492209922833779,-0.704871794871795,-0.0577900771662209,1762,12022,100
"89574",0.55,"equal",68,68,0.05,0.06735,0.530683968640173,0.552659414193261,-0.0193160313598271,0.00265941419326077,3827,12045,100
"89925",0.55,"modUnequal",68,68,0.05,0.06735,0.164983164983165,0.530601993366626,-0.385016835016835,-0.019398006633374,2257,12045,100
"90276",0.55,"highUnequal",68,68,0.05,0.06735,-0.166666666666667,0.504566210045662,-0.716666666666667,-0.045433789954338,1705,12045,100
"90634",0.55,"equal",75,75,0.05,0.08476,0.577750710515631,0.599185352118232,0.0277507105156314,0.0491853521182324,4064,12844,100
"90985",0.55,"modUnequal",75,75,0.05,0.08476,0.255281059792338,0.565310036224164,-0.294718940207662,0.0153100362241636,2499,12844,100
"91336",0.55,"highUnequal",75,75,0.05,0.08476,-0.0410410410410409,0.541646910067963,-0.591041041041041,-0.00835308993203732,1885,12844,100
"91678",0.55,"equal",66,66,0.05,0.08683,0.550883607556368,0.589496639844061,0.000883607556368071,0.0394966398440608,3565,11701,100
"92029",0.55,"modUnequal",66,66,0.05,0.08683,0.195414847161572,0.558547416355636,-0.354585152838428,0.00854741635563561,2140,11701,100
"92380",0.55,"highUnequal",66,66,0.05,0.08683,-0.0558739255014327,0.536808746295286,-0.605873925501433,-0.0131912537047136,1711,11701,100
"92735",0.55,"equal",70,70,0.05,0.07294,0.569473932531257,0.603964743595245,0.0194739325312574,0.0539647435952447,3793,12370,100
"93086",0.55,"modUnequal",70,70,0.05,0.07294,0.258130081300813,0.596979316599957,-0.291869918699187,0.0469793165999566,2240,12370,100
"93437",0.55,"highUnequal",70,70,0.05,0.07294,-0.0766961651917404,0.527106688319586,-0.62669616519174,-0.0228933116804144,1811,12370,100
"93788",0.55,"equal",70,70,0.05,0.11644,0.559334511189635,0.604458481006994,0.0093345111896348,0.0544584810069935,3591,12002,100
"94139",0.55,"modUnequal",70,70,0.05,0.11644,0.213196635120925,0.569296941571778,-0.336803364879075,0.019296941571778,2190,12002,100
"94490",0.55,"highUnequal",70,70,0.05,0.11644,-0.0797258297258296,0.546320833252178,-0.62972582972583,-0.00367916674782198,1681,12002,100
"94845",0.55,"equal",74,74,0.05,0.10801,0.556028368794326,0.610189311176338,0.00602836879432611,0.0601893111763383,3685,12591,100
"95196",0.55,"modUnequal",74,74,0.05,0.10801,0.191214470284238,0.545022007229232,-0.358785529715762,-0.00497799277076827,2361,12591,100
"95547",0.55,"highUnequal",74,74,0.05,0.10801,-0.0574324324324325,0.550269980487993,-0.607432432432433,0.000269980487993315,1785,12591,100
"95901",0.55,"equal",77,77,0.05,0.09641,0.57525736599219,0.603302758492706,0.0252573659921902,0.0533027584927059,4102,13176,100
"96252",0.55,"modUnequal",77,77,0.05,0.09641,0.243200506008855,0.575075693947595,-0.306799493991145,0.0250756939475949,2466,13176,100
"96603",0.55,"highUnequal",77,77,0.05,0.09641,0.010339123242349,0.58426131201779,-0.539660876757651,0.03426131201779,1845,13176,100
"96953",0.55,"equal",76,76,0.05,0.07669,0.540182648401827,0.569655430290304,-0.00981735159817354,0.0196554302903043,4103,13152,100
"97304",0.55,"modUnequal",76,76,0.05,0.07669,0.189210950080515,0.545040815966713,-0.360789049919485,-0.00495918403328743,2460,13152,100
"97655",0.55,"highUnequal",76,76,0.05,0.07669,-0.188200589970501,0.473657494132593,-0.738200589970502,-0.0763425058674074,1942,13152,100
"98000",0.55,"equal",70,70,0.05,0.07337,0.535846267553585,0.545143822000422,-0.0141537324464154,-0.00485617799957816,3979,12181,100
"98351",0.55,"modUnequal",70,70,0.05,0.07337,0.151351351351351,0.503811207973428,-0.398648648648649,-0.0461887920265722,2374,12181,100
"98702",0.55,"highUnequal",70,70,0.05,0.07337,-0.16728624535316,0.490288519905307,-0.71728624535316,-0.0597114800946932,1773,12181,100
"99059",0.55,"equal",76,76,0.05,0.08568,0.544782425010562,0.572173438548459,-0.0052175749894382,0.0221734385484591,4061,12963,100
"99410",0.55,"modUnequal",76,76,0.05,0.08568,0.207137601177336,0.53907189404246,-0.342862398822664,-0.0109281059575403,2512,12963,100
"99761",0.55,"highUnequal",76,76,0.05,0.08568,-0.127681841967556,0.498141128881368,-0.677681841967556,-0.0518588711186324,1923,12963,100
"100103",0.55,"equal",67,67,0.05,0.06764,0.554416403785489,0.575891666686567,0.00441640378548902,0.0258916666865667,3772,11889,100
"100454",0.55,"modUnequal",67,67,0.05,0.06764,0.197443181818182,0.546574636409515,-0.352556818181818,-0.00342536359048484,2239,11889,100
"100805",0.55,"highUnequal",67,67,0.05,0.06764,-0.139112903225806,0.493535973887491,-0.689112903225806,-0.0564640261125086,1762,11889,100
"101163",0.55,"equal",74,74,0.05,0.1035,0.541838842975207,0.585528350212809,-0.00816115702479348,0.0355283502128092,3820,12668,100
"101514",0.55,"modUnequal",74,74,0.05,0.1035,0.165569143932267,0.5399696006649,-0.384430856067733,-0.0100303993351,2328,12668,100
"101865",0.55,"highUnequal",74,74,0.05,0.1035,-0.0183696900114809,0.565416281638612,-0.568369690011481,0.0154162816386116,1802,12668,100
"102212",0.55,"equal",70,70,0.05,0.08784,0.553571428571429,0.596937320278939,0.00357142857142856,0.0469373202789387,3693,12271,100
"102563",0.55,"modUnequal",70,70,0.05,0.08784,0.194414607948443,0.550760260956009,-0.355585392051557,0.00076026095600934,2281,12271,100
"102914",0.55,"highUnequal",70,70,0.05,0.08784,-0.0997067448680351,0.517674052572752,-0.649706744868035,-0.0323259474272485,1794,12271,100
"103267",0.55,"equal",72,72,0.05,0.08461,0.562408223201175,0.577919937480193,0.0124082232011747,0.0279199374801931,4009,12469,100
"103618",0.55,"modUnequal",72,72,0.05,0.08461,0.210745365115399,0.543119740588897,-0.339254634884601,-0.00688025941110348,2406,12469,100
"103969",0.55,"highUnequal",72,72,0.05,0.08461,-0.0967402733964247,0.502073407033671,-0.646740273396425,-0.0479265929663294,1887,12469,100
"104318",0.55,"equal",70,70,0.05,0.0888,0.561156701836655,0.604044715596455,0.0111567018366548,0.0540447155964545,3696,12289,100
"104669",0.55,"modUnequal",70,70,0.05,0.0888,0.176384305097177,0.542584659637743,-0.373615694902824,-0.00741534036225666,2275,12289,100
"105020",0.55,"highUnequal",70,70,0.05,0.0888,-0.13091641490433,0.522381300890758,-0.68091641490433,-0.027618699109242,1730,12289,100
"105380",0.55,"equal",79,79,0.1,0.11547,0.555230533500488,0.591861277010397,0.00523053350048752,0.0418612770103968,7194,23519,100
"105731",0.55,"modUnequal",79,79,0.1,0.11547,0.176212590299278,0.527247813736526,-0.373787409700722,-0.0227521862634743,4499,23519,100
"106082",0.55,"highUnequal",79,79,0.1,0.11547,-0.115653389238295,0.490961498366591,-0.665653389238295,-0.0590385016334088,3577,23519,100
"106428",0.55,"equal",74,74,0.1,0.09658,0.569306930693069,0.610018838547625,0.0193069306930693,0.0600188385476254,6948,23020,100
"106779",0.55,"modUnequal",74,74,0.1,0.09658,0.191449814126394,0.538578462562052,-0.358550185873606,-0.0114215374379479,4379,23020,100
"107130",0.55,"highUnequal",74,74,0.1,0.09658,-0.0888610763454316,0.501356495793504,-0.638861076345432,-0.0486435042064962,3514,23020,100
"107477",0.55,"equal",70,70,0.1,0.09893,0.545650730411687,0.58695520946517,-0.0043492695883135,0.0369552094651696,6600,21780,100
"107828",0.55,"modUnequal",70,70,0.1,0.09893,0.156808379544054,0.530321361828672,-0.393191620455946,-0.0196786381713285,4044,21780,100
"108179",0.55,"highUnequal",70,70,0.1,0.09893,-0.147589098532495,0.476155609843432,-0.697589098532495,-0.0738443901565685,3314,21780,100
"108535",0.55,"equal",75,75,0.1,0.09775,0.538109756097561,0.576650636859891,-0.0118902439024391,0.0266506368598908,7052,23082,100
"108886",0.55,"modUnequal",75,75,0.1,0.09775,0.186940966010733,0.538097083757852,-0.363059033989267,-0.0119029162421477,4371,23082,100
"109237",0.55,"highUnequal",75,75,0.1,0.09775,-0.0991535671100365,0.501423713385232,-0.649153567110037,-0.0485762866147682,3490,23082,100
"109585",0.55,"equal",72,72,0.1,0.09061,0.545037898818967,0.576599485588992,-0.00496210118103302,0.0265994855889917,6949,22401,100
"109936",0.55,"modUnequal",72,72,0.1,0.09061,0.171162491971741,0.523254707783397,-0.378837508028259,-0.0267452922166029,4295,22401,100
"110287",0.55,"highUnequal",72,72,0.1,0.09061,-0.162612612612612,0.480895881819948,-0.712612612612612,-0.0691041181800524,3334,22401,100
"110634",0.55,"equal",68,68,0.1,0.07063,0.563266250289151,0.588717168571755,0.013266250289151,0.0387171685717546,6841,21793,100
"110985",0.55,"modUnequal",68,68,0.1,0.07063,0.211361737677527,0.548160540386436,-0.338638262322473,-0.0018394596135638,4162,21793,100
"111336",0.55,"highUnequal",68,68,0.1,0.07063,-0.0684776457272211,0.510499664344488,-0.618477645727221,-0.0395003356555121,3328,21793,100
"111689",0.55,"equal",70,70,0.1,0.08466,0.563742032245969,0.58436982431072,0.0137420322459691,0.0343698243107199,6985,21995,100
"112040",0.55,"modUnequal",70,70,0.1,0.08466,0.180922210489264,0.519501672286564,-0.369077789510736,-0.030498327713436,4301,21995,100
"112391",0.55,"highUnequal",70,70,0.1,0.08466,-0.0467836257309941,0.523129259839756,-0.596783625730994,-0.0268707401602438,3340,21995,100
"112744",0.55,"equal",72,72,0.1,0.08639,0.527127244340359,0.553673229063037,-0.0228727556596409,0.00367322906303658,7056,22427,100
"113095",0.55,"modUnequal",72,72,0.1,0.08639,0.135260528194147,0.489878128506201,-0.414739471805853,-0.0601218714937993,4410,22427,100
"113446",0.55,"highUnequal",72,72,0.1,0.08639,-0.126452812645281,0.48903533851873,-0.676452812645281,-0.0609646614812702,3391,22427,100
"113803",0.55,"equal",78,78,0.1,0.09,0.546754675467547,0.576766763004819,-0.0032453245324533,0.0267667630048192,7413,23816,100
"114154",0.55,"modUnequal",78,78,0.1,0.09,0.209213051823416,0.539991502349749,-0.340786948176584,-0.0100084976502515,4618,23816,100
"114505",0.55,"highUnequal",78,78,0.1,0.09,-0.0274314214463842,0.521271141930193,-0.577431421446384,-0.0287288580698071,3699,23816,100
"114853",0.55,"equal",75,75,0.1,0.10919,0.542409014770824,0.579952676686345,-0.00759098522917623,0.0299526766863449,6974,22792,100
"115204",0.55,"modUnequal",75,75,0.1,0.10919,0.194801714898178,0.537272414081096,-0.355198285101822,-0.0127275859189043,4366,22792,100
"115555",0.55,"highUnequal",75,75,0.1,0.10919,-0.0805465659834592,0.503343022760498,-0.630546565983459,-0.0466569772395016,3492,22792,100
"115901",0.55,"equal",70,70,0.1,0.07579,0.558651976668827,0.583986879310472,0.00865197666882689,0.0339868793104721,6924,22037,100
"116252",0.55,"modUnequal",70,70,0.1,0.07579,0.227891156462585,0.544660047619356,-0.322108843537415,-0.00533995238064378,4332,22037,100
"116603",0.55,"highUnequal",70,70,0.1,0.07579,-0.148397976391231,0.45954370317405,-0.698397976391231,-0.0904562968259499,3457,22037,100
"116962",0.55,"equal",78,78,0.1,0.09781,0.559385113268608,0.602030637277393,0.00938511326860836,0.0520306372773933,7167,23805,100
"117313",0.55,"modUnequal",78,78,0.1,0.09781,0.164980067463968,0.53024209466404,-0.385019932536032,-0.0197579053359604,4464,23805,100
"117664",0.55,"highUnequal",78,78,0.1,0.09781,-0.0578865578865577,0.510852453574571,-0.607886557886558,-0.0391475464254293,3669,23805,100
"118008",0.55,"equal",71,71,0.1,0.0834,0.569245463228271,0.598302848218285,0.0192454632282713,0.0483028482182855,6949,22355,100
"118359",0.55,"modUnequal",71,71,0.1,0.0834,0.196078431372549,0.529945926033129,-0.353921568627451,-0.0200540739668715,4357,22355,100
"118710",0.55,"highUnequal",71,71,0.1,0.0834,-0.115232443125618,0.495638559606352,-0.665232443125618,-0.054361440393648,3370,22355,100
"119056",0.55,"equal",66,66,0.1,0.08835,0.551969365426696,0.583206561064277,0.0019693654266959,0.0332065610642769,6538,21084,100
"119407",0.55,"modUnequal",66,66,0.1,0.08835,0.165137614678899,0.530300815088271,-0.384862385321101,-0.0196991849117292,3954,21084,100
"119758",0.55,"highUnequal",66,66,0.1,0.08835,-0.112771739130435,0.489847674519314,-0.662771739130435,-0.0601523254806859,3222,21084,100
"120118",0.55,"equal",75,75,0.1,0.08679,0.559175409534327,0.584221174963916,0.00917540953432727,0.0342211749639161,7249,23057,100
"120469",0.55,"modUnequal",75,75,0.1,0.08679,0.218086842964414,0.555818253421863,-0.331913157035586,0.00581825342186293,4366,23057,100
"120820",0.55,"highUnequal",75,75,0.1,0.08679,-0.153660886319846,0.4647237645032,-0.703660886319846,-0.0852762354967999,3566,23057,100
"121168",0.55,"equal",72,72,0.1,0.07713,0.543520309477756,0.563644203042687,-0.00647969052224373,0.0136442030426867,7170,22502,100
"121519",0.55,"modUnequal",72,72,0.1,0.07713,0.202702702702703,0.555998025400745,-0.347297297297297,0.00599802540074512,4177,22502,100
"121870",0.55,"highUnequal",72,72,0.1,0.07713,-0.1328,0.476692916185228,-0.6828,-0.073307083814772,3465,22502,100
"122218",0.55,"equal",69,69,0.1,0.09215,0.557434813248767,0.599108455365903,0.00743481324876671,0.0491084553659027,6612,21898,100
"122569",0.55,"modUnequal",69,69,0.1,0.09215,0.191763191763192,0.546460229262312,-0.358236808236808,-0.00353977073768841,4096,21898,100
"122920",0.55,"highUnequal",69,69,0.1,0.09215,-0.126962763571108,0.494055579109162,-0.676962763571108,-0.0559444208908377,3277,21898,100
"123270",0.55,"equal",68,68,0.1,0.07377,0.577861952861953,0.610548989736527,0.0278619528619528,0.060548989736527,6692,21761,100
"123621",0.55,"modUnequal",68,68,0.1,0.07377,0.227867590454195,0.558989305719185,-0.322132409545805,0.00898930571918544,4143,21761,100
"123972",0.55,"highUnequal",68,68,0.1,0.07377,-0.0350877192982457,0.541652255725477,-0.585087719298246,-0.00834774427452301,3212,21761,100
"124336",0.55,"equal",81,81,0.1,0.08619,0.544622425629291,0.584634526676373,-0.0053775743707094,0.0346345266763725,7502,24674,100
"124687",0.55,"modUnequal",81,81,0.1,0.08619,0.178534571723426,0.536564855248038,-0.371465428276574,-0.0134351447519619,4640,24674,100
"125038",0.55,"highUnequal",81,81,0.1,0.08619,-0.0904109589041096,0.487452934207268,-0.64041095890411,-0.0625470657927318,3866,24674,100
"125380",0.55,"equal",72,72,0.1,0.07864,0.555761316872428,0.579566879204883,0.00576131687242798,0.0295668792048829,7088,22468,100
"125731",0.55,"modUnequal",72,72,0.1,0.07864,0.164150212930701,0.513623815375467,-0.385849787069299,-0.0363761846245335,4358,22468,100
"126082",0.55,"highUnequal",72,72,0.1,0.07864,-0.0661728395061727,0.51484105789963,-0.616172839506173,-0.03515894210037,3408,22468,100
"126431",0.55,"equal",70,70,0.1,0.09001,0.54648401826484,0.570777657016308,-0.00351598173515988,0.0207776570163077,6867,21767,100
"126782",0.55,"modUnequal",70,70,0.1,0.09001,0.204166666666667,0.539983690908256,-0.345833333333333,-0.0100163090917444,4194,21767,100
"127133",0.55,"highUnequal",70,70,0.1,0.09001,-0.141609195402299,0.47873139187286,-0.691609195402299,-0.0712686081271396,3313,21767,100
"127484",0.55,"equal",70,70,0.1,0.09676,0.547703779020505,0.587537564815576,-0.002296220979495,0.0375375648155762,6658,21903,100
"127835",0.55,"modUnequal",70,70,0.1,0.09676,0.180785758133824,0.533336250935293,-0.369214241866176,-0.0166637490647068,4159,21903,100
"128186",0.55,"highUnequal",70,70,0.1,0.09676,-0.0983539094650208,0.508967653678424,-0.648353909465021,-0.041032346321576,3264,21903,100
"128546",0.55,"equal",79,79,0.1,0.07987,0.549310273831583,0.579093426416984,-0.000689726168416782,0.0290934264169842,7509,24121,100
"128897",0.55,"modUnequal",79,79,0.1,0.07987,0.164184803360061,0.507367660933211,-0.385815196639939,-0.0426323390667889,4739,24121,100
"129248",0.55,"highUnequal",79,79,0.1,0.07987,-0.115698267074414,0.484912901532247,-0.665698267074414,-0.0650870984677532,3712,24121,100
"129594",0.55,"equal",74,74,0.1,0.08858,0.536313903037163,0.573741029444512,-0.0136860969628372,0.0237410294445118,7065,23056,100
"129945",0.55,"modUnequal",74,74,0.1,0.08858,0.149186569747317,0.510125421295786,-0.400813430252683,-0.0398745787042141,4425,23056,100
"130296",0.55,"highUnequal",74,74,0.1,0.08858,-0.137962962962963,0.482497325352764,-0.687962962962963,-0.0675026746472357,3495,23056,100
"130640",0.55,"equal",67,67,0.1,0.07469,0.560130718954248,0.579974138292653,0.0101307189542483,0.0299741382926531,6844,21502,100
"130991",0.55,"modUnequal",67,67,0.1,0.07469,0.223760092272203,0.54935341976718,-0.326239907727797,-0.000646580232819827,4161,21502,100
"131342",0.55,"highUnequal",67,67,0.1,0.07469,-0.154373927958834,0.469144758643059,-0.704373927958834,-0.0808552413569411,3296,21502,100
"131699",0.55,"equal",73,73,0.1,0.0894,0.554406964091404,0.586202753820185,0.00440696409140373,0.0362027538201846,7019,22675,100
"132050",0.55,"modUnequal",73,73,0.1,0.0894,0.204854368932039,0.548055704820115,-0.345145631067961,-0.0019442951798847,4296,22675,100
"132401",0.55,"highUnequal",73,73,0.1,0.0894,-0.13121546961326,0.479166945853917,-0.68121546961326,-0.0708330541460831,3480,22675,100
"132747",0.55,"equal",68,68,0.1,0.08622,0.554157131960336,0.591748653769809,0.00415713196033551,0.0417486537698094,6603,21633,100
"133098",0.55,"modUnequal",68,68,0.1,0.08622,0.160201149425287,0.534040327118371,-0.389798850574713,-0.0159596728816288,4001,21633,100
"133449",0.55,"highUnequal",68,68,0.1,0.08622,-0.107007575757576,0.502760014161866,-0.657007575757576,-0.0472399858381345,3239,21633,100
