"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"13060",0.55,"modUnequal",72,72,0.05,0.08344,0.19352380952381,0.544308957052405,-0.356476190476191,-0.00569104294759504,2350,12477,100
"13411",0.55,"highUnequal",72,72,0.05,0.08344,-0.118330692023244,0.524595175884324,-0.668330692023244,-0.0254048241156756,1768,12477,100
"13757",0.55,"equal",67,67,0.05,0.0873,0.575171065493646,0.608752092003177,0.0251710654936461,0.0587520920031773,3604,11740,100
"14108",0.55,"modUnequal",67,67,0.05,0.0873,0.243910925539318,0.577066699149634,-0.306089074460682,0.0270666991496338,2189,11740,100
"14459",0.55,"highUnequal",67,67,0.05,0.0873,0.00503663003663002,0.571080952692963,-0.54496336996337,0.021080952692963,1687,11740,100
"14824",0.55,"equal",81,81,0.05,0.11098,0.552136752136752,0.596182943020989,0.00213675213675213,0.0461829430209892,4092,13615,100
"15175",0.55,"modUnequal",81,81,0.05,0.11098,0.200776483638381,0.561322266781463,-0.34922351636162,0.0113222667814629,2491,13615,100
"15526",0.55,"highUnequal",81,81,0.05,0.11098,-0.0966514459665144,0.526623536691502,-0.646651445966514,-0.0233764633084984,1959,13615,100
"15869",0.55,"equal",73,73,0.05,0.10252,0.534199134199134,0.560615694427611,-0.0158008658008658,0.0106156944276111,3942,12537,100
"16220",0.55,"modUnequal",73,73,0.05,0.10252,0.172816728167282,0.535835182472428,-0.377183271832718,-0.0141648175275723,2345,12537,100
"16571",0.55,"highUnequal",73,73,0.05,0.10252,-0.264692054536906,0.442857604115232,-0.814692054536907,-0.107142395884768,1841,12537,100
"16921",0.55,"equal",72,72,0.05,0.11191,0.554267161410019,0.589286682242033,0.00426716141001848,0.0392866822420328,3753,12219,100
"17272",0.55,"modUnequal",72,72,0.05,0.11191,0.231814548361311,0.567341658222648,-0.318185451638689,0.0173416582226484,2294,12219,100
"17623",0.55,"highUnequal",72,72,0.05,0.11191,-0.0267094017094018,0.568192191228037,-0.576709401709402,0.0181921912280369,1713,12219,100
"17973",0.55,"equal",71,71,0.05,0.09396,0.524676850763807,0.559823444620794,-0.0253231492361927,0.0098234446207941,3824,12388,100
"18324",0.55,"modUnequal",71,71,0.05,0.09396,0.218357487922705,0.574475532656662,-0.331642512077295,0.0244755326566617,2248,12388,100
"18675",0.55,"highUnequal",71,71,0.05,0.09396,-0.13943661971831,0.520697108060049,-0.68943661971831,-0.0293028919399509,1737,12388,100
"19027",0.55,"equal",72,72,0.05,0.09743,0.542795232936078,0.577820646361473,-0.00720476706392192,0.0278206463614732,3829,12440,100
"19378",0.55,"modUnequal",72,72,0.05,0.09743,0.159362549800797,0.545082691741074,-0.390637450199203,-0.00491730825892578,2244,12440,100
"19729",0.55,"highUnequal",72,72,0.05,0.09743,-0.0683544303797468,0.53959420407831,-0.618354430379747,-0.01040579592169,1787,12440,100
"20076",0.55,"equal",68,68,0.05,0.09284,0.526939017169923,0.552631781879686,-0.0230609828300771,0.00263178187968616,3703,11747,100
"20427",0.55,"modUnequal",68,68,0.05,0.09284,0.186354378818737,0.550337331002915,-0.363645621181263,0.000337331002914887,2164,11747,100
"20778",0.55,"highUnequal",68,68,0.05,0.09284,-0.134943181818182,0.48986975397974,-0.684943181818182,-0.0601302460202605,1760,11747,100
"21132",0.55,"equal",71,71,0.05,0.09205,0.560106181266591,0.60593141893471,0.0101061812665908,0.0559314189347104,3692,12364,100
"21483",0.55,"modUnequal",71,71,0.05,0.09205,0.219643457786747,0.570753409609161,-0.330356542213253,0.0207534096091611,2267,12364,100
"21834",0.55,"highUnequal",71,71,0.05,0.09205,-0.0637322329206784,0.551931618485046,-0.613732232920678,0.00193161848504575,1736,12364,100
"22185",0.55,"equal",71,71,0.05,0.07548,0.530468560330177,0.554770884665303,-0.0195314396698228,0.00477088466530295,3945,12481,100
"22536",0.55,"modUnequal",71,71,0.05,0.07548,0.183966244725739,0.543763837488679,-0.366033755274262,-0.00623616251132098,2326,12481,100
"22887",0.55,"highUnequal",71,71,0.05,0.07548,-0.165762507534659,0.490019766754327,-0.715762507534659,-0.0599802332456727,1820,12481,100
