VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,VE_symptOR_degUnderNeg_testSens,totalNum_sims
0.55,modUnequal,0.5,Highest Growth,-0.370279296,549,1351,6587,31674,-0.061761671,100
0.55,modUnequal,0.5,Peak,-0.344515103,1258,2998.5,7161,34092.5,-0.05065463,100
0.55,highUnequal,0.5,Highest Growth,-0.59972805,429,1351,5230,31674,-0.069992205,100
0.55,highUnequal,0.5,Peak,-0.591688379,959.5,2998.5,5836.5,34092.5,-0.084998685,100
0.55,equal,0.5,Highest Growth,0.002918425,948,1271.5,10316,31615.5,0.012357686,100
0.55,equal,0.5,Peak,0.01094799,2060.5,2714,10780.5,33943,0.03166336,100
0.55,modUnequal,0.5,Highest Growth,-0.35653346,525.5,1271.5,6540.5,31615.5,-0.050558153,100
0.55,modUnequal,0.5,Peak,-0.333600404,1154.5,2714,7107.5,33943,-0.042246402,100
0.55,highUnequal,0.5,Highest Growth,-0.61759026,397,1271.5,5265,31615.5,-0.083364589,100
0.55,highUnequal,0.5,Peak,-0.616823899,848,2714,5825,33943,-0.099236887,100
0.55,equal,0.5,Highest Growth,-0.003881766,936,1274.5,10878,32674.5,-0.003319181,100
0.55,equal,0.5,Peak,-0.006169342,2118,2898.5,11272,35053.5,0.009934886,100
0.55,modUnequal,0.5,Highest Growth,-0.385463782,508.5,1274.5,6881.5,32674.5,-0.077865218,100
0.55,modUnequal,0.5,Peak,-0.352464009,1204,2898.5,7430,35053.5,-0.060274944,100
0.55,highUnequal,0.5,Highest Growth,-0.654898136,384.5,1274.5,5594.5,32674.5,-0.117539147,100
0.55,highUnequal,0.5,Peak,-0.638638498,887.5,2898.5,6230.5,35053.5,-0.13049229,100
0.55,equal,0.5,Highest Growth,0.006707885,1253.5,1667,10147.5,31600,0.022945563,100
0.55,equal,0.5,Peak,0.006032859,2211.5,2945.5,10529.5,33516.5,0.031571583,100
0.55,modUnequal,0.5,Highest Growth,-0.34608405,698,1667,6460,31600,-0.038231294,100
0.55,modUnequal,0.5,Peak,-0.331092548,1257,2945.5,6906,33516.5,-0.032827127,100
0.55,highUnequal,0.5,Highest Growth,-0.605397278,526.5,1667,5089.5,31600,-0.059947257,100
0.55,highUnequal,0.5,Peak,-0.618953003,918.5,2945.5,5591.5,33516.5,-0.084994768,100
0.55,equal,0.5,Highest Growth,-0.008446251,1107,1522.5,10633,32470.5,-0.000377326,100
0.55,equal,0.5,Peak,-0.006338028,2130,2916,11023,34518,0.012818174,100
0.55,modUnequal,0.5,Highest Growth,-0.397953216,598.5,1522.5,6765.5,32470.5,-0.080034415,100
0.55,modUnequal,0.5,Peak,-0.379705506,1171.5,2916,7265.5,34518,-0.073920159,100
0.55,highUnequal,0.5,Highest Growth,-0.665384615,455,1522.5,5418,32470.5,-0.108336383,100
0.55,highUnequal,0.5,Peak,-0.647684924,885.5,2916,5945.5,34518,-0.117207171,100
0.55,equal,0.5,Highest Growth,-0.008353394,1038.5,1428,10933.5,33691,0.003761524,100
0.55,equal,0.5,Peak,-0.0037526,2083,2835.5,11206,35504.5,0.02035714,100
0.55,modUnequal,0.5,Highest Growth,-0.368572657,581.5,1428,6913.5,33691,-0.053921112,100
0.55,modUnequal,0.5,Peak,-0.359218037,1168,2835.5,7354,35504.5,-0.052836776,100
0.55,highUnequal,0.5,Highest Growth,-0.696987952,415,1428,5695,33691,-0.131647596,100
0.55,highUnequal,0.5,Peak,-0.621010387,882.5,2835.5,6221.5,35504.5,-0.113023655,100
0.55,equal,0.5,Highest Growth,0.026254347,1006.5,1279.5,10614.5,32664.5,0.036904906,100
0.55,equal,0.5,Peak,0.011972387,2112.5,2776,11084.5,34763,0.030992686,100
0.55,modUnequal,0.5,Highest Growth,-0.318468468,555,1279.5,6756,32664.5,-0.026827103,100
0.55,modUnequal,0.5,Peak,-0.332522903,1182.5,2776,7311.5,34763,-0.0437505,100
0.55,highUnequal,0.5,Highest Growth,-0.539559165,431,1279.5,5402,32664.5,-0.040954884,100
0.55,highUnequal,0.5,Peak,-0.581586771,897,2776,5963,34763,-0.080853371,100
0.55,equal,0.5,Highest Growth,0.000204197,1183.5,1597,10486.5,32240,0.011093329,100
0.55,equal,0.5,Peak,-0.008757597,2111.5,2906,10831.5,34101,0.012854499,100
0.55,modUnequal,0.5,Highest Growth,-0.351103587,664.5,1597,6706.5,32240,-0.049931874,100
0.55,modUnequal,0.5,Peak,-0.350550964,1210,2906,7163,34101,-0.054473173,100
0.55,highUnequal,0.5,Highest Growth,-0.645336077,486,1597,5346,32240,-0.094882134,100
0.55,highUnequal,0.5,Peak,-0.632309125,895,2906,5861,34101,-0.108055228,100
0.55,equal,0.5,Highest Growth,-0.002402402,1110,1506.5,10703,32689.5,0.005631358,100
0.55,equal,0.5,Peak,-0.003797775,2067,2814,11050,34491,0.01384575,100
0.55,modUnequal,0.5,Highest Growth,-0.382780542,603,1506.5,6848,32689.5,-0.073368159,100
0.55,modUnequal,0.5,Peak,-0.361418685,1156,2814,7316,34491,-0.066338097,100
0.55,highUnequal,0.5,Highest Growth,-0.574829932,490,1506.5,5580,32689.5,-0.074806224,100
0.55,highUnequal,0.5,Peak,-0.602749719,891,2814,6084,34491,-0.107095703,100
0.55,equal,0.5,Highest Growth,-0.001665756,915.5,1240.5,9978.5,30280.5,0.003480284,100
0.55,equal,0.5,Peak,0.00019349,2196.5,2964,10638.5,33260,0.018376438,100
0.55,modUnequal,0.5,Highest Growth,-0.436387996,466.5,1240.5,6251.5,30280.5,-0.098992377,100
0.55,modUnequal,0.5,Peak,-0.35620155,1225.5,2964,6971.5,33260,-0.056954369,100
0.55,highUnequal,0.5,Highest Growth,-0.692265193,362,1240.5,4966,30280.5,-0.111994249,100
0.55,highUnequal,0.5,Peak,-0.631554461,913.5,2964,5681.5,33260,-0.104256013,100
0.55,equal,0.7,Highest Growth,0.02287292,642.9,823.8,10301.9,32057.8,0.038223103,100
0.55,equal,0.7,Peak,0.003490991,1243.2,1665.3,10281.2,33429.3,0.03802771,100
0.55,modUnequal,0.7,Highest Growth,-0.350816565,342.9,823.8,6571.9,32057.8,-0.042506009,100
0.55,modUnequal,0.7,Peak,-0.344475454,698.7,1665.3,6850.7,33429.3,-0.038437957,100
0.55,highUnequal,0.7,Highest Growth,-0.552555677,273.9,823.8,5341.9,32057.8,-0.051177764,100
0.55,highUnequal,0.7,Peak,-0.607937869,524.7,1665.3,5696.7,33429.3,-0.09085081,100
0.55,equal,0.7,Highest Growth,-0.013147884,630.9,876.6,9850.9,31455.6,0.014870151,100
0.55,equal,0.7,Peak,-0.007338427,1256.4,1723.8,9911.4,32895.8,0.036616156,100
0.55,modUnequal,0.7,Highest Growth,-0.354293972,363.3,876.6,6207.3,31455.6,-0.026146757,100
0.55,modUnequal,0.7,Peak,-0.336584531,730.5,1723.8,6474.5,32895.8,-0.014443018,100
0.55,highUnequal,0.7,Highest Growth,-0.640705487,267.9,876.6,5129.9,31455.6,-0.083629314,100
0.55,highUnequal,0.7,Peak,-0.62181496,536.1,1723.8,5536.1,32895.8,-0.091133652,100
0.55,equal,0.7,Highest Growth,0.023806881,540.6,691.2,9531.6,29762.2,0.040523987,100
0.55,equal,0.7,Peak,0.005148555,1228.5,1639.5,9719.5,31899.5,0.04337291,100
0.55,modUnequal,0.7,Highest Growth,-0.308144126,303.9,691.2,6012.9,29762.2,-0.009506839,100
0.55,modUnequal,0.7,Peak,-0.332839135,698.1,1639.5,6432.1,31899.5,-0.02354657,100
0.55,highUnequal,0.7,Highest Growth,-0.674450952,204.9,691.2,4770.9,29762.2,-0.090750655,100
0.55,highUnequal,0.7,Peak,-0.637562189,502.5,1639.5,5238.5,31899.5,-0.085794717,100
0.55,equal,0.7,Highest Growth,0.006832695,548.1,728.7,9922.1,30978.7,0.024176742,100
0.55,equal,0.7,Peak,0.006791039,1214.1,1614.3,9972.1,32760.3,0.045267069,100
0.55,modUnequal,0.7,Highest Growth,-0.341463017,306.9,728.7,6256.9,30978.7,-0.029565471,100
0.55,modUnequal,0.7,Peak,-0.328163413,691.5,1614.3,6656.5,32760.3,-0.024340414,100
0.55,highUnequal,0.7,Highest Growth,-0.598791019,231.6,728.7,4989.6,30978.7,-0.056772169,100
0.55,highUnequal,0.7,Peak,-0.613228611,506.1,1614.3,5393.1,32760.3,-0.075095761,100
0.55,equal,0.7,Highest Growth,-0.026657584,550.5,787.2,10663.5,33197.2,-0.009331342,100
0.55,equal,0.7,Peak,-0.008945341,1245.9,1715.4,10624.9,34747.4,0.02899742,100
0.55,modUnequal,0.7,Highest Growth,-0.420315091,301.5,787.2,6880.5,33197.2,-0.091148318,100
0.55,modUnequal,0.7,Peak,-0.379056111,689.7,1715.4,7171.7,34747.4,-0.063339851,100
0.55,highUnequal,0.7,Highest Growth,-0.797741322,210.3,787.2,5624.3,33197.2,-0.184180429,100
0.55,highUnequal,0.7,Peak,-0.677143702,507.3,1715.4,6045.3,34747.4,-0.13829626,100
0.55,equal,0.7,Highest Growth,0.007743332,716.1,950.1,10134.1,31644.1,0.025098679,100
0.55,equal,0.7,Peak,0.003418308,1294.5,1734.3,10088.5,32928.3,0.039531856,100
0.55,modUnequal,0.7,Highest Growth,-0.395886752,374.4,950.1,6386.4,31644.1,-0.06214961,100
0.55,modUnequal,0.7,Peak,-0.376329331,699.6,1734.3,6637.6,32928.3,-0.049707871,100
0.55,highUnequal,0.7,Highest Growth,-0.656568833,286.2,950.1,5258.2,31644.1,-0.101625128,100
0.55,highUnequal,0.7,Peak,-0.624136009,538.2,1734.3,5545.2,32928.3,-0.092660781,100
0.55,equal,0.7,Highest Growth,-0.009168523,538.8,742.2,9963.8,30905.2,0.005893831,100
0.55,equal,0.7,Peak,0.003204827,1276.2,1710.6,10072.2,32826.6,0.038728926,100
0.55,modUnequal,0.7,Highest Growth,-0.36408358,303.9,742.2,6303.9,30905.2,-0.04815903,100
0.55,modUnequal,0.7,Peak,-0.342274559,719.7,1710.6,6684.7,32826.6,-0.034008494,100
0.55,highUnequal,0.7,Highest Growth,-0.656935123,223.5,742.2,5077.5,30905.2,-0.095584214,100
0.55,highUnequal,0.7,Peak,-0.628698449,528.6,1710.6,5551.6,32826.6,-0.097285035,100
0.55,equal,0.7,Highest Growth,0.013253524,588.9,771.6,9695.9,30629.6,0.035239426,100
0.55,equal,0.7,Peak,0.014558788,1247.7,1629.9,9806.7,32565.9,0.056621528,100
0.55,modUnequal,0.7,Highest Growth,-0.348261949,322.2,771.6,6139.2,30629.6,-0.029995471,100
0.55,modUnequal,0.7,Peak,-0.325588865,700.5,1629.9,6486.5,32565.9,-0.013447088,100
0.55,highUnequal,0.7,Highest Growth,-0.672164049,229.2,771.6,5030.2,30629.6,-0.102868101,100
0.55,highUnequal,0.7,Peak,-0.647575758,495,1629.9,5475,32565.9,-0.103575421,100
0.55,equal,0.7,Highest Growth,-0.000707492,431.1,582.9,9157.1,28265.9,0.011962621,100
0.55,equal,0.7,Peak,-0.005456659,1247.1,1704,9499.1,31223,0.034303716,100
0.55,modUnequal,0.7,Highest Growth,-0.354554865,241.5,582.9,5688.5,28265.9,-0.035748943,100
0.55,modUnequal,0.7,Peak,-0.35430473,706.2,1704,6227.2,31223,-0.031238165,100
0.55,highUnequal,0.7,Highest Growth,-0.598004315,185.4,582.9,4427.4,28265.9,-0.042459215,100
0.55,highUnequal,0.7,Peak,-0.569565608,557.1,1704,5082.1,31223,-0.047857449,100
0.55,equal,0.7,Highest Growth,0.002491742,696.3,934.8,10421.3,32794.8,0.023381956,100
0.55,equal,0.7,Peak,0.003091081,1271.4,1704.6,10368.4,34055.6,0.041808944,100
0.55,modUnequal,0.7,Highest Growth,-0.342270531,393.3,934.8,6704.3,32794.8,-0.035895873,100
0.55,modUnequal,0.7,Peak,-0.329744751,728.7,1704.6,6900.7,34055.6,-0.023999983,100
0.55,highUnequal,0.7,Highest Growth,-0.683915575,274.8,934.8,5456.8,32794.8,-0.116024233,100
0.55,highUnequal,0.7,Peak,-0.636009174,523.2,1704.6,5718.2,34055.6,-0.09704815,100
0.55,equal,0.7,Highest Growth,0.006396033,594.9,791.7,10678.9,33382.7,0.024282272,100
0.55,equal,0.7,Peak,0.00114806,1263,1700.7,10538,34729.7,0.041415842,100
0.55,modUnequal,0.7,Highest Growth,-0.318939394,343.2,791.7,6869.2,33382.7,-0.024676867,100
0.55,modUnequal,0.7,Peak,-0.339334447,718.2,1700.7,7123.2,34729.7,-0.035686931,100
0.55,highUnequal,0.7,Highest Growth,-0.612399356,248.4,791.7,5589.4,33382.7,-0.083645418,100
0.55,highUnequal,0.7,Peak,-0.637891,521.1,1700.7,6003.1,34729.7,-0.114132583,100
0.55,equal,0.7,Highest Growth,0.004239697,633.3,846.9,10305.3,32496.9,0.02592629,100
0.55,equal,0.7,Peak,0.000959781,1312.8,1768.5,10258.8,33891.5,0.042232819,100
0.55,modUnequal,0.7,Highest Growth,-0.395462713,333.9,846.9,6667.9,32496.9,-0.07043064,100
0.55,modUnequal,0.7,Peak,-0.36231914,725.7,1768.5,6885.7,33891.5,-0.045114047,100
0.55,highUnequal,0.7,Highest Growth,-0.631609195,261,846.9,5441,32496.9,-0.093285879,100
0.55,highUnequal,0.7,Peak,-0.617354699,552.3,1768.5,5854.3,33891.5,-0.103113431,100
0.55,equal,0.7,Highest Growth,-0.002803067,626.1,850.5,9275.1,29428.5,0.021864649,100
0.55,equal,0.7,Peak,-0.00213459,1304.7,1769.7,9402.7,31340.7,0.043057662,100
0.55,modUnequal,0.7,Highest Growth,-0.32970297,363.6,850.5,5768.6,29428.5,-0.00851415,100
0.55,modUnequal,0.7,Peak,-0.33905832,747.6,1769.7,6127.6,31340.7,-0.012819952,100
0.55,highUnequal,0.7,Highest Growth,-0.619004525,265.2,850.5,4663.2,29428.5,-0.058179,100
0.55,highUnequal,0.7,Peak,-0.629216978,546.6,1769.7,5122.6,31340.7,-0.07919018,100
0.55,equal,0.7,Highest Growth,0.014804869,558.6,729.3,9841.6,30923.3,0.034486481,100
0.55,equal,0.7,Peak,0.007809984,1242,1647.6,9955,32897.6,0.048572393,100
0.55,modUnequal,0.7,Highest Growth,-0.363587684,298.8,729.3,6226.8,30923.3,-0.041478703,100
0.55,modUnequal,0.7,Peak,-0.361465721,676.8,1647.6,6614.8,32897.6,-0.039490126,100
0.55,highUnequal,0.7,Highest Growth,-0.605121528,230.4,729.3,5014.4,30923.3,-0.063282999,100
0.55,highUnequal,0.7,Peak,-0.603924391,521.1,1647.6,5476.1,32897.6,-0.076305447,100
0.55,equal,0.7,Highest Growth,0.005841482,582.9,776.7,9779.9,30426.7,0.021709135,100
0.55,equal,0.7,Peak,-0.002427028,1240.2,1683.3,9818.2,32314.3,0.037611146,100
0.55,modUnequal,0.7,Highest Growth,-0.307017544,342,776.7,6110,30426.7,-0.006051152,100
0.55,modUnequal,0.7,Peak,-0.353062831,698.7,1683.3,6444.7,32314.3,-0.030483782,100
0.55,highUnequal,0.7,Highest Growth,-0.673697917,230.4,776.7,4975.4,30426.7,-0.101244132,100
0.55,highUnequal,0.7,Peak,-0.643762183,513,1683.3,5408,32314.3,-0.099143805,100
0.55,equal,0.7,Highest Growth,-0.014920205,664.2,926.4,10460.2,33032.4,0.008328339,100
0.55,equal,0.7,Peak,-0.005318491,1293.6,1767,10320.6,34353,0.039628852,100
0.55,modUnequal,0.7,Highest Growth,-0.390272109,367.5,926.4,6801.5,33032.4,-0.069045914,100
0.55,modUnequal,0.7,Peak,-0.360959659,726.3,1767,7037.3,34353,-0.048381487,100
0.55,highUnequal,0.7,Highest Growth,-0.692434332,270.3,926.4,5499.3,33032.4,-0.120584256,100
0.55,highUnequal,0.7,Peak,-0.625799087,547.5,1767,5839.5,34353,-0.098609621,100
0.55,equal,0.7,Highest Growth,-0.004545455,640.2,873,10178.2,31639,0.011321039,100
0.55,equal,0.7,Peak,-0.004663015,1314.6,1793.1,10096.6,33178.1,0.034917406,100
0.55,modUnequal,0.7,Highest Growth,-0.388375108,347.1,873,6400.1,31639,-0.058772515,100
0.55,modUnequal,0.7,Peak,-0.360220957,737.7,1793.1,6627.7,33178.1,-0.035552347,100
0.55,highUnequal,0.7,Highest Growth,-0.672685185,259.2,873,5172.2,31639,-0.100594423,100
0.55,highUnequal,0.7,Peak,-0.655623381,540.6,1793.1,5588.6,33178.1,-0.108701688,100
0.55,equal,0.7,Highest Growth,0.004621849,392.7,524.7,9600.7,29774.7,0.019170267,100
0.55,equal,0.7,Peak,-0.000222646,1257.6,1698.6,9877.6,32626.6,0.041089552,100
0.55,modUnequal,0.7,Highest Growth,-0.343197279,220.5,524.7,6043.5,29774.7,-0.032996076,100
0.55,modUnequal,0.7,Peak,-0.335080422,721.2,1698.6,6549.2,32626.6,-0.022772097,100
0.55,highUnequal,0.7,Highest Growth,-0.60615942,165.6,524.7,4832.6,29774.7,-0.064261707,100
0.55,highUnequal,0.7,Peak,-0.60851561,534.9,1698.6,5463.9,32626.6,-0.081801362,100
0.55,equal,0.7,Highest Growth,-0.007724426,574.8,789.3,9983.8,31323.3,0.012323019,100
0.55,equal,0.7,Peak,0.00057311,1291.2,1740.9,9999.2,33179.9,0.043677857,100
0.55,modUnequal,0.7,Highest Growth,-0.365055762,322.8,789.3,6414.8,31323.3,-0.050753724,100
0.55,modUnequal,0.7,Peak,-0.350634658,724.8,1740.9,6800.8,33179.9,-0.042312169,100
0.55,highUnequal,0.7,Highest Growth,-0.680154639,232.8,789.3,5169.8,31323.3,-0.109584091,100
0.55,highUnequal,0.7,Peak,-0.645939566,529.5,1740.9,5683.5,33179.9,-0.113181853,100
0.55,equal,0.7,Highest Growth,-0.000311111,562.5,759.9,9570.5,29729.9,0.01511433,100
0.55,equal,0.7,Peak,-0.002497952,1221,1657.5,9684,31691.5,0.035189388,100
0.55,modUnequal,0.7,Highest Growth,-0.358748404,313.2,759.9,6031.2,29729.9,-0.042203812,100
0.55,modUnequal,0.7,Peak,-0.358457711,683.4,1657.5,6373.4,31691.5,-0.037760855,100
0.55,highUnequal,0.7,Highest Growth,-0.700317893,220.2,759.9,4743.2,29729.9,-0.1005758,100
0.55,highUnequal,0.7,Peak,-0.652794411,501,1657.5,5184,31691.5,-0.091175352,100
0.55,equal,0.7,Highest Growth,0.01703738,647.4,840.9,10477.4,33382.9,0.042337165,100
0.55,equal,0.7,Peak,0.006878622,1259.7,1674.6,10424.7,34596.6,0.049433982,100
0.55,modUnequal,0.7,Highest Growth,-0.349942922,350.4,840.9,6750.4,33382.9,-0.035272523,100
0.55,modUnequal,0.7,Peak,-0.34481703,702.3,1674.6,6993.3,34596.6,-0.031989034,100
0.55,highUnequal,0.7,Highest Growth,-0.62148318,261.6,840.9,5525.6,33382.9,-0.082061696,100
0.55,highUnequal,0.7,Peak,-0.633673073,515.1,1674.6,5882.1,34596.6,-0.102736979,100
0.55,equal,0.7,Highest Growth,-0.009048747,506.7,697.8,10516.7,32825.8,0.008791138,100
0.55,equal,0.7,Peak,-0.016763825,1235.1,1729.5,10517.1,34622.5,0.02464061,100
0.55,modUnequal,0.7,Highest Growth,-0.411481481,270,697.8,6732,32825.8,-0.080024554,100
0.55,modUnequal,0.7,Peak,-0.385870668,689.7,1729.5,7073.7,34622.5,-0.062328545,100
0.55,highUnequal,0.7,Highest Growth,-0.739161554,195.6,697.8,5405.6,32825.8,-0.137476774,100
0.55,highUnequal,0.7,Peak,-0.68842812,506.4,1729.5,5871.4,34622.5,-0.129175409,100
0.55,equal,0.7,Highest Growth,0.015729104,501.3,653.1,9893.3,30955.1,0.033618959,100
0.55,equal,0.7,Peak,0.00152361,1289.7,1735.2,9982.7,33166.2,0.045039053,100
0.55,modUnequal,0.7,Highest Growth,-0.342212518,274.8,653.1,6193.8,30955.1,-0.025540951,100
0.55,modUnequal,0.7,Peak,-0.344069193,728.4,1735.2,6688.4,33166.2,-0.030403458,100
0.55,highUnequal,0.7,Highest Growth,-0.604748062,206.4,653.1,4963.4,30955.1,-0.057360971,100
0.55,highUnequal,0.7,Peak,-0.621111111,540,1735.2,5517,33166.2,-0.084518878,100
0.55,equal,0.7,Highest Growth,-0.003799442,609.3,829.5,10117.3,31740.5,0.016053613,100
0.55,equal,0.7,Peak,0.00221331,1346.4,1808.7,10091.4,33503.7,0.045376516,100
0.55,modUnequal,0.7,Highest Growth,-0.375126828,335.1,829.5,6465.1,31740.5,-0.054200701,100
0.55,modUnequal,0.7,Peak,-0.360676348,743.7,1808.7,6847.7,33503.7,-0.047073615,100
0.55,highUnequal,0.7,Highest Growth,-0.651154918,251.1,829.5,5244.1,31740.5,-0.095791639,100
0.55,highUnequal,0.7,Peak,-0.627569258,559.5,1808.7,5702.5,33503.7,-0.100223291,100
0.55,equal,0.7,Highest Growth,0.002525782,572.1,768,10602.1,33160,0.020793148,100
0.55,equal,0.7,Peak,-0.009031199,1218,1677.3,10522,34629.3,0.031574597,100
0.55,modUnequal,0.7,Highest Growth,-0.383333333,307.2,768,6796.2,33160,-0.062379373,100
0.55,modUnequal,0.7,Peak,-0.38310982,671.1,1677.3,7024.1,34629.3,-0.05695625,100
0.55,highUnequal,0.7,Highest Growth,-0.693878463,223.8,768,5414.8,33160,-0.110362464,100
0.55,highUnequal,0.7,Peak,-0.67336749,497.7,1677.3,5786.7,34629.3,-0.113158134,100
0.55,equal,0.7,Highest Growth,-0.009893048,617.1,851.4,9676.1,30797.4,0.016524662,100
0.55,equal,0.7,Peak,-0.005529595,1284,1754.7,9760,32676.7,0.041822107,100
0.55,modUnequal,0.7,Highest Growth,-0.395397676,335.7,851.4,6168.7,30797.4,-0.057997881,100
0.55,modUnequal,0.7,Peak,-0.357984528,723.9,1754.7,6481.9,32676.7,-0.030826544,100
0.55,highUnequal,0.7,Highest Growth,-0.660328638,255.6,851.4,5045.6,30797.4,-0.095722124,100
0.55,highUnequal,0.7,Peak,-0.650263356,531.6,1754.7,5452.6,32676.7,-0.100786583,100
0.55,equal,0.7,Highest Growth,-0.011836409,438.9,608.1,10179.9,31603.1,0.003703738,100
0.55,equal,0.7,Peak,-0.007680492,1302,1787.7,10254,33757.7,0.032934641,100
0.55,modUnequal,0.7,Highest Growth,-0.366022544,248.4,608.1,6314.4,31603.1,-0.039131707,100
0.55,modUnequal,0.7,Peak,-0.375231962,722.1,1787.7,6750.1,33757.7,-0.045033572,100
0.55,highUnequal,0.7,Highest Growth,-0.68557423,178.5,608.1,5147.5,31603.1,-0.104885598,100
0.55,highUnequal,0.7,Peak,-0.650461681,541.5,1787.7,5751.5,33757.7,-0.112476592,100
0.55,equal,0.7,Highest Growth,0.013448391,599.7,785.4,9742.7,30608.4,0.033134888,100
0.55,equal,0.7,Peak,-0.000267209,1253.7,1693.5,9783.7,32405.5,0.042172999,100
0.55,modUnequal,0.7,Highest Growth,-0.325703704,337.5,785.4,6074.5,30608.4,-0.011835197,100
0.55,modUnequal,0.7,Peak,-0.348670062,706.8,1693.5,6434.8,32405.5,-0.02577869,100
0.55,highUnequal,0.7,Highest Growth,-0.614227642,246,785.4,4924,30608.4,-0.063609687,100
0.55,highUnequal,0.7,Peak,-0.637668593,519,1693.5,5400,32405.5,-0.093741995,100
0.55,equal,0.7,Highest Growth,0.026274196,563.1,715.8,10153.1,31569.8,0.041179185,100
0.55,equal,0.7,Peak,0.014078208,1263.3,1652.1,10207.3,33381.1,0.050110436,100
0.55,modUnequal,0.7,Highest Growth,-0.338239181,302.7,715.8,6427.7,31569.8,-0.031463137,100
0.55,modUnequal,0.7,Peak,-0.346384671,691.5,1652.1,6754.5,33381.1,-0.033433463,100
0.55,highUnequal,0.7,Highest Growth,-0.600638485,227.1,715.8,5167.1,31569.8,-0.065881075,100
0.55,highUnequal,0.7,Peak,-0.615389824,516.9,1652.1,5659.9,33381.1,-0.091923412,100
0.55,equal,0.7,Highest Growth,-0.009400306,456.9,629.7,9639.9,29865.7,0.005151259,100
0.55,equal,0.7,Peak,0.003278689,1244.4,1667.7,9782.4,32371.7,0.045016027,100
0.55,modUnequal,0.7,Highest Growth,-0.379972321,252.9,629.7,5996.9,29865.7,-0.049964275,100
0.55,modUnequal,0.7,Peak,-0.337505312,705.9,1667.7,6499.9,32371.7,-0.024368579,100
0.55,highUnequal,0.7,Highest Growth,-0.698877942,182.7,629.7,4761.7,29865.7,-0.099521233,100
0.55,highUnequal,0.7,Peak,-0.620479492,519.3,1667.7,5290.3,32371.7,-0.074824861,100
0.55,equal,0.7,Highest Growth,0.005437666,565.5,754.2,10231.5,31795.2,0.020827717,100
0.55,equal,0.7,Peak,-0.003035644,1276.5,1734.9,10232.5,33545.9,0.03543185,100
0.55,modUnequal,0.7,Highest Growth,-0.336116323,319.8,754.2,6485.8,31795.2,-0.031071977,100
0.55,modUnequal,0.7,Peak,-0.334561118,737.1,1734.9,6772.1,33545.9,-0.025151331,100
0.55,highUnequal,0.7,Highest Growth,-0.627120823,233.4,754.2,5202.4,31795.2,-0.078722578,100
0.55,highUnequal,0.7,Peak,-0.649011783,526.2,1734.9,5617.2,33545.9,-0.102082578,100
0.55,equal,0.7,Highest Growth,0.001777674,644.1,866.1,9577.1,30234.1,0.024056773,100
0.55,equal,0.7,Peak,0.00625879,1279.8,1703.7,9656.8,31877.7,0.046728737,100
0.55,modUnequal,0.7,Highest Growth,-0.342696321,364.2,866.1,6098.2,30234.1,-0.02965913,100
0.55,modUnequal,0.7,Peak,-0.351439458,708.6,1703.7,6389.6,31877.7,-0.031924125,100
0.55,highUnequal,0.7,Highest Growth,-0.615706903,270.9,866.1,4890.9,30234.1,-0.067190777,100
0.55,highUnequal,0.7,Peak,-0.620701357,530.4,1703.7,5337.4,31877.7,-0.087814343,100
0.55,equal,0.7,Highest Growth,-0.00544783,433.2,591.9,10629.2,32699.9,0.005865974,100
0.55,equal,0.7,Peak,0.000642758,1221.3,1646.4,10558.3,34723.4,0.040093547,100
0.55,modUnequal,0.7,Highest Growth,-0.307680492,260.4,591.9,6620.4,32699.9,-0.010198465,100
0.55,modUnequal,0.7,Peak,-0.334448256,699.6,1646.4,6942.6,34723.4,-0.020527984,100
0.55,highUnequal,0.7,Highest Growth,-0.609044552,186.3,591.9,5445.3,32699.9,-0.079067242,100
0.55,highUnequal,0.7,Peak,-0.606197075,519.6,1646.4,5913.6,34723.4,-0.08962979,100
0.55,equal,0.7,Highest Growth,0.002294337,725.7,974.7,10111.7,32633.7,0.033829107,100
0.55,equal,0.7,Peak,0.000811601,1299.9,1751.7,10062.9,33789.7,0.04868203,100
0.55,modUnequal,0.7,Highest Growth,-0.337063953,412.8,974.7,6547.8,32633.7,-0.023762156,100
0.55,modUnequal,0.7,Peak,-0.325431607,753,1751.7,6756,33789.7,-0.015125402,100
0.55,highUnequal,0.7,Highest Growth,-0.605555556,307.8,974.7,5402.8,32633.7,-0.074269901,100
0.55,highUnequal,0.7,Peak,-0.608365053,551.7,1751.7,5710.7,33789.7,-0.0866137,100
0.55,equal,0.7,Highest Growth,-0.004794991,582.9,795.3,10156.9,32263.3,0.020474139,100
0.55,equal,0.7,Peak,-0.007126633,1232.7,1690.5,10156.7,33844.5,0.038450289,100
0.55,modUnequal,0.7,Highest Growth,-0.358478195,327.9,795.3,6444.9,32263.3,-0.034503549,100
0.55,modUnequal,0.7,Peak,-0.358929084,696.6,1690.5,6753.6,33844.5,-0.034260379,100
0.55,highUnequal,0.7,Highest Growth,-0.734539768,223.8,795.3,5283.8,32263.3,-0.131980568,100
0.55,highUnequal,0.7,Peak,-0.681526104,498,1690.5,5680,33844.5,-0.119699798,100
