"","t","Label_testingDiff","Covid_propInfect.2.5.","Covid_propInfect.50.","Covid_propInfect.97.5.","NonCovid_cumSymptInfect_unvac.2.5.","NonCovid_cumSymptInfect_unvac.50.","NonCovid_cumSymptInfect_unvac.97.5.","NonCovid_cumSymptInfect_vac.2.5.","NonCovid_cumSymptInfect_vac.50.","NonCovid_cumSymptInfect_vac.97.5.","NonCovid_cumSymptInfect_tested_unvac.2.5.","NonCovid_cumSymptInfect_tested_unvac.50.","NonCovid_cumSymptInfect_tested_unvac.97.5.","NonCovid_cumSymptInfect_tested_vac.2.5.","NonCovid_cumSymptInfect_tested_vac.50.","NonCovid_cumSymptInfect_tested_vac.97.5.","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VE_symptOR_timeDep.2.5.","VE_symptOR_timeDep.50.","VE_symptOR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Intercept_coef_timeDep_VeOR.2.5.","Intercept_coef_timeDep_VeOR.50.","Intercept_coef_timeDep_VeOR.97.5.","VacStatus_coef_timeDep_VeOR.2.5.","VacStatus_coef_timeDep_VeOR.50.","VacStatus_coef_timeDep_VeOR.97.5.","TimeStep_coef_timeDep_VeOR.2.5.","TimeStep_coef_timeDep_VeOR.50.","TimeStep_coef_timeDep_VeOR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5.","Stats_sampleSizeNonCovid_unvac.2.5.","Stats_sampleSizeNonCovid_unvac.50.","Stats_sampleSizeNonCovid_unvac.97.5.","Stats_sampleSizeNonCovid_vac.2.5.","Stats_sampleSizeNonCovid_vac.50.","Stats_sampleSizeNonCovid_vac.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"11",30,"equal",0.00140225,0.003,0.0052005,11443.125,11621,11759.525,34661.225,34893.5,35074.75,5759,5884.5,6016.825,17500.95,17667,17868.25,0.28890371829572,0.548653363275805,0.706382146227772,0.372937029789897,0.560703124819459,0.66647678942634,0.286574074074074,0.550862068965517,0.704904473438956,0.376821217769494,0.558226495726496,0.662534445805266,0.286665666281361,0.550970438076515,0.705102132615259,0.296676729957516,0.548563579554782,0.708559721879129,-1.22115242838056,-0.800668582351163,-0.337889006210306,-7.75701705158522,-6.88440352247706,-6.31388331860152,-1.23309960859138,-0.79536201482954,-0.351945484153961,0.0639725323590301,0.0922938511033473,0.122431425109328,14.475,34.5,62,21.475,48.5,82,5759,5884.5,6016.825,17500.95,17667,17868.25,65,73,80.525,100
"12",31,"equal",0.00160475,0.00331,0.005805,11668.475,11844.5,11997.05,35378.3,35584.5,35774.25,5897,6029.5,6146,17930.875,18108.5,18290.525,0.294875298825274,0.544070642286488,0.704050868965561,0.385316235812121,0.554718000299878,0.650438438237819,0.292458333333333,0.54428754813864,0.699603174603175,0.388347808105872,0.555555555555556,0.64605026579112,0.292565876419925,0.544410479791689,0.699824229228532,0.296786748814465,0.540673335168211,0.704407407182384,-1.20339362332276,-0.786163602968517,-0.346111424083031,-7.70002498844706,-6.90488997256006,-6.25827840636358,-1.21877451778062,-0.777993703081116,-0.352275872443954,0.069344391190875,0.0942387167769641,0.120675460781638,17.425,40,68.05,24.475,54.5,91,5897,6029.5,6146,17930.875,18108.5,18290.525,65,73,80.525,100
"13",32,"equal",0.0017595,0.003615,0.00643825,11896.425,12073,12213.15,36066.7,36274,36468.25,6047.225,6170,6282.05,18384.075,18538.5,18714.525,0.318674827856391,0.549716337860245,0.70204089305648,0.392563879979302,0.551215715730933,0.648710238513891,0.315833333333333,0.548379629629629,0.699515503875969,0.396668548842462,0.553478157644824,0.642999270318814,0.316001032442031,0.548582236872158,0.699670135488903,0.322802311911491,0.546340458997423,0.701557591362873,-1.20308863609773,-0.795362210620683,-0.380094516538877,-7.7867239515788,-6.88661409087339,-6.20259130683548,-1.20938746383001,-0.790408372155468,-0.389831388445736,0.0686009827501122,0.0947203734920105,0.120252493188667,20.425,44.5,74.05,27.95,60,101.05,6047.225,6170,6282.05,18384.075,18538.5,18714.525,65,73,80.525,100
"14",33,"equal",0.001878,0.003985,0.00715575,12116.9,12298,12443.2,36724.9,36957.5,37144.725,6183.375,6317.5,6422.575,18794.425,18968,19139.25,0.302752046139574,0.545476110107066,0.708501777942736,0.394224065388142,0.551779451756808,0.644587538203468,0.298511904761905,0.541666666666667,0.705208333333333,0.396428571428572,0.549702118270079,0.644104308390023,0.29857542541312,0.542027610522737,0.705488866335983,0.304842224011032,0.546424759668673,0.71401778734415,-1.22250248477833,-0.780946383774837,-0.355127517549662,-7.83937154682503,-6.89441065745803,-6.22779089252778,-1.25192315499128,-0.790634040562616,-0.364500244700235,0.0710903948412114,0.0946411073030765,0.115003630168576,22.475,48,81.575,31.95,66,113.1,6183.375,6317.5,6422.575,18794.425,18968,19139.25,65,73,80.525,100
"15",34,"equal",0.00210225,0.004385,0.0079515,12328.9,12516,12652.775,37408.175,37620.5,37806.025,6311.95,6455.5,6582.675,19220.225,19401,19553.15,0.32606016868806,0.545436462205016,0.704427980539532,0.390892640061981,0.555689929009965,0.645635453938906,0.331555944055944,0.545454545454545,0.700663997966704,0.395361635220126,0.554302536231884,0.645715497737557,0.331709862171666,0.545673257051043,0.700970140446916,0.328411593995881,0.544836469395644,0.705815828923627,-1.20778629382777,-0.788938645951556,-0.403323542015451,-7.75688633516684,-6.86262025999754,-6.25125826647211,-1.22420382653781,-0.787099161003265,-0.398518753957364,0.071265753296922,0.0943168572371817,0.119272219526897,25.475,53,90.625,34.95,73.5,127.575,6311.95,6455.5,6582.675,19220.225,19401,19553.15,65,73,80.525,100
"16",35,"equal",0.00236075,0.004875,0.00882675,12550.375,12722,12856.2,38063.375,38265.5,38462.05,6455,6592,6711.25,19628.025,19817,19978.625,0.355284729150066,0.55133918762605,0.691467749107877,0.409554349668005,0.549198891156547,0.635668635526034,0.353280141843972,0.549509803921568,0.689049394221808,0.413606853980417,0.546397167979902,0.636406765676568,0.353405375069,0.549887361593336,0.689255001619613,0.360220598634883,0.550768791568835,0.695616052757136,-1.16962357190747,-0.798257901741793,-0.436078774789538,-7.82859695424187,-6.8447923959337,-6.15849955282637,-1.18977959092178,-0.800218688791026,-0.446657075887101,0.0720687651146092,0.0949022749001479,0.116894466574247,28.475,60,100,37.9,81.5,138.525,6455,6592,6711.25,19628.025,19817,19978.625,65,73,80.525,100
"17",36,"equal",0.00262025,0.005375,0.0097355,12765.225,12925,13060.3,38711.675,38894.5,39100.675,6577.425,6732,6852.775,20040.325,20231.5,20390.8,0.348714942301131,0.558274724659791,0.683273548955919,0.430153720657326,0.551441986016071,0.644389229525192,0.357449494949495,0.554738562091504,0.678516433747412,0.428348096404052,0.551138484509145,0.64375811592492,0.357635239392082,0.555022635599127,0.678907617581469,0.344919875890819,0.558272079188861,0.688683585177022,-1.13606158524653,-0.809733472541834,-0.442640510247451,-7.74468071341933,-6.81541462093478,-6.21815661299324,-1.16708169834792,-0.817062066222978,-0.42312077311317,0.0720915005802839,0.0945420428471,0.115464536660427,30.475,66.5,117.575,43.425,88.5,154.625,6577.425,6732,6852.775,20040.325,20231.5,20390.8,65,73,80.525,100
"18",37,"equal",0.0028455,0.00593,0.01076125,12952.375,13129.5,13260.2,39324.125,39521,39725.875,6726.75,6866.5,6986.875,20452.425,20636,20793.85,0.362882413951618,0.561277624787278,0.681028401365527,0.416015004738513,0.552567438529134,0.649067281157887,0.361990740740741,0.557741091987667,0.680872584541063,0.420162418790605,0.55136231884058,0.648550836550836,0.362161998740823,0.558337044605327,0.681173931997638,0.361152308536373,0.562722021969258,0.679413609339443,-1.14310994508161,-0.817209380602236,-0.449672005949063,-7.7502986145318,-6.82793551089471,-6.19141365648649,-1.1377146333835,-0.827186318132929,-0.448106676796097,0.0714864217994403,0.0944049424296875,0.115124022676026,33,73,131.1,47.475,98,168.575,6726.75,6866.5,6986.875,20452.425,20636,20793.85,65,73,80.525,100
"19",38,"equal",0.00315925,0.006575,0.01190625,13148.275,13326.5,13454.825,39915.075,40136,40330.05,6842.225,6995.5,7115.575,20852.475,21039,21208.775,0.392464073083596,0.557195148673604,0.671631291369023,0.435633204504818,0.550415422101838,0.63586733397081,0.391567460317461,0.556565656565657,0.666475906400296,0.438632036636822,0.548812247707275,0.630725029737922,0.391762639870663,0.55705712896957,0.666900211975027,0.398185993802843,0.557126649829973,0.67192083633034,-1.09951012002454,-0.814317250373845,-0.497402674204464,-7.72194682911289,-6.82606598803606,-6.20176340816305,-1.11456957609118,-0.81447245410285,-0.507807308025053,0.0752770332818249,0.0954013322348269,0.113911655614425,34.95,81,143.05,53.425,109,188.1,6842.225,6995.5,7115.575,20852.475,21039,21208.775,65,73,80.525,100
"20",39,"equal",0.00342075,0.007245,0.01318125,13335.425,13507,13647.675,40506.25,40721.5,40954.3,6970.275,7125.5,7235.825,21249.9,21430,21591.525,0.372702329243644,0.5639874404547,0.651166582408307,0.438825204287329,0.550348708386643,0.626335631224705,0.376059236947791,0.560033969166449,0.647910334346504,0.440977011494253,0.548433048433049,0.626861130108135,0.376344846198405,0.560508106473896,0.648266127896565,0.381788575712517,0.566045256553283,0.652655792899346,-1.04497457825868,-0.82214620833629,-0.472218277197835,-7.65264991059649,-6.80124433229448,-6.20884875324436,-1.05745708706383,-0.834815143739551,-0.480992374417694,0.0775402661478322,0.0944681337630499,0.112376867623052,38.95,89,161,62.95,120,206.15,6970.275,7125.5,7235.825,21249.9,21430,21591.525,65,73,80.525,100
