VE_susc,t,Label_testingDiff,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,NonCovid_cumPropSymptInfect_unvac.2.5.,NonCovid_cumPropSymptInfect_unvac.50.,NonCovid_cumPropSymptInfect_unvac.97.5.,NonCovid_cumPropSymptInfect_vac.2.5.,NonCovid_cumPropSymptInfect_vac.50.,NonCovid_cumPropSymptInfect_vac.97.5.,CumProp_falseNeg_vac.2.5.,CumProp_falseNeg_vac.50.,CumProp_falseNeg_vac.97.5.,CumProp_falseNeg_unvac.2.5.,CumProp_falseNeg_unvac.50.,CumProp_falseNeg_unvac.97.5.,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptOR.2.5.,VE_symptOR.50.,VE_symptOR.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR.2.5.,VE_symptRR.50.,VE_symptRR.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.,totalNum_sims
0.55,42,equal,0.004377,0.00962,0.017067,0.001885,0.00444,0.007572333,0.553757,0.56232,0.569479,0.562631333,0.565826667,0.568627333,0,0.000131761,0.000286237,0,0.000265728,0.000785265,0.431979394,0.549559392,0.645590497,0.435187267,0.552895735,0.615280918,0.431380586,0.544747332,0.650372024,0.43437513,0.549524558,0.609405456,65,73,80,100
0.55,43,equal,0.004878,0.01062,0.018802,0.002091333,0.004853333,0.008275333,0.560983,0.56926,0.576242,0.569783333,0.573066667,0.576043,0,0.000130626,0.000324479,0,0.000380793,0.000840554,0.434582935,0.54269539,0.645914039,0.440029572,0.549486157,0.60976744,0.430372807,0.541273585,0.649499935,0.4407734,0.546801861,0.606267427,65,73,80,100
0.55,44,equal,0.005518,0.01178,0.020882,0.002390333,0.005373333,0.009125667,0.567363,0.57608,0.584205,0.577059,0.580033333,0.582796333,2.01E-05,0.000169657,0.000363563,0,0.000380638,0.000894351,0.446994688,0.543566947,0.632465865,0.44902586,0.55160314,0.608679127,0.445220588,0.536961921,0.630002756,0.449890639,0.547981938,0.60487485,65,73,80,100
0.55,45,equal,0.006139,0.01316,0.022829,0.002643,0.0059,0.010080667,0.573294,0.58264,0.590573,0.583712333,0.586893333,0.589807667,4.18E-05,0.000168503,0.000399173,5.90E-05,0.000382117,0.000996966,0.439385692,0.547628474,0.629784989,0.472807415,0.552567848,0.60749646,0.437581699,0.543859649,0.629436306,0.473013874,0.548845918,0.601442611,65,73,80,100
0.55,46,equal,0.00664,0.0147,0.025064,0.00294,0.006553333,0.011069,0.57952,0.5887,0.596839,0.590238667,0.593793333,0.596984333,4.12E-05,0.000206062,0.000393115,5.80E-05,0.000486322,0.001096131,0.444001371,0.544225243,0.628056312,0.474849718,0.551686973,0.602980633,0.441013072,0.538018832,0.625276591,0.474274834,0.546833734,0.598543918,65,73,80,100
0.55,47,equal,0.00736,0.01626,0.027694,0.003265667,0.00722,0.012041333,0.584625,0.59486,0.602863,0.596577,0.60042,0.603815667,4.07E-05,0.000203322,0.000468789,0.000120376,0.000482742,0.001094665,0.451507279,0.547949136,0.618958927,0.481514227,0.554559712,0.60301453,0.450631907,0.546438329,0.615375631,0.480464995,0.54865397,0.597541134,65,73,80,100
0.55,48,equal,0.008076,0.01796,0.030525,0.003675333,0.007973333,0.013167333,0.590014,0.60072,0.609467,0.602724,0.606946667,0.610544333,4.01E-05,0.000239411,0.000479243,0.00011869,0.000479272,0.001185993,0.457668401,0.552371585,0.618941151,0.492303764,0.553759285,0.60595179,0.452742348,0.549678104,0.618773301,0.488915094,0.548649291,0.601584573,65,73,80,100
0.55,49,equal,0.008899,0.01998,0.033699,0.004044333,0.00882,0.014670667,0.594863,0.60624,0.615465,0.608486333,0.613346667,0.617094667,5.81E-05,0.000255657,0.000510349,0.000117521,0.000584112,0.001276421,0.458439939,0.556189198,0.619366858,0.496743769,0.552925821,0.603731392,0.457966509,0.549122807,0.613792641,0.493815327,0.549064682,0.595525984,65,73,80,100
0.55,50,equal,0.01008,0.02184,0.036671,0.004510333,0.009773333,0.016192,0.599847,0.61204,0.621229,0.614710333,0.619366667,0.623290333,7.77E-05,0.000272793,0.000545784,0.000115995,0.000633692,0.001271852,0.455767495,0.556998144,0.612012059,0.496286909,0.556949999,0.597990546,0.454594017,0.549919614,0.607780704,0.495983112,0.549328236,0.591823942,65,73,80,100
0.55,51,equal,0.011095,0.02386,0.040402,0.004912667,0.01068,0.017908,0.603639,0.61756,0.627164,0.620178,0.62534,0.629414667,9.50E-05,0.000307226,0.000612369,0.000114482,0.000685479,0.001534328,0.446624127,0.556527484,0.614162194,0.498629755,0.557278636,0.59345418,0.446153506,0.55095322,0.614317799,0.496575588,0.5503787,0.58786433,65,73,80,100
