,t,Label_testingDiff,VE_symptOR_observed.5.,VE_symptOR_observed.25.,VE_symptOR_observed.50.,VE_symptOR_observed.75.,VE_symptOR_observed.95.,VE_symptRR_observed.5.,VE_symptRR_observed.25.,VE_symptRR_observed.50.,VE_symptRR_observed.75.,VE_symptRR_observed.95.,VE_symptRR_timeDep.5.,VE_symptRR_timeDep.25.,VE_symptRR_timeDep.50.,VE_symptRR_timeDep.75.,VE_symptRR_timeDep.95.,VE_symptOR_timeDep.5.,VE_symptOR_timeDep.25.,VE_symptOR_timeDep.50.,VE_symptOR_timeDep.75.,VE_symptOR_timeDep.95.,VacStatus_coef_timeDep_VeRR.5.,VacStatus_coef_timeDep_VeRR.25.,VacStatus_coef_timeDep_VeRR.50.,VacStatus_coef_timeDep_VeRR.75.,VacStatus_coef_timeDep_VeRR.95.,Intercept_coef_timeDep_VeOR.5.,Intercept_coef_timeDep_VeOR.25.,Intercept_coef_timeDep_VeOR.50.,Intercept_coef_timeDep_VeOR.75.,Intercept_coef_timeDep_VeOR.95.,VacStatus_coef_timeDep_VeOR.5.,VacStatus_coef_timeDep_VeOR.25.,VacStatus_coef_timeDep_VeOR.50.,VacStatus_coef_timeDep_VeOR.75.,VacStatus_coef_timeDep_VeOR.95.,TimeStep_coef_timeDep_VeOR.5.,TimeStep_coef_timeDep_VeOR.25.,TimeStep_coef_timeDep_VeOR.50.,TimeStep_coef_timeDep_VeOR.75.,TimeStep_coef_timeDep_VeOR.95.,t_highChange.5.,t_highChange.25.,t_highChange.50.,t_highChange.75.,t_highChange.95.
17,36,equal,-0.013646965,0.063069554,0.107304133,0.144061062,0.207723506,-9.81E-05,0.063635273,0.105769561,0.134844013,0.203961556,-0.000285213,0.063906712,0.106370534,0.135300644,0.204633355,-0.012693725,0.06365492,0.111643743,0.147637306,0.205571629,-0.228953219,-0.145374751,-0.112464514,-0.066041067,0.000266157,-7.530913943,-7.299312578,-7.126795461,-6.8812539,-6.632489702,-0.230137972,-0.159743541,-0.118382589,-0.065771295,0.012605271,0.14839727,0.151738123,0.154978243,0.158335361,0.163663472,47,49,50,52,54
18,37,equal,-0.009501751,0.069875174,0.107818732,0.143781563,0.200051615,-0.008998026,0.06713288,0.107467654,0.136667195,0.190481824,-0.009109017,0.067594232,0.108014465,0.137756529,0.192120597,-0.023603968,0.061852851,0.10735801,0.1476741,0.207768524,-0.213344894,-0.148224004,-0.114305464,-0.069987271,0.009067754,-7.512295708,-7.279308136,-7.110499201,-6.882388463,-6.608554599,-0.232901733,-0.159787599,-0.113569844,-0.063848638,0.023329485,0.14851156,0.152280666,0.155130701,0.158418687,0.162303634,47,49,50,52,54
19,38,equal,-0.002807221,0.071196518,0.103980441,0.134933217,0.188298547,-0.00350719,0.069053075,0.097461686,0.135937791,0.188436433,-0.003096363,0.06956072,0.098124755,0.137124378,0.189703869,-0.010907485,0.068698937,0.10540998,0.138786511,0.211212669,-0.210355613,-0.147484722,-0.103279083,-0.072099272,0.003091568,-7.520676307,-7.267061036,-7.088586961,-6.867221715,-6.598185495,-0.237258714,-0.149415117,-0.111389745,-0.071172957,0.010839253,0.149177311,0.152414316,0.155485662,0.158606174,0.163343466,47,49,50,52,54
20,39,equal,0.006730284,0.076304468,0.10907221,0.139849904,0.185180534,0.011558806,0.067525719,0.106429193,0.133698707,0.182049562,0.0118114,0.068367411,0.107549294,0.135562761,0.183965803,-0.010138063,0.071664007,0.107057431,0.142831072,0.210190137,-0.20329903,-0.14567674,-0.113784,-0.070816812,-0.011887916,-7.479789872,-7.258562783,-7.07779024,-6.862469549,-6.60803766,-0.235963769,-0.154120265,-0.113233117,-0.074362333,0.010084984,0.150142836,0.152498517,0.155605061,0.159043019,0.163622183,47,49,50,52,54
21,40,equal,0.009759773,0.074894805,0.106566782,0.138465168,0.178252342,0.0059649,0.069182758,0.10523117,0.131800261,0.159171258,0.005516668,0.070210133,0.10583351,0.133492439,0.161659546,0.001151889,0.080441562,0.109021662,0.139796223,0.190399364,-0.17633102,-0.143284509,-0.111863646,-0.072799763,-0.005533745,-7.483660624,-7.223939801,-7.026942608,-6.864993109,-6.597973285,-0.211222218,-0.150586678,-0.115435262,-0.083861695,-0.001153351,0.151066257,0.153115393,0.155372014,0.158403776,0.162659693,47,49,50,52,54
22,41,equal,0.032139159,0.078905147,0.102096086,0.130419638,0.171439178,0.034350321,0.078886813,0.098092419,0.125329781,0.162771535,0.034699908,0.079818486,0.099542905,0.127035296,0.16554692,0.033657476,0.075559242,0.109332956,0.138773626,0.187864397,-0.180978768,-0.135860182,-0.104852793,-0.083184421,-0.03531626,-7.509144523,-7.187942583,-7.020390106,-6.828190604,-6.595520693,-0.208088056,-0.149398032,-0.115784792,-0.078566316,-0.034237043,0.15084362,0.153573537,0.15560269,0.158998877,0.161260218,47,49,50,52,54
23,42,equal,0.042044809,0.075119251,0.107212565,0.136675016,0.169020947,0.031816318,0.071186056,0.103082017,0.128837299,0.153229943,0.031700213,0.072024623,0.103894562,0.130681237,0.156176645,0.02755683,0.076294365,0.110753341,0.136464969,0.179909506,-0.16981211,-0.140045614,-0.109698531,-0.074750285,-0.032213546,-7.474377751,-7.174369708,-7.014639737,-6.830265143,-6.584826927,-0.198343228,-0.146720833,-0.117380635,-0.079361857,-0.027944153,0.15141469,0.153921533,0.155382781,0.159056911,0.161665663,47,49,50,52,54
24,43,equal,0.048011302,0.079549246,0.104959946,0.132943544,0.167381293,0.042943954,0.073715826,0.100028771,0.12326604,0.153004664,0.04376605,0.074894763,0.10116298,0.125346925,0.156282887,0.044016289,0.080739252,0.113868929,0.140263726,0.186216104,-0.169938022,-0.133927988,-0.106654077,-0.077847974,-0.044760099,-7.46881374,-7.159335452,-6.99921544,-6.794908108,-6.529889513,-0.206060995,-0.151129877,-0.120890543,-0.084185995,-0.045017578,0.151238628,0.154036237,0.156324292,0.158937193,0.161201033,47,49,50,52,54
25,44,equal,0.052085431,0.084313072,0.106392156,0.131689147,0.161712132,0.049436076,0.079820817,0.099879567,0.120337839,0.151164069,0.050249742,0.08118507,0.101888393,0.122921778,0.154747719,0.041443619,0.083416877,0.116866968,0.139564258,0.171929732,-0.168120306,-0.131159099,-0.107461694,-0.084671017,-0.051556305,-7.478956833,-7.141094167,-6.975758779,-6.763261634,-6.514022811,-0.18865727,-0.150316351,-0.124279453,-0.08710318,-0.042327872,0.151713206,0.154472519,0.156465757,0.158236076,0.160111958,47,49,50,52,54
26,45,equal,0.045724763,0.088031033,0.106455211,0.129475588,0.160819019,0.047247156,0.082077867,0.096670914,0.118669316,0.151755441,0.047881911,0.083294766,0.099155149,0.120560136,0.155384362,0.039333336,0.085999534,0.115300018,0.134018853,0.167040109,-0.168873692,-0.128470126,-0.104422268,-0.086969312,-0.049069543,-7.449617362,-7.107999286,-6.933681165,-6.731273112,-6.478543065,-0.182775959,-0.143892893,-0.122506902,-0.089925748,-0.04012868,0.151931612,0.154632294,0.155896908,0.157573824,0.160505079,47,49,50,52,54
27,46,equal,0.054816447,0.089592102,0.107563798,0.129436918,0.1606046,0.052805785,0.084199595,0.098084916,0.118733261,0.145310901,0.053605251,0.086411104,0.101095359,0.121547772,0.14925268,0.046225137,0.092783653,0.118516495,0.136044845,0.167856076,-0.161640125,-0.129593878,-0.106578482,-0.090374595,-0.055096276,-7.394502377,-7.107227483,-6.913365543,-6.726123838,-6.436561809,-0.183751637,-0.146234608,-0.126149318,-0.097374327,-0.04732801,0.151695312,0.15445414,0.156025569,0.157727684,0.159340066,47,49,50,52,54
28,47,equal,0.058772998,0.09042239,0.110959654,0.127571817,0.155033619,0.051063059,0.08173499,0.099961472,0.113738587,0.137076535,0.052251574,0.08383805,0.102854146,0.11705183,0.140969111,0.053787399,0.097661716,0.120254089,0.141247642,0.169023353,-0.151950451,-0.124488795,-0.108536829,-0.087562155,-0.053666191,-7.401591822,-7.069059032,-6.871334916,-6.677349285,-6.346149519,-0.185157837,-0.152274921,-0.128122308,-0.102765793,-0.055288144,0.151558275,0.15432261,0.15556495,0.157646199,0.159297019,47,49,50,52,54
29,48,equal,0.069689662,0.093661107,0.113915984,0.130333614,0.155428335,0.058265095,0.079428997,0.098927684,0.112697119,0.133638294,0.059451269,0.082937639,0.102443353,0.116619122,0.138538263,0.068620367,0.096880003,0.126999002,0.147055753,0.179565017,-0.149124716,-0.123999605,-0.108079044,-0.086579858,-0.061292575,-7.35304335,-7.05403449,-6.829571502,-6.678924295,-6.327852683,-0.197920613,-0.159061138,-0.135818627,-0.101900051,-0.071088331,0.15162498,0.154111598,0.155523854,0.157121117,0.158917225,47,49,50,52,54
30,49,equal,0.070607416,0.098534442,0.119804148,0.131384733,0.151473238,0.061102227,0.083781343,0.10093816,0.116193908,0.135333149,0.063192007,0.087381668,0.105364789,0.120970672,0.141239009,0.069778981,0.105088761,0.126865388,0.151310544,0.177026829,-0.152264637,-0.128937064,-0.11133923,-0.091437568,-0.065276947,-7.348563192,-7.038505867,-6.777446049,-6.609522564,-6.255388467,-0.194831743,-0.164061937,-0.135665582,-0.11103087,-0.072333473,0.151017107,0.153403777,0.154938739,0.155887832,0.158242624,47,49,50,52,54
31,50,equal,0.075232401,0.096525853,0.120459789,0.132356158,0.15378244,0.06010962,0.08193046,0.09985505,0.114148804,0.127764177,0.063007198,0.085886071,0.104644262,0.119438373,0.134816183,0.070888936,0.105727772,0.131539956,0.15057644,0.185791325,-0.144813405,-0.127195364,-0.110534167,-0.089800173,-0.065079686,-7.26800946,-6.972271376,-6.73640458,-6.549456683,-6.176780356,-0.205538634,-0.16319735,-0.141034136,-0.111745072,-0.073527081,0.151132422,0.152945208,0.154323776,0.155719499,0.157575103,47,49,50,52,54
32,51,equal,0.073198195,0.104695052,0.122188764,0.137108707,0.152650032,0.061232352,0.08948711,0.101280685,0.113095226,0.127577467,0.063898304,0.09309694,0.105625996,0.121267043,0.133779223,0.078398634,0.114435445,0.138506923,0.154615715,0.185798531,-0.143615477,-0.129274245,-0.111631263,-0.097719788,-0.06603255,-7.237414377,-6.925841824,-6.66822803,-6.473824257,-6.119738212,-0.205547438,-0.167964139,-0.149088656,-0.121530904,-0.081642508,0.149939841,0.151955469,0.153803132,0.154910993,0.156880858,47,49,50,52,54
33,52,equal,0.076508794,0.107734058,0.126632442,0.138703371,0.156840372,0.063477206,0.089199579,0.100155174,0.112407598,0.125622793,0.0665886,0.094954685,0.105488116,0.118514881,0.134154944,0.083943865,0.111919744,0.141773086,0.159806926,0.191649027,-0.144049518,-0.12614716,-0.111477131,-0.099770271,-0.068909271,-7.155718195,-6.857404002,-6.602001949,-6.40696736,-6.049154242,-0.212759284,-0.174123645,-0.152886793,-0.118693204,-0.087677837,0.148771202,0.151050285,0.152839351,0.153923637,0.155913902,47,49,50,52,54
34,53,equal,0.081710813,0.111214728,0.128589271,0.14091057,0.162650869,0.068885191,0.089141945,0.099221359,0.110591317,0.127657978,0.073091358,0.094620284,0.106107,0.118789654,0.134990202,0.092420815,0.123329135,0.146949719,0.167187036,0.19333667,-0.145014453,-0.126458937,-0.112169298,-0.099400907,-0.075900514,-7.141612156,-6.814822269,-6.544742178,-6.331814015,-5.928108682,-0.214852136,-0.182946399,-0.158937031,-0.131623655,-0.096974836,0.147398899,0.14998963,0.151869253,0.153155003,0.155023965,47,49,50,52,54
35,54,equal,0.089904009,0.119364143,0.13170462,0.146754336,0.163677479,0.072564294,0.089805883,0.101006981,0.112644896,0.123263217,0.0768494,0.097047858,0.107923193,0.119814509,0.13516719,0.097468911,0.136031885,0.152770459,0.169772654,0.204253076,-0.145219395,-0.127622647,-0.114203415,-0.102085735,-0.079962903,-7.07067231,-6.747613908,-6.444307896,-6.263222319,-5.840044111,-0.228474082,-0.186055829,-0.16578368,-0.146220543,-0.102552166,0.145422309,0.148525101,0.150723742,0.15225422,0.154449755,47,49,50,52,54
36,55,equal,0.097503074,0.122873738,0.134764361,0.152827148,0.168705404,0.077402169,0.08957028,0.101207984,0.111750213,0.126496039,0.082109321,0.098438658,0.109382876,0.120016008,0.137321142,0.10419513,0.139552284,0.159474939,0.179535991,0.208004354,-0.147712783,-0.127851664,-0.11584069,-0.103627196,-0.085676985,-6.998128116,-6.641805289,-6.356497505,-6.115684107,-5.692000271,-0.233199794,-0.197885244,-0.173728518,-0.150302728,-0.110032776,0.143282633,0.146334396,0.148904543,0.150851521,0.153755651,47,49,50,52,54
