,V1,Covid_infect_unvac,Covid_infect_vac,Covid_infect,Covid_propInfect_unvac,Covid_propInfect_vac,Covid_propInfect,Covid_cumInfect_unvac,Covid_cumInfect_vac,Covid_symptInfect_unvac,Covid_symptInfect_vac,Covid_symptInfect,Covid_propSymptInfect_unvac,Covid_propSymptInfect_vac,Covid_propSymptInfect,NonCovid_symptInfect_unvac,NonCovid_symptInfect_vac,NonCovid_symptInfect,NonCovid_propSymptInfect_unvac,NonCovid_propSymptInfect_vac,NonCovid_propSymptInfect,CoInfect_unvac,CoInfect_vac,Sympt_coInfect_unvac,Sympt_coInfect_vac,NeverInfect_unvac,NeverInfect_vac,Covid_cumSymptInfect_unvac,Covid_cumSymptInfect_vac,Covid_cumSymptInfect,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac,Covid_cumPropSymptInfect,NonCovid_cumSymptInfect_covidSusc_unvac,NonCovid_cumSymptInfect_covidSusc_vac,NonCovid_cumSymptInfect_unvac,NonCovid_cumSymptInfect_vac,NonCovid_cumSymptInfect,NonCovid_cumPropSymptInfect_unvac,NonCovid_cumPropSymptInfect_vac,NonCovid_cumPropSymptInfect,Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,Covid_cumSymptExpInfect_tested,Covid_cumPropSymptExpInfect_tested_unvac,Covid_cumPropSymptExpInfect_tested_vac,Covid_cumPropSymptExpInfect_tested,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,NonCovid_cumSymptInfect_tested,NonCovid_cumPropSymptInfect_tested_unvac,NonCovid_cumPropSymptInfect_tested_vac,NonCovid_cumPropSymptInfect_tested,EverTested_unvac,EverTested_vac,CumNum_falsePos_unvac,CumNum_falsePos_vac,CumProp_falsePos_unvac,CumProp_falsePos_vac,CumNum_falseNeg_unvac,CumNum_falseNeg_vac,CumProp_falseNeg_unvac,CumProp_falseNeg_vac,CumNum_misclass_unvac,CumNum_misclass_vac,CumProp_misclass_unvac,CumProp_misclass_vac,VE_symptRR,VE_symptOR,VE_symptSuscOR,VE_symptRR_observed,VE_symptOR_observed,Label_veSusc,Label_veInfect,Label_veJoint,t,TestedStarted_bin,Label_testingDiff,VE_symptRR_degUnder_highChange_trueVeff,VE_symptOR_degUnder_highChange_trueVeff,VE_symptRR_degUnder_highChange_targEst,VE_symptOR_degUnder_highChange_targEst,VE_symptRR_degUnder_peak_trueVeff,VE_symptOR_degUnder_peak_trueVeff,VE_symptRR_degUnder_peak_targEst,VE_symptOR_degUnder_peak_targEst,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,Covid_cumPropSymptInfect_final,t_highChange,t_peak,t_end,VE_susc,VE_infect,Covid_probTrans,NonCovid_propSympt,Epi_simNum,Seed_num,Avg_numContacts
50,50,9466,25310,34776,0.37864,0.337466667,0.34776,11439,30673,3585,9627,13212,0.1434,0.12836,0.13212,1244,3756,5000,0.04976,0.05008,0.05,461,1277,192,487,10260,33239,4872,13109,17981,0.19488,0.174786667,0.17981,3299,11080,4930,15487,20417,0.1972,0.206493333,0.20417,1921,5239,7160,0.07684,0.069853333,0.0716,2656,8099,10755,0.10624,0.107986667,0.10755,4577,13338,124,332,0.027091982,0.024891288,14,10,0.003058772,0.000749738,138,342,0.030150754,0.025641026,0.103106185,0.143471329,0.198866599,0.090924866,0.105629007,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.009075134,-0.005629007,0.012181319,0.037842322,8.84E-05,-0.053124657,0.00430395,0.034321244,0.17981,0.37729,0.57421,49,57,133,0.1,0.2,0.1,0.05,1,990980245,6.00488
501,48,9672,26050,35722,0.38688,0.347333333,0.35722,11724,31397,3615,9856,13471,0.1446,0.131413333,0.13471,1209,3791,5000,0.04836,0.050546667,0.05,472,1275,181,488,10180,32996,4950,13358,18308,0.198,0.178106667,0.18308,3092,10601,4712,15025,19737,0.18848,0.200333333,0.19737,2007,5457,7464,0.08028,0.07276,0.07464,2390,7772,10162,0.0956,0.103626667,0.10162,4397,13229,131,377,0.029793041,0.028497997,7,31,0.001591995,0.002343337,138,408,0.031385035,0.030841333,0.10047138,0.153694738,0.212901851,0.093672147,0.163874073,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,0.006327853,-0.063874073,0.006799233,-0.010179336,-0.009548536,-0.10928504,-0.000220584,-0.014388533,0.18308,0.38211,0.57333,47,55,1234,0.1,0.2,0.1,0.05,10,500026483,6.00474
961,55,9217,24637,33854,0.36868,0.328493333,0.33854,11042,29781,3495,9147,12642,0.1398,0.12196,0.12642,1214,3786,5000,0.04856,0.05048,0.05,465,1313,167,475,10177,33073,4662,12501,17163,0.18648,0.16668,0.17163,3780,12137,5561,16774,22335,0.22244,0.223653333,0.22335,1815,5079,6894,0.0726,0.06772,0.06894,2935,8956,11891,0.1174,0.119413333,0.11891,4750,14035,134,351,0.028210526,0.025008906,3,27,0.000631579,0.001923762,137,378,0.028842105,0.026932668,0.106177606,0.111026649,0.164872213,0.067217631,0.082944533,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,54,TRUE,equal,0.032782369,0.017055467,0.038959975,0.028082115,0.000786449,-0.044635954,0.005988569,-0.007664749,0.17163,0.37065,0.5746,54,62,1234,0.1,0.2,0.1,0.05,100,90014479,6.00472
1412,53,9225,24980,34205,0.369,0.333066667,0.34205,11112,30292,3470,9292,12762,0.1388,0.123893333,0.12762,1244,3756,5000,0.04976,0.05008,0.05,462,1203,156,469,10145,32993,4700,12710,17410,0.188,0.169466667,0.1741,3742,11706,5447,16320,21767,0.21788,0.2176,0.21767,1834,5093,6927,0.07336,0.067906667,0.06927,2911,8624,11535,0.11644,0.114986667,0.11535,4745,13717,108,359,0.022760801,0.026171903,11,16,0.00231823,0.001166436,119,375,0.025079031,0.027338339,0.09858156,0.097421647,0.135543875,0.074336605,0.06263701,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,0.025663395,0.03736299,0.024244955,0.034784637,-0.0018228,-0.028744559,0.011819515,0.042139062,0.1741,0.37264,0.57216,52,60,1234,0.1,0.2,0.1,0.05,11,432607740,6.00492
1862,50,10168,27341,37509,0.40672,0.364546667,0.37509,12460,33659,3890,10484,14374,0.1556,0.139786667,0.14374,1196,3804,5000,0.04784,0.05072,0.05,486,1464,184,543,9405,31099,5397,14590,19987,0.21588,0.194533333,0.19987,3132,10235,4924,15049,19973,0.19696,0.200653333,0.19973,2148,5909,8057,0.08592,0.078786667,0.08057,2685,7908,10593,0.1074,0.10544,0.10593,4833,13817,144,404,0.029795158,0.029239343,8,26,0.001655287,0.00188174,152,430,0.031450445,0.031121083,0.098882095,0.115468557,0.172749992,0.083022967,0.065977491,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.016977033,0.034022509,0.015859128,0.049491065,0.002044166,-0.018787409,-0.001494194,0.022502333,0.19987,0.37403,0.56932,49,56,124,0.1,0.2,0.1,0.05,12,611638146,6.0047
2313,48,10101,27222,37323,0.40404,0.36296,0.37323,12348,33249,3925,10465,14390,0.157,0.139533333,0.1439,1233,3767,5000,0.04932,0.050226667,0.05,496,1364,212,508,9611,31528,5405,14372,19777,0.2162,0.191626667,0.19777,3036,10218,4689,14833,19522,0.18756,0.197773333,0.19522,2180,5690,7870,0.0872,0.075866667,0.0787,2515,7796,10311,0.1006,0.103946667,0.10311,4695,13486,144,375,0.030670927,0.027806614,13,28,0.002768903,0.002076227,157,403,0.03343983,0.029882841,0.113660191,0.159432206,0.209944903,0.129969419,0.157980922,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,-0.029969419,-0.057980922,-0.016309228,0.001451284,-0.008075832,-0.078401091,-0.007043604,0.000522291,0.19777,0.37128,0.57178,47,54,119,0.1,0.2,0.1,0.05,13,470731545,6.0046
2772,54,10311,27714,38025,0.41244,0.36952,0.38025,12686,34028,3957,10741,14698,0.15828,0.143213333,0.14698,1254,3746,5000,0.05016,0.049946667,0.05,516,1431,201,518,9018,30177,5514,14891,20405,0.22056,0.198546667,0.20405,3295,10786,5175,15996,21171,0.207,0.21328,0.21171,2215,5998,8213,0.0886,0.079973333,0.08213,2907,8547,11454,0.11628,0.11396,0.11454,5122,14545,140,366,0.027333073,0.025163286,15,24,0.002928544,0.001650052,155,390,0.030261617,0.026813338,0.099806553,0.126312624,0.175003502,0.097366441,0.078990609,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,53,TRUE,equal,0.002633559,0.021009391,0.002440112,0.047322016,0.007818747,0.003104299,0.002138042,0.058055486,0.20405,0.37951,0.57386,53,60,1234,0.1,0.2,0.1,0.05,14,580034963,6.00452
3221,50,10798,28867,39665,0.43192,0.384893333,0.39665,13322,35788,4235,11385,15620,0.1694,0.1518,0.1562,1177,3823,5000,0.04708,0.050973333,0.05,511,1451,197,579,8821,29359,5879,15891,21770,0.23516,0.21188,0.2177,2855,9845,4710,14793,19503,0.1884,0.19724,0.19503,2380,6509,8889,0.0952,0.086786667,0.08889,2494,7859,10353,0.09976,0.104786667,0.10353,4874,14368,152,387,0.031185884,0.026934855,11,40,0.002256873,0.002783964,163,427,0.033442757,0.02971882,0.098996428,0.139378052,0.21614062,0.08837535,0.132106422,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.01162465,-0.032106422,0.010621078,0.00727163,-0.010389125,-0.077509032,-0.006583586,0.004394909,0.2177,0.37026,0.57402,49,55,1234,0.1,0.2,0.1,0.05,15,161189470,6.00472
3676,52,9950,26917,36867,0.398,0.358893333,0.36867,12152,32951,3738,10301,14039,0.14952,0.137346667,0.14039,1284,3716,5000,0.05136,0.049546667,0.05,508,1332,181,492,9438,31246,5158,14332,19490,0.20632,0.191093333,0.1949,3407,10796,5179,15506,20685,0.20716,0.206746667,0.20685,2137,5747,7884,0.08548,0.076626667,0.07884,2756,8175,10931,0.11024,0.109,0.10931,4893,13922,131,342,0.026772941,0.024565436,10,31,0.002043736,0.002226692,141,373,0.028816677,0.026792128,0.073801215,0.071949534,0.123130995,0.103571986,0.093374089,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,equal,-0.003571986,0.006625911,-0.029770771,-0.021424555,9.85E-05,-0.010899981,-0.005188249,0.020576219,0.1949,0.37088,0.57358,51,58,1234,0.1,0.2,0.1,0.05,16,700935704,6.00492
4125,48,9323,24992,34315,0.37292,0.333226667,0.34315,11294,30109,3524,9240,12764,0.14096,0.1232,0.12764,1248,3752,5000,0.04992,0.050026667,0.05,484,1191,168,452,10374,34015,4752,12612,17364,0.19008,0.16816,0.17364,3325,10873,4930,15017,19947,0.1972,0.200226667,0.19947,1898,5074,6972,0.07592,0.067653333,0.06972,2583,7970,10553,0.10332,0.106266667,0.10553,4481,13044,134,343,0.029904039,0.026295615,8,22,0.001785316,0.001686599,142,365,0.031689355,0.027982214,0.115319865,0.128692869,0.188385511,0.108886547,0.133596218,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,-0.008886547,-0.033596218,0.006433318,-0.004903349,0.009201152,-0.049980509,0.002957426,0.002238622,0.17364,0.37046,0.57104,47,55,112,0.1,0.2,0.1,0.05,17,994734943,6.005
4585,55,9257,25055,34312,0.37028,0.334066667,0.34312,11199,30283,3470,9208,12678,0.1388,0.122773333,0.12678,1276,3724,5000,0.05104,0.049653333,0.05,467,1266,185,461,10032,32691,4731,12574,17305,0.18924,0.167653333,0.17305,3766,12019,5525,16772,22297,0.221,0.223626667,0.22297,1903,5009,6912,0.07612,0.066786667,0.06912,2953,8984,11937,0.11812,0.119786667,0.11937,4856,13993,137,350,0.028212521,0.025012506,9,23,0.001853377,0.001643679,146,373,0.030065898,0.026656185,0.114070316,0.12447624,0.167215778,0.122613417,0.134821045,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,54,TRUE,equal,-0.022613417,-0.034821045,-0.008543101,-0.010344805,0.010775566,-0.022223548,-0.005115122,0.00721554,0.17305,0.37027,0.56979,54,62,131,0.1,0.2,0.1,0.05,18,446638010,6.00554
5031,48,9497,25467,34964,0.37988,0.33956,0.34964,11502,30964,3633,9477,13110,0.14532,0.12636,0.1311,1230,3770,5000,0.0492,0.050266667,0.05,455,1233,187,430,10226,33410,4920,13057,17977,0.1968,0.174093333,0.17977,3267,10621,4845,15048,19893,0.1938,0.20064,0.19893,1917,5310,7227,0.07668,0.0708,0.07227,2501,7833,10334,0.10004,0.10444,0.10334,4418,13143,130,366,0.029425079,0.027847523,8,28,0.001810774,0.002130412,138,394,0.031235853,0.029977935,0.115379404,0.145536924,0.183677011,0.076682316,0.115581184,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,0.023317684,-0.015581184,0.038697088,0.02995574,0.001286602,-0.084356017,0.006034569,-0.010663194,0.17977,0.37779,0.57207,47,55,1234,0.1,0.2,0.1,0.05,19,854441010,6.00476
5487,51,8964,24206,33170,0.35856,0.322746667,0.3317,10756,29124,3317,9088,12405,0.13268,0.121173333,0.12405,1289,3711,5000,0.05156,0.04948,0.05,456,1194,170,435,10556,34221,4462,12318,16780,0.17848,0.16424,0.1678,3685,11648,5305,15863,21168,0.2122,0.211506667,0.21168,1753,4906,6659,0.07012,0.065413333,0.06659,2702,8363,11065,0.10808,0.111506667,0.11065,4455,13269,120,302,0.026936027,0.022759816,6,35,0.001346801,0.002637727,126,337,0.028282828,0.025397543,0.07978485,0.076768322,0.126633028,0.067123027,0.095790895,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,0.032876973,0.004209105,0.012661823,-0.019022574,0.016997277,-0.012987912,0.015135854,0.020425986,0.1678,0.36563,0.57762,50,58,1234,0.1,0.2,0.1,0.05,2,852107447,6.00506
5939,50,10350,27515,37865,0.414,0.366866667,0.37865,12671,33707,3961,10568,14529,0.15844,0.140906667,0.14529,1228,3772,5000,0.04912,0.050293333,0.05,544,1421,207,538,9280,31088,5399,14613,20012,0.21596,0.19484,0.20012,3046,10198,4837,15010,19847,0.19348,0.200133333,0.19847,2176,5938,8114,0.08704,0.079173333,0.08114,2596,7951,10547,0.10384,0.106013333,0.10547,4772,13889,144,396,0.030176027,0.028511772,5,26,0.001047779,0.001871985,149,422,0.031223806,0.030383757,0.097795888,0.127789216,0.191572742,0.090379902,0.109027629,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.009620098,-0.009027629,0.007415986,0.018761587,0.013798242,-0.033822758,0.012407307,0.036590632,0.20012,0.37727,0.57172,49,56,127,0.1,0.2,0.1,0.05,20,726298960,6.00564
6391,49,8999,24176,33175,0.35996,0.322346667,0.33175,10813,29139,3318,8816,12134,0.13272,0.117546667,0.12134,1279,3721,5000,0.05116,0.049613333,0.05,456,1166,158,440,10769,34584,4518,12068,16586,0.18072,0.160906667,0.16586,3417,11268,4950,15482,20432,0.198,0.206426667,0.20432,1811,4769,6580,0.07244,0.063586667,0.0658,2677,8172,10849,0.10708,0.10896,0.10849,4488,12941,121,334,0.026960784,0.025809443,13,23,0.002896613,0.001777297,134,357,0.029857398,0.02758674,0.109635532,0.145981633,0.189995903,0.122216087,0.137361404,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,equal,-0.022216087,-0.037361404,-0.012580555,0.008620229,-0.037933618,-0.086623254,-0.032643792,-0.008381677,0.16586,0.36355,0.57107,48,56,1234,0.1,0.2,0.1,0.05,21,200522765,6.00544
6845,50,9814,26553,36367,0.39256,0.35404,0.36367,11855,32315,3757,10043,13800,0.15028,0.133906667,0.138,1181,3819,5000,0.04724,0.05092,0.05,473,1377,175,523,9900,31912,5052,13773,18825,0.20208,0.18364,0.18825,3242,10766,5007,15318,20325,0.20028,0.20424,0.20325,2000,5500,7500,0.08,0.073333333,0.075,2641,8092,10733,0.10564,0.107893333,0.10733,4641,13592,143,393,0.030812325,0.028914067,4,22,0.000861883,0.001618599,147,415,0.031674208,0.030532666,0.09125099,0.108870683,0.179036516,0.083333333,0.102477756,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.016666667,-0.002477756,0.007917656,0.006392927,-0.005881444,-0.071073937,-0.018169361,-0.033315031,0.18825,0.36341,0.57205,49,56,130,0.1,0.2,0.1,0.05,22,430443964,6.00486
7299,51,10028,27418,37446,0.40112,0.365573333,0.37446,12337,33688,3828,10343,14171,0.15312,0.137906667,0.14171,1236,3764,5000,0.04944,0.050186667,0.05,520,1345,206,512,9481,30750,5322,14409,19731,0.21288,0.19212,0.19731,3177,10557,4922,15402,20324,0.19688,0.20536,0.20324,2177,5856,8033,0.08708,0.07808,0.08033,2610,8176,10786,0.1044,0.109013333,0.10786,4787,14032,139,400,0.029036975,0.028506271,11,27,0.00229789,0.001924173,150,427,0.031334865,0.030430445,0.097519729,0.134786153,0.185228809,0.103353238,0.141298417,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.003353238,-0.041298417,-0.005833509,-0.006512264,0.00800451,-0.046049085,-0.000535325,0.010244007,0.19731,0.37286,0.5715,50,57,143,0.1,0.2,0.1,0.05,23,885179275,6.00486
7751,50,9900,26578,36478,0.396,0.354373333,0.36478,12079,32334,3712,9913,13625,0.14848,0.132173333,0.13625,1298,3702,5000,0.05192,0.04936,0.05,491,1312,187,479,9611,32076,5119,13600,18719,0.20476,0.181333333,0.18719,3307,10583,5106,15194,20300,0.20424,0.202586667,0.203,2125,5490,7615,0.085,0.0732,0.07615,2726,8070,10796,0.10904,0.1076,0.10796,4851,13560,151,374,0.031127603,0.027581121,8,19,0.001649145,0.00140118,159,393,0.032776747,0.028982301,0.114410367,0.107182967,0.169806789,0.138823529,0.127298491,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.038823529,-0.027298491,-0.024413163,-0.020115524,0.006846763,0.000304381,0.009527746,0.023999862,0.18719,0.36447,0.57233,49,56,1234,0.1,0.2,0.1,0.05,24,864227329,6.00468
8207,53,9664,26295,35959,0.38656,0.3506,0.35959,11758,32165,3750,9989,13739,0.15,0.133186667,0.13739,1266,3734,5000,0.05064,0.049786667,0.05,488,1330,188,497,9763,31564,5102,13771,18873,0.20408,0.183613333,0.18873,3476,11264,5236,16011,21247,0.20944,0.21348,0.21247,2041,5462,7503,0.08164,0.072826667,0.07503,2805,8537,11342,0.1122,0.113826667,0.11342,4846,13999,140,368,0.028889806,0.026287592,8,22,0.001650846,0.001571541,148,390,0.030540652,0.027859133,0.100287469,0.117314069,0.167063008,0.107953618,0.120701615,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,-0.007953618,-0.020701615,-0.007666149,-0.003387546,0.006934594,-0.030092416,0.010698582,0.016015457,0.18873,0.3626,0.57447,52,59,132,0.1,0.2,0.1,0.05,25,140264123,6.0049
8658,51,9497,25207,34704,0.37988,0.336093333,0.34704,11447,30628,3607,9497,13104,0.14428,0.126626667,0.13104,1226,3774,5000,0.04904,0.05032,0.05,455,1213,178,470,10118,33081,4889,13015,17904,0.19556,0.173533333,0.17904,3432,11284,5089,15688,20777,0.20356,0.209173333,0.20777,1904,5270,7174,0.07616,0.070266667,0.07174,2789,8277,11066,0.11156,0.11036,0.11066,4693,13547,114,341,0.024291498,0.025171625,14,26,0.002983166,0.001919244,128,367,0.027274664,0.027090869,0.112633804,0.136446984,0.190329462,0.077380952,0.06734885,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,0.022619048,0.03265115,0.035252851,0.069098134,0.012004793,-0.009560086,0.018134949,0.054788443,0.17904,0.37696,0.57267,50,58,120,0.1,0.2,0.1,0.05,26,45752564,6.00598
9110,50,9413,25650,35063,0.37652,0.342,0.35063,11424,31163,3509,9711,13220,0.14036,0.12948,0.1322,1199,3801,5000,0.04796,0.05068,0.05,457,1277,180,423,10212,32736,4812,13356,18168,0.19248,0.17808,0.18168,3360,11095,4977,15611,20588,0.19908,0.208146667,0.20588,1878,5438,7316,0.07512,0.072506667,0.07316,2602,8136,10738,0.10408,0.10848,0.10738,4480,13574,124,416,0.027678571,0.030646825,16,25,0.003571429,0.001841756,140,441,0.03125,0.032488581,0.074812968,0.115113216,0.159451529,0.034788782,0.073938205,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.065211218,0.026061795,0.040024185,0.041175011,0.028138334,-0.038104688,0.023740254,0.038200068,0.18168,0.37908,0.57237,49,57,122,0.1,0.2,0.1,0.05,27,854162732,6.00482
9564,51,8577,23855,32432,0.34308,0.318066667,0.32432,10331,28503,3140,8809,11949,0.1256,0.117453333,0.11949,1222,3778,5000,0.04888,0.050373333,0.05,419,1196,119,424,10972,34662,4234,11805,16039,0.16936,0.1574,0.16039,3696,11826,5261,16024,21285,0.21044,0.213653333,0.21285,1642,4570,6212,0.06568,0.060933333,0.06212,2784,8452,11236,0.11136,0.112693333,0.11236,4426,13022,118,306,0.026660642,0.023498695,6,16,0.001355626,0.00122869,124,322,0.028016268,0.024727384,0.0706188,0.084596638,0.128616714,0.07226959,0.08324605,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,0.02773041,0.01675395,-0.00165079,0.001350588,0.011885093,-0.032081005,-0.001960457,0.011956821,0.16039,0.3813,0.57319,50,59,1234,0.1,0.2,0.1,0.05,28,412604542,6.0044
10018,52,10807,29153,39960,0.43228,0.388706667,0.3996,13419,36226,4315,11572,15887,0.1726,0.154293333,0.15887,1252,3748,5000,0.05008,0.049973333,0.05,531,1455,215,522,8625,28737,5993,16109,22102,0.23972,0.214786667,0.22102,2955,10028,4855,15264,20119,0.1942,0.20352,0.20119,2441,6632,9073,0.09764,0.088426667,0.09073,2669,8195,10864,0.10676,0.109266667,0.10864,5110,14827,168,431,0.032876712,0.029068591,12,31,0.002348337,0.00209078,180,462,0.035225049,0.031159371,0.104010234,0.145041212,0.207922888,0.094360235,0.115136352,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,equal,0.005639765,-0.015136352,0.009649999,0.029904861,0.014916045,-0.038797225,0.014660121,0.026559064,0.22102,0.37115,0.5707,51,57,1234,0.1,0.2,0.1,0.05,29,64353258,6.00512
10467,48,8624,23441,32065,0.34496,0.312546667,0.32065,10300,28053,3247,8621,11868,0.12988,0.114946667,0.11868,1244,3756,5000,0.04976,0.05008,0.05,413,1165,155,426,11233,35551,4337,11662,15999,0.17348,0.155493333,0.15999,3465,11388,4960,15297,20257,0.1984,0.20396,0.20257,1703,4499,6202,0.06812,0.059986667,0.06202,2600,8043,10643,0.104,0.10724,0.10643,4303,12542,116,301,0.026957936,0.023999362,10,20,0.00232396,0.001594642,126,321,0.029281896,0.025594004,0.1036815,0.128115364,0.181837829,0.119397142,0.146002451,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,-0.019397142,-0.046002451,-0.015715642,-0.017887087,-0.006520947,-0.063108355,0.002837419,0.013287554,0.15999,0.37942,0.57331,47,56,130,0.1,0.2,0.1,0.05,3,837797086,6.00468
10923,51,10623,29012,39635,0.42492,0.386826667,0.39635,13141,35859,4088,11504,15592,0.16352,0.153386667,0.15592,1238,3762,5000,0.04952,0.05016,0.05,522,1460,194,572,8844,29158,5689,15939,21628,0.22756,0.21252,0.21628,3012,9976,4849,15017,19866,0.19396,0.200226667,0.19866,2352,6453,8805,0.09408,0.08604,0.08805,2546,8016,10562,0.10184,0.10688,0.10562,4898,14469,155,427,0.03164557,0.029511369,8,38,0.00163332,0.002626305,163,465,0.033278889,0.032137674,0.066092459,0.095321769,0.154090964,0.085459184,0.128584986,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,0.014540816,-0.028584986,-0.019366725,-0.033263217,0.021075118,-0.042624717,0.001136625,-0.011512927,0.21628,0.36677,0.57237,50,56,1234,0.1,0.2,0.1,0.05,30,626436466,6.0052
11376,51,9290,24722,34012,0.3716,0.329626667,0.34012,11233,29885,3488,9202,12690,0.13952,0.122693333,0.1269,1270,3730,5000,0.0508,0.049733333,0.05,484,1234,177,465,10358,33522,4783,12542,17325,0.19132,0.167226667,0.17325,3406,11586,5005,15983,20988,0.2002,0.213106667,0.20988,1955,5024,6979,0.0782,0.066986667,0.06979,2651,8451,11102,0.10604,0.11268,0.11102,4606,13475,132,345,0.028658272,0.025602968,12,22,0.002605297,0.001632653,144,367,0.031263569,0.027235622,0.125932121,0.178869473,0.229136407,0.143393009,0.193871093,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.043393009,-0.093871093,-0.017460889,-0.015001619,-0.028764507,-0.104857369,-0.019184064,0.002194086,0.17325,0.37043,0.5723,50,58,126,0.1,0.2,0.1,0.05,31,498610253,6.00512
11831,53,10413,28525,38938,0.41652,0.380333333,0.38938,12954,34973,4004,11051,15055,0.16016,0.147346667,0.15055,1183,3817,5000,0.04732,0.050893333,0.05,499,1441,183,573,8878,29649,5684,15218,20902,0.22736,0.202906667,0.20902,3165,10371,5147,15558,20705,0.20588,0.20744,0.20705,2330,6043,8373,0.0932,0.080573333,0.08373,2681,8287,10968,0.10724,0.110493333,0.10968,5011,14330,171,391,0.034124925,0.027285415,10,35,0.00199561,0.002442428,181,426,0.036120535,0.029727844,0.107553366,0.114264785,0.182935032,0.135479256,0.160933952,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,-0.035479256,-0.060933952,-0.02792589,-0.046669166,-0.011658105,-0.049252511,-0.018139142,-0.031339328,0.20902,0.38738,0.57413,52,59,137,0.1,0.2,0.1,0.05,32,151244578,6.0049
12281,50,9038,24313,33351,0.36152,0.324173333,0.33351,10897,29312,3372,9046,12418,0.13488,0.120613333,0.12418,1257,3743,5000,0.05028,0.049906667,0.05,437,1221,145,471,10520,34296,4576,12344,16920,0.18304,0.164586667,0.1692,3580,11385,5113,15637,20750,0.20452,0.208493333,0.2075,1816,4817,6633,0.07264,0.064226667,0.06633,2698,8222,10920,0.10792,0.109626667,0.1092,4514,13039,139,286,0.030793088,0.021934197,7,20,0.001550731,0.00153386,146,306,0.032343819,0.023468057,0.100815851,0.11795193,0.151757772,0.11582232,0.129587188,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.01582232,-0.029587188,-0.015006469,-0.011635258,-0.003429672,-0.04158905,0.002014222,0.020687475,0.1692,0.36472,0.57354,49,57,1234,0.1,0.2,0.1,0.05,33,138848139,6.00506
