,V1,Covid_infect_unvac,Covid_infect_vac,Covid_infect,Covid_propInfect_unvac,Covid_propInfect_vac,Covid_propInfect,Covid_cumInfect_unvac,Covid_cumInfect_vac,Covid_symptInfect_unvac,Covid_symptInfect_vac,Covid_symptInfect,Covid_propSymptInfect_unvac,Covid_propSymptInfect_vac,Covid_propSymptInfect,NonCovid_symptInfect_unvac,NonCovid_symptInfect_vac,NonCovid_symptInfect,NonCovid_propSymptInfect_unvac,NonCovid_propSymptInfect_vac,NonCovid_propSymptInfect,CoInfect_unvac,CoInfect_vac,Sympt_coInfect_unvac,Sympt_coInfect_vac,NeverInfect_unvac,NeverInfect_vac,Covid_cumSymptInfect_unvac,Covid_cumSymptInfect_vac,Covid_cumSymptInfect,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac,Covid_cumPropSymptInfect,NonCovid_cumSymptInfect_covidSusc_unvac,NonCovid_cumSymptInfect_covidSusc_vac,NonCovid_cumSymptInfect_unvac,NonCovid_cumSymptInfect_vac,NonCovid_cumSymptInfect,NonCovid_cumPropSymptInfect_unvac,NonCovid_cumPropSymptInfect_vac,NonCovid_cumPropSymptInfect,Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,Covid_cumSymptExpInfect_tested,Covid_cumPropSymptExpInfect_tested_unvac,Covid_cumPropSymptExpInfect_tested_vac,Covid_cumPropSymptExpInfect_tested,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,NonCovid_cumSymptInfect_tested,NonCovid_cumPropSymptInfect_tested_unvac,NonCovid_cumPropSymptInfect_tested_vac,NonCovid_cumPropSymptInfect_tested,EverTested_unvac,EverTested_vac,CumNum_falsePos_unvac,CumNum_falsePos_vac,CumProp_falsePos_unvac,CumProp_falsePos_vac,CumNum_falseNeg_unvac,CumNum_falseNeg_vac,CumProp_falseNeg_unvac,CumProp_falseNeg_vac,CumNum_misclass_unvac,CumNum_misclass_vac,CumProp_misclass_unvac,CumProp_misclass_vac,VE_symptRR,VE_symptOR,VE_symptSuscOR,VE_symptRR_observed,VE_symptOR_observed,Label_veSusc,Label_veInfect,Label_veJoint,t,TestedStarted_bin,Label_testingDiff,VE_symptRR_degUnder_highChange_trueVeff,VE_symptOR_degUnder_highChange_trueVeff,VE_symptRR_degUnder_highChange_targEst,VE_symptOR_degUnder_highChange_targEst,VE_symptRR_degUnder_peak_trueVeff,VE_symptOR_degUnder_peak_trueVeff,VE_symptRR_degUnder_peak_targEst,VE_symptOR_degUnder_peak_targEst,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,Covid_cumPropSymptInfect_final,t_highChange,t_peak,t_end,VE_susc,VE_infect,Covid_probTrans,NonCovid_propSympt,Epi_simNum,Seed_num,Avg_numContacts
53202,201,10145,27447,37592,0.4058,0.36596,0.37592,12345,33759,4020,10595,14615,0.1608,0.141266667,0.14615,2548,7452,10000,0.10192,0.09936,0.1,1033,2667,409,1029,6914,22569,5458,14709,20167,0.21832,0.19612,0.20167,5737,18666,8794,27313,36107,0.35176,0.364173333,0.36107,1286,6504,7790,0.05144,0.08672,0.0779,2978,14856,17834,0.11912,0.19808,0.17834,4264,21360,124,780,0.029080675,0.036516854,18,56,0.004221388,0.002621723,142,836,0.033302064,0.039138577,0.101685599,0.132305842,0.171708499,-0.685847589,-0.01382353,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,modUnequal,0.785847589,0.11382353,0.787533189,0.146129373,0.738899359,0.122871942,0.729414748,0.167067058,0.20167,0.37594,0.57225,49,56,135,0.1,0.2,0.1,0.1,24,63370609,6.00528
53659,205,10287,27544,37831,0.41148,0.367253333,0.37831,12610,33912,4041,10639,14680,0.16164,0.141853333,0.1468,2543,7457,10000,0.10172,0.099426667,0.1,1059,2724,419,1041,6390,21549,5542,14786,20328,0.22168,0.197146667,0.20328,6000,19529,9347,28645,37992,0.37388,0.381933333,0.37992,1318,6352,7670,0.05272,0.084693333,0.0767,3070,15822,18892,0.1228,0.21096,0.18892,4388,22174,143,788,0.032588879,0.035537116,23,71,0.005241568,0.003201948,166,859,0.037830447,0.038739064,0.110670035,0.129422184,0.180299075,-0.606474456,0.064869818,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,53,TRUE,modUnequal,0.706474456,0.035130182,0.717144491,0.064552366,0.751486401,0.107341046,0.750431507,0.159545929,0.20328,0.37913,0.57345,53,60,137,0.1,0.2,0.1,0.1,25,421514153,6.00464
54108,201,10036,27351,37387,0.40144,0.36468,0.37387,12296,33589,3957,10589,14546,0.15828,0.141186667,0.14546,2458,7542,10000,0.09832,0.10056,0.1,943,2665,386,1037,6979,22505,5472,14672,20144,0.21888,0.195626667,0.20144,5723,18898,8816,27492,36308,0.35264,0.36656,0.36308,1311,6208,7519,0.05244,0.082773333,0.07519,2949,15115,18064,0.11796,0.201533333,0.18064,4260,21323,146,751,0.0342723,0.035220185,16,70,0.003755869,0.00328284,162,821,0.038028169,0.038503025,0.106237817,0.140178153,0.188009158,-0.578438851,0.076119847,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,modUnequal,0.678438851,0.023880153,0.684676668,0.064058306,0.701752437,0.071666599,0.700708213,0.132172984,0.20144,0.37709,0.57429,49,56,121,0.1,0.2,0.1,0.1,26,581927772,6.00492
54559,199,9643,26112,35755,0.38572,0.34816,0.35755,11778,31848,3682,9966,13648,0.14728,0.13288,0.13648,2521,7479,10000,0.10084,0.09972,0.1,974,2623,377,1028,7437,24149,5051,13685,18736,0.20204,0.182466667,0.18736,5784,18994,8770,27009,35779,0.3508,0.36012,0.35779,1222,5979,7201,0.04888,0.07972,0.07201,2844,14626,17470,0.11376,0.195013333,0.1747,4066,20605,165,746,0.040580423,0.036204805,10,53,0.00245942,0.002572191,175,799,0.043039843,0.038776996,0.096878506,0.120251527,0.174951871,-0.630932897,0.048603892,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,modUnequal,0.730932897,0.051396108,0.727811403,0.071647635,0.705809627,0.063845958,0.706425248,0.127137269,0.18736,0.38446,0.57308,47,55,1234,0.1,0.2,0.1,0.1,27,222968233,6.00512
55016,203,9618,26213,35831,0.38472,0.349506667,0.35831,11744,31875,3645,9821,13466,0.1458,0.130946667,0.13466,2507,7493,10000,0.10028,0.099906667,0.1,952,2605,363,932,7067,23027,4993,13515,18508,0.19972,0.1802,0.18508,6187,20090,9328,28714,38042,0.37312,0.382853333,0.38042,1162,5980,7142,0.04648,0.079733333,0.07142,3087,15720,18807,0.12348,0.2096,0.18807,4249,21700,138,798,0.03247823,0.036774194,15,51,0.003530242,0.00235023,153,849,0.036008473,0.039124424,0.097736832,0.120675193,0.16640584,-0.715433161,-0.010599651,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,modUnequal,0.815433161,0.110599651,0.813169993,0.131274844,0.707398723,0.068905465,0.703953046,0.119222782,0.18508,0.36109,0.57236,51,58,124,0.1,0.2,0.1,0.1,28,858316394,6.00506
55470,204,9453,25866,35319,0.37812,0.34488,0.35319,11605,31337,3636,9690,13326,0.14544,0.1292,0.13326,2513,7487,10000,0.10052,0.099826667,0.1,935,2592,361,967,7077,23224,5039,13247,18286,0.20156,0.176626667,0.18286,6315,20432,9444,28978,38422,0.37776,0.386373333,0.38422,1211,5727,6938,0.04844,0.07636,0.06938,3194,15865,19059,0.12776,0.211533333,0.19059,4405,21592,140,701,0.031782066,0.032465728,21,52,0.00476731,0.002408299,161,753,0.036549376,0.034874027,0.123701793,0.14323691,0.187477019,-0.576383154,0.047910281,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,modUnequal,0.676383154,0.052089719,0.700084947,0.095326629,0.684878226,0.094779239,0.682742937,0.141388897,0.18286,0.37898,0.57231,52,60,1234,0.1,0.2,0.1,0.1,29,712726401,6.00464
55921,202,9347,25334,34681,0.37388,0.337786667,0.34681,11308,30541,3516,9590,13106,0.14064,0.127866667,0.13106,2474,7526,10000,0.09896,0.100346667,0.1,918,2556,331,991,7366,24057,4826,12992,17818,0.19304,0.173226667,0.17818,6323,20395,9335,28407,37742,0.3734,0.37876,0.37742,1130,5667,6797,0.0452,0.07556,0.06797,3161,15460,18621,0.12644,0.206133333,0.18621,4291,21127,155,694,0.036122116,0.032848961,13,44,0.003029597,0.002082643,168,738,0.039151713,0.034931604,0.102638486,0.115337445,0.165381193,-0.671681416,-0.025391647,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,modUnequal,0.771681416,0.125391647,0.774319902,0.140729092,0.717716487,0.108325597,0.708939707,0.144831247,0.17818,0.37744,0.57575,50,58,1234,0.1,0.2,0.1,0.1,3,75151744,6.00558
56374,202,9538,25440,34978,0.38152,0.3392,0.34978,11539,30869,3550,9629,13179,0.142,0.128386667,0.13179,2584,7416,10000,0.10336,0.09888,0.1,998,2490,394,957,7242,23936,4842,13195,18037,0.19368,0.175933333,0.18037,6216,20188,9313,28228,37541,0.37252,0.376373333,0.37541,1115,5618,6733,0.0446,0.074906667,0.06733,3149,15278,18427,0.12596,0.203706667,0.18427,4264,20896,131,638,0.030722326,0.030532159,16,48,0.003752345,0.00229709,147,686,0.034474672,0.03282925,0.091628804,0.100928764,0.160922029,-0.679521674,-0.038515595,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,modUnequal,0.779521674,0.138515595,0.771150478,0.139444358,0.762568831,0.180795665,0.757437097,0.227366222,0.18037,0.37793,0.57151,50,58,1234,0.1,0.2,0.1,0.1,30,444683412,6.00516
56825,200,9140,24624,33764,0.3656,0.32832,0.33764,10946,29648,3438,9137,12575,0.13752,0.121826667,0.12575,2509,7491,10000,0.10036,0.09988,0.1,903,2424,345,922,7755,25037,4637,12414,17051,0.18548,0.16552,0.17051,6295,20309,9115,27999,37114,0.3646,0.37332,0.37114,1128,5423,6551,0.04512,0.072306667,0.06551,3095,15106,18201,0.1238,0.201413333,0.18201,4223,20529,136,661,0.032204594,0.032198354,10,55,0.002367985,0.002679137,146,716,0.034572579,0.03487749,0.107612681,0.128457043,0.170183932,-0.602541371,0.014987645,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,modUnequal,0.702541371,0.085012355,0.710154052,0.113469398,0.723433103,0.114748172,0.722683287,0.162769791,0.17051,0.36867,0.57324,48,56,1234,0.1,0.2,0.1,0.1,31,804580654,6.00534
57278,200,8723,23609,32332,0.34892,0.314786667,0.32332,10562,28381,3229,8701,11930,0.12916,0.116013333,0.1193,2517,7483,10000,0.10068,0.099773333,0.1,879,2330,307,823,8054,25687,4392,11765,16157,0.17568,0.156866667,0.16157,6380,20926,9144,28312,37456,0.36576,0.377493333,0.37456,1064,5011,6075,0.04256,0.066813333,0.06075,2949,15233,18182,0.11796,0.203106667,0.18182,4013,20244,121,613,0.030152006,0.030280577,13,44,0.003239472,0.002173484,134,657,0.033391478,0.03245406,0.107088646,0.134842319,0.183297175,-0.569862155,0.088257698,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,modUnequal,0.669862155,0.011742302,0.676950801,0.046584621,0.732696391,0.087036505,0.734356074,0.154102501,0.16157,0.37922,0.57165,48,57,1234,0.1,0.2,0.1,0.1,32,335412184,6.0046
