"","t","Label_testingDiff","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","Covid_propSymptInfect.2.5.","Covid_propSymptInfect.50.","Covid_propSymptInfect.97.5.","Covid_propSymptInfect_vac.2.5.","Covid_propSymptInfect_vac.50.","Covid_propSymptInfect_vac.97.5.","Covid_propSymptInfect_unvac.2.5.","Covid_propSymptInfect_unvac.50.","Covid_propSymptInfect_unvac.97.5.","Covid_cumPropSymptInfect.2.5.","Covid_cumPropSymptInfect.50.","Covid_cumPropSymptInfect.97.5.","Covid_cumPropSymptInfect_vac.2.5.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.97.5.","Covid_cumPropSymptInfect_unvac.2.5.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.97.5.","NonCovid_propSymptInfect.2.5.","NonCovid_propSymptInfect.50.","NonCovid_propSymptInfect.97.5.","NonCovid_propSymptInfect_vac.2.5.","NonCovid_propSymptInfect_vac.50.","NonCovid_propSymptInfect_vac.97.5.","NonCovid_propSymptInfect_unvac.2.5.","NonCovid_propSymptInfect_unvac.50.","NonCovid_propSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","Covid_cumSymptExpInfect_tested_unvac.2.5.","Covid_cumSymptExpInfect_tested_unvac.50.","Covid_cumSymptExpInfect_tested_unvac.97.5.","Covid_cumSymptExpInfect_tested_vac.2.5.","Covid_cumSymptExpInfect_tested_vac.50.","Covid_cumSymptExpInfect_tested_vac.97.5.","CumProp_falseNeg_vac.2.5.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.97.5.","CumProp_falseNeg_unvac.2.5.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.97.5.","NonCovid_cumSymptInfect_tested_unvac.2.5.","NonCovid_cumSymptInfect_tested_unvac.50.","NonCovid_cumSymptInfect_tested_unvac.97.5.","NonCovid_cumSymptInfect_tested_vac.2.5.","NonCovid_cumSymptInfect_tested_vac.50.","NonCovid_cumSymptInfect_tested_vac.97.5.","NonCovid_cumPropSymptInfect_tested_unvac.2.5.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.97.5.","NonCovid_cumPropSymptInfect_tested_vac.2.5.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.97.5.","CumProp_misclass_vac.2.5.","CumProp_misclass_vac.50.","CumProp_misclass_vac.97.5.","CumProp_misclass_unvac.2.5.","CumProp_misclass_unvac.50.","CumProp_misclass_unvac.97.5.","Covid_cumPropSymptExpInfect_tested_unvac.2.5.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.97.5.","Covid_cumPropSymptExpInfect_tested_vac.2.5.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.97.5.","Avg_numContacts.2.5.","Avg_numContacts.50.","Avg_numContacts.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"11",10,"equal",-3.36561702650313,-0.000206387223222585,0.673125829552037,-2.79326277393191,-0.0393823966930177,0.479776863794764,-3.33333333333333,0,0.666666666666667,-2.77916666666667,-0.0208333333333332,0.476190476190476,0.00012,0.00021,0.00039025,0.000106666666666667,0.00022,0.000427,4e-05,2e-04,4e-04,0.00016325,0.00026,0.00043675,0.00016,0.000266666666666667,0.000466666666666667,8e-05,0.00024,0.000427,0.152,0.152,0.152,0.150896666666667,0.15196,0.153129,0.148613,0.15212,0.15531,0.232584,0.23652,0.241509,0.234953,0.236773333333333,0.238765333333333,1,3,7,4,8,16,0,0,0.000131925832518392,0,0,0,2406.55,2489,2569.35,7340.25,7470.5,7593.675,0.096262,0.09956,0.102774,0.09787,0.0996066666666666,0.101249,0,0.000267201087881474,0.000672129131650943,0,0.000395961335484846,0.00107773708869621,4e-05,0.00012,0.00028,5.33333333333333e-05,0.000106666666666667,0.000213333333333333,6.0044865,6.00493,6.0054935,47,50,53,100
"12",11,"equal",-3.44399230573999,-0.0224709998812585,0.627090666371435,-3.26278022511321,-0.130272995379414,0.422320498818089,-3.41666666666667,0,0.622767857142857,-3.27083333333333,-0.133333333333333,0.428685897435898,0.00012375,0.00027,0.0004725,9.83333333333334e-05,0.00028,0.000528333333333333,4e-05,0.00024,0.000505,0.00018,0.00032,0.00053625,0.000173333333333333,0.00032,0.000608333333333333,8e-05,0.00032,0.00056,0.152,0.152,0.152,0.15078,0.15204,0.153236666666667,0.14829,0.15188,0.15566,0.24886,0.25364,0.257925,0.251686666666667,0.253286666666666,0.255546666666667,1,3.5,8.625,5.375,10,19,0,0,0.000124177784321721,0,0,0,2609.125,2684.5,2773.125,7931.875,8067.5,8206.75,0.104365,0.10738,0.110925,0.105758333333333,0.107566666666667,0.109423333333333,0,0.00024953222437041,0.000745705555115918,0,0.00036853054708757,0.00110801603157348,4e-05,0.00014,0.000345,7.16666666666667e-05,0.000133333333333333,0.000253333333333333,6.0044875,6.00493,6.005525,47,50,53,100
"13",12,"equal",-2.71111861775529,-0.113534095590375,0.597222817607827,-1.64128442438797,-0.0758175852351628,0.441308796492336,-2.7625,-0.122222222222222,0.6,-1.66736111111111,-0.0801282051282051,0.441493055555555,0.00016,0.00032,0.00052575,0.000146666666666667,0.00032,0.000567666666666667,8e-05,0.00032,0.000623,0.00023425,0.00038,0.00060575,0.000232333333333334,0.000386666666666667,0.000655333333333334,0.00016,0.00036,0.00064,0.152,0.152,0.152,0.150742666666667,0.15192,0.153305666666666,0.148083,0.15224,0.155772,0.263828,0.2684,0.273423,0.266298333333333,0.268053333333333,0.270295333333333,1,4,9.575,6,12,24.15,0,0,0.000115902323685872,0,0,0,2802.8,2886.5,2970.45,8531.8,8669.5,8771.575,0.112112,0.11546,0.118818,0.113757333333334,0.115593333333333,0.116954333333333,0,0.000344827700101632,0.000804747753576333,0,0.000342759221720984,0.00102007607294199,4e-05,0.00016,0.000383,8e-05,0.00016,0.000322,6.0044885,6.00493,6.005523,47,50,53,100
"14",13,"equal",-1.61596275558614,-0.0953755665875244,0.5681737419583,-1.1570987324911,-0.051366369533123,0.407266811905487,-1.60833333333333,-0.0833333333333333,0.565925925925926,-1.15595238095238,-0.0606060606060606,0.408234126984127,0.000188,0.00038,0.00064,0.000166,0.000386666666666667,0.000635333333333333,0.00012,0.00036,0.000742,0.0002845,0.00045,0.00073,0.000253333333333333,0.000453333333333333,0.000755333333333333,2e-04,0.00044,0.000808,0.152,0.152,0.152,0.150677333333333,0.151933333333333,0.153266,0.148202,0.1522,0.155968,0.276512,0.28168,0.285964,0.279362,0.281093333333333,0.282754666666667,2,5,11,8,15,27.2,0,0,0.000108306087929428,0,0,0,3005,3078,3163.75,9119.9,9249,9361.75,0.1202,0.12312,0.12655,0.121598666666667,0.12332,0.124823333333333,0,0.000328515111695138,0.000864080474575246,0,0.000325945241199478,0.00116163105164322,8e-05,2e-04,0.00044,0.000106666666666667,2e-04,0.000362666666666667,6.004489,6.00492,6.005522,47,50,53,100
"15",14,"equal",-1.8220190983697,-0.00245775729646702,0.530648877711249,-1.0282429262644,-0.0447778952009685,0.450113688333653,-1.83333333333333,0,0.527972027972028,-1.04791666666666,-0.0512820512820513,0.454035087719298,0.00024,0.00045,0.000774,0.000212,0.000453333333333333,0.000754,2e-04,0.00044,0.000844,0.0003345,0.00054,0.000891,0.000293333333333333,0.00056,0.000921333333333333,0.00024,0.00052,0.000946,0.152,0.152,0.152,0.150752,0.151946666666667,0.152967333333333,0.149098,0.15216,0.155744,0.288192,0.29316,0.29715,0.29059,0.292586666666667,0.294226,3,6,13,9,19,34,0,0,0.000102203967909298,0,0,0.000166062801932366,3182.7,3270,3352.75,9666.2,9820,9934.1,0.127308,0.1308,0.13411,0.128882666666667,0.130933333333333,0.132454666666667,4.5722414143467e-05,0.000406297613001524,0.000913061587160549,0,0.000310173697270471,0.00154004659373931,0.00012,0.00024,0.00052,0.00012,0.000253333333333333,0.000453333333333333,6.004489,6.00492,6.005522,47,50,53,100
"16",15,"equal",-1.5386003012298,-0.0136236451844157,0.492052247185783,-1.01408157386771,-0.0341100146710254,0.420862295113218,-1.57166666666667,0,0.495421245421245,-1.04242424242424,-0.0402576489533011,0.427696078431372,0.00027475,0.00054,0.00090525,0.000266666666666667,0.000533333333333333,0.000867333333333333,0.00024,0.00052,0.001,0.0003895,0.00065,0.00107525,0.000366333333333333,0.000653333333333333,0.00108133333333333,0.000299,0.00064,0.001122,0.152,0.152,0.152,0.150844333333333,0.151866666666666,0.15308,0.14876,0.1524,0.155467,0.299436,0.30398,0.308206,0.301379,0.303453333333333,0.305334666666667,3,7,15,11,22,40.525,0,0,9.7088800771036e-05,0,0,0.000289232647923292,3365.425,3449,3543.975,10222.425,10355.5,10471.725,0.134617,0.13796,0.141759,0.136299,0.138073333333333,0.139623,4.58317252026245e-05,0.000476873820988035,0.000967386327440675,0,0.000571104509108196,0.00163829938849139,0.00012,0.00028,6e-04,0.000146666666666667,0.000293333333333333,0.000540333333333333,6.0044895,6.00492,6.005521,47,50,53,100
"17",16,"equal",-1.15162050399526,-0.0096307812239116,0.500207270321732,-1.00031192009872,0.0112933449861871,0.414561961087033,-1.15763888888889,0,0.501452991452991,-1.00428240740741,0.0181372549019609,0.419871794871795,0.00034475,0.00065,0.00110725,0.000306,0.000626666666666667,0.00112833333333333,0.00028,0.00064,0.001101,0.00047425,0.00079,0.00133625,0.000419,0.000786666666666667,0.00139433333333333,0.000339,8e-04,0.001381,0.152,0.152,0.152,0.151019666666667,0.151926666666666,0.153089,0.148733,0.15222,0.154941,0.309579,0.31472,0.318985,0.312219,0.314226666666666,0.316007666666667,4,9,16.525,14,26.5,47.05,0,0,9.25037339912761e-05,0,0,0.000273676452800258,3547.9,3627.5,3719.925,10756.325,10882.5,11013.575,0.141916,0.1451,0.148797,0.143417666666667,0.1451,0.146847666666667,0.000182585501618732,0.000547945223759145,0.00101543063846401,0,0.00054937509620289,0.0016570121250654,0.00016,0.00036,0.000661,0.000186666666666667,0.000353333333333334,0.000627333333333333,6.0044895,6.00492,6.005521,47,50,53,100
"18",17,"equal",-1.15901423903193,-0.00237789019436129,0.479090950961789,-0.759235168949542,0.0333089794868495,0.361111793234867,-1.19458333333333,0,0.480196078431373,-0.766720779220779,0.0394327894327893,0.367752525252525,0.000429,0.000785,0.00133625,0.000398666666666667,8e-04,0.00139433333333333,0.00036,0.00076,0.00144,0.00057375,0.000955,0.00160575,0.000519333333333333,0.000953333333333334,0.00169666666666667,0.00048,0.00094,0.001602,0.152,0.152,0.152,0.150949666666667,0.151906666666667,0.153107333333333,0.148678,0.15228,0.155151,0.320516,0.326,0.329993,0.323506666666667,0.3254,0.327033666666667,5,10,20,17,31,53,0,0,0.00017495372274784,0,0,0.000262964421878955,3716.85,3802,3888.675,11275.475,11392,11526.25,0.148674,0.15208,0.155547,0.150339666666667,0.151893333333333,0.153683333333333,0.000175802625312611,0.000607559972916478,0.00110195762632608,0,0.000531067445565587,0.00185049816152805,2e-04,4e-04,8e-04,0.000226666666666667,0.000413333333333333,0.000706666666666667,6.0044895,6.00492,6.005521,47,50,53,100
"19",18,"equal",-0.982698339790691,-0.0156232414815477,0.408723459733446,-0.555734938430727,0.0383647784029256,0.336472601640133,-1.01477272727273,0,0.412268518518518,-0.562395833333333,0.0403252032520325,0.334471544715447,0.0005285,0.00094,0.00152675,0.000478666666666667,0.000933333333333333,0.00158866666666667,0.00044,0.00094,0.001724,0.00066475,0.00117,0.00186575,6e-04,0.00112666666666666,0.001985,0.000579,0.00112,0.00196,0.152,0.152,0.152,0.150972666666667,0.15196,0.153087,0.148739,0.15212,0.155082,0.331731,0.33708,0.3418,0.334822666666667,0.336893333333333,0.338534,5.475,13,24.05,21,37,63.05,0,0,0.000168318955903314,0,0,0.000251769194931709,3887.425,3966,4065.925,11759.2,11910.5,12026.15,0.155497,0.15864,0.162637,0.156789333333333,0.158806666666666,0.160348666666667,0.000208869580570172,0.000671479008038276,0.00134461275706449,0,0.00074571381383402,0.00188632179174262,0.000219,0.00052,0.000961999999999999,0.00028,0.000493333333333333,0.000840666666666666,6.0044895,6.00492,6.005521,47,50,53,100
"20",19,"equal",-0.784214795497705,0.0174685866152067,0.425839128231421,-0.491822351036613,0.0512515961733079,0.340333496921881,-0.792361111111111,0.0232371794871795,0.420333333333333,-0.487037037037037,0.0476190476190475,0.349087221095335,0.00063425,0.0011,0.0018225,0.000572666666666667,0.00106,0.001931,0.00056,0.00116,0.00196,0.00080475,0.001375,0.002243,0.000732,0.00133333333333334,0.00237366666666667,0.000678,0.0014,0.002362,0.152,0.152,0.152,0.150958666666667,0.15198,0.153235,0.148295,0.15206,0.155124,0.34284,0.3487,0.353301,0.346779,0.34848,0.350337333333333,6.475,16,27.05,24,44,72.575,0,0,0.000161407347753884,0,0,0.000241119446958402,4045.125,4136,4235.3,12274.425,12403.5,12538.575,0.161805,0.16544,0.169412,0.163659,0.16538,0.167181,0.000322929919847915,0.000729159304205837,0.00161326978590987,0,0.00072289156626506,0.00171884962749487,0.000259,0.00064,0.001082,0.00032,0.000586666666666667,0.000967666666666667,6.0044895,6.00492,6.005521,47,50,53,100
