"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"128609",1328,1328,812,2225,3037,0.03248,0.0296666666666667,0.03037,3957,10751,380,1026,1406,0.0152,0.01368,0.01406,3849,11351,15200,0.15396,0.151346666666667,0.152,111,352,48,166,353,1061,2408,6530,8938,0.09632,0.0870666666666667,0.08938,20687,63181,22211,67325,89536,0.88844,0.897666666666667,0.89536,604,3885,4489,0.02416,0.0518,0.04489,11336,49908,61244,0.45344,0.66544,0.61244,11940,53793,77,498,0.00644891122278057,0.00925771011098098,174,433,0.014572864321608,0.00804937445392523,251,931,0.0210217755443886,0.0173070845649062,0.0960686600221484,0.105359718132281,0.11209251372461,-1.14403973509934,-0.460978266235038,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",225,TRUE,"highUnequal",1.24403973509934,0.560978266235038,1.24010839512149,0.566337984367319,1.22233445566779,0.624937553828981,1.22037367135406,0.637067298700836,0.08938,0.12978,0.22641,225,252,0.1,0.2,0.03,79,528333207,6.0055
"129124",190,190,834,2269,3103,0.03336,0.0302533333333333,0.03103,3743,10162,361,1047,1408,0.01444,0.01396,0.01408,3808,11392,15200,0.15232,0.151893333333333,0.152,110,326,49,149,680,2058,2236,6185,8421,0.08944,0.0824666666666667,0.08421,20575,62772,22043,66627,88670,0.88172,0.88836,0.8867,1320,3675,4995,0.0528,0.049,0.04995,15779,47511,63290,0.63116,0.63348,0.6329,17099,51186,185,444,0.0108193461605942,0.00867424686437698,126,408,0.00736885197964793,0.00797092955104911,311,852,0.0181881981402421,0.0166451764154261,0.0779666070363746,0.0848582970373633,0.0933455811400022,0.0719696969696969,0.0753684314254498,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",189,TRUE,"equal",0.0280303030303031,0.0246315685745502,0.00599691006667769,0.00948986561191345,0.00627319970304366,0.00242301324468577,-0.00352548787342177,0.00288170276195787,0.08421,0.11177,0.22657,189,207,0.1,0.2,0.03,8,660572197,6.00494
"129675",741,741,834,2269,3103,0.03336,0.0302533333333333,0.03103,3743,10162,361,1047,1408,0.01444,0.01396,0.01408,3808,11392,15200,0.15232,0.151893333333333,0.152,110,326,49,149,680,2058,2236,6185,8421,0.08944,0.0824666666666667,0.08421,20575,62772,22043,66627,88670,0.88172,0.88836,0.8867,737,3675,4412,0.02948,0.049,0.04412,11645,47511,59156,0.4658,0.63348,0.59156,12382,51186,90,444,0.00726861573251494,0.00867424686437698,136,408,0.0109836859958004,0.00797092955104911,226,852,0.0182523017283153,0.0166451764154261,0.0779666070363746,0.0848582970373633,0.0933455811400022,-0.662143826322931,-0.222180012472724,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",189,TRUE,"modUnequal",0.762143826322931,0.322180012472724,0.740110433359305,0.307038309510087,0.74577013818672,0.344582883941509,0.735971450610255,0.345041573458782,0.08421,0.11177,0.22657,189,207,0.1,0.2,0.03,8,660572197,6.00494
"130226",1292,1292,834,2269,3103,0.03336,0.0302533333333333,0.03103,3743,10162,361,1047,1408,0.01444,0.01396,0.01408,3808,11392,15200,0.15232,0.151893333333333,0.152,110,326,49,149,680,2058,2236,6185,8421,0.08944,0.0824666666666667,0.08421,20575,62772,22043,66627,88670,0.88172,0.88836,0.8867,538,3675,4213,0.02152,0.049,0.04213,10160,47511,57671,0.4064,0.63348,0.57671,10698,51186,55,444,0.00514114787810806,0.00867424686437698,137,408,0.0128061319872873,0.00797092955104911,192,852,0.0179472798653954,0.0166451764154261,0.0779666070363746,0.0848582970373633,0.0933455811400022,-1.27695167286245,-0.460745658665311,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",189,TRUE,"highUnequal",1.37695167286245,0.560745658665311,1.35491827989883,0.545603955702674,1.39896421845574,0.636908795897082,1.38916553087928,0.637367485414354,0.08421,0.11177,0.22657,189,207,0.1,0.2,0.03,8,660572197,6.00494
"130781",194,194,524,1479,2003,0.02096,0.01972,0.02003,1850,5118,236,684,920,0.00944,0.00912,0.0092,3713,11487,15200,0.14852,0.15316,0.152,63,225,31,98,717,2077,1111,3086,4197,0.04444,0.0411466666666667,0.04197,22429,67799,23148,69790,92938,0.92592,0.930533333333333,0.92938,657,1729,2386,0.02628,0.0230533333333333,0.02386,16469,49551,66020,0.65876,0.66068,0.6602,17126,51280,83,221,0.0048464323251197,0.00430967238689548,63,158,0.00367861730701857,0.0030811232449298,146,379,0.00852504963213827,0.00739079563182527,0.0741074107410742,0.0786977365167382,0.0810995051038312,0.122780314561137,0.125329599836977,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",193,TRUE,"equal",-0.0227803145611366,-0.0253295998369774,-0.0486729038200624,-0.0466318633202393,-0.0202346041055718,-0.0298148155540287,-0.0290959447850944,-0.0265945743227455,0.04197,0.10822,0.22976,193,243,0.1,0.2,0.03,80,712369324,6.005
"131332",745,745,524,1479,2003,0.02096,0.01972,0.02003,1850,5118,236,684,920,0.00944,0.00912,0.0092,3713,11487,15200,0.14852,0.15316,0.152,63,225,31,98,717,2077,1111,3086,4197,0.04444,0.0411466666666667,0.04197,22429,67799,23148,69790,92938,0.92592,0.930533333333333,0.92938,343,1729,2072,0.01372,0.0230533333333333,0.02072,11951,49551,61502,0.47804,0.66068,0.61502,12294,51280,39,221,0.00317227916056613,0.00430967238689548,64,158,0.00520579144298032,0.0030811232449298,103,379,0.00837807060354645,0.00739079563182527,0.0741074107410742,0.0786977365167382,0.0810995051038312,-0.680272108843537,-0.215773564980875,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",193,TRUE,"modUnequal",0.780272108843537,0.315773564980875,0.754379519584611,0.294471301497613,0.77973124300112,0.39590912491937,0.770869902321597,0.399129366150653,0.04197,0.10822,0.22976,193,243,0.1,0.2,0.03,80,712369324,6.005
"131883",1296,1296,524,1479,2003,0.02096,0.01972,0.02003,1850,5118,236,684,920,0.00944,0.00912,0.0092,3713,11487,15200,0.14852,0.15316,0.152,63,225,31,98,717,2077,1111,3086,4197,0.04444,0.0411466666666667,0.04197,22429,67799,23148,69790,92938,0.92592,0.930533333333333,0.92938,280,1729,2009,0.0112,0.0230533333333333,0.02009,10428,49551,59979,0.41712,0.66068,0.59979,10708,51280,25,221,0.00233470302577512,0.00430967238689548,50,158,0.00466940605155024,0.0030811232449298,75,379,0.00700410907732536,0.00739079563182527,0.0741074107410742,0.0786977365167382,0.0810995051038312,-1.05833333333333,-0.299527759278319,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",193,TRUE,"highUnequal",1.15833333333333,0.399527759278319,1.13244074407441,0.378225495795057,1.10803212851406,0.505634373916332,1.09917078783453,0.508854615147615,0.04197,0.10822,0.22976,193,243,0.1,0.2,0.03,80,712369324,6.005
"132483",243,243,885,2381,3266,0.0354,0.0317466666666667,0.03266,4265,11530,399,1066,1465,0.01596,0.0142133333333333,0.01465,3890,11310,15200,0.1556,0.1508,0.152,147,387,66,164,257,790,2521,6983,9504,0.10084,0.0931066666666667,0.09504,20477,62671,22197,67157,89354,0.88788,0.895426666666667,0.89354,1473,4220,5693,0.05892,0.0562666666666667,0.05693,16949,50989,67938,0.67796,0.679853333333333,0.67938,18422,55209,196,549,0.0106394528281403,0.00994403086453296,175,441,0.00949951145369667,0.00798782807151008,371,990,0.0201389642818369,0.017931858936043,0.0766891445193706,0.0844708194631895,0.0949576492631273,0.0450328128535868,0.0476923147182006,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",242,TRUE,"equal",0.0549671871464132,0.0523076852817994,0.0316563316657837,0.0367785047449889,0.0553303303303303,0.0500581707242416,0.0356806313702865,0.0404083024307789,0.09504,0.11446,0.22717,242,254,0.1,0.2,0.03,81,48023670,6.00518
"133034",794,794,885,2381,3266,0.0354,0.0317466666666667,0.03266,4265,11530,399,1066,1465,0.01596,0.0142133333333333,0.01465,3890,11310,15200,0.1556,0.1508,0.152,147,387,66,164,257,790,2521,6983,9504,0.10084,0.0931066666666667,0.09504,20477,62671,22197,67157,89354,0.88788,0.895426666666667,0.89354,841,4220,5061,0.03364,0.0562666666666667,0.05061,13212,50989,64201,0.52848,0.679853333333333,0.64201,14053,55209,86,549,0.00611968974596172,0.00994403086453296,184,441,0.0130932896890344,0.00798782807151008,270,990,0.0192129794349961,0.017931858936043,0.0766891445193706,0.0844708194631895,0.0949576492631273,-0.67261196987713,-0.300195101650355,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",242,TRUE,"modUnequal",0.77261196987713,0.400195101650355,0.749301114396501,0.384665921113544,0.794971694971695,0.435891219036668,0.775321996011651,0.426241350743206,0.09504,0.11446,0.22717,242,254,0.1,0.2,0.03,81,48023670,6.00518
"133585",1345,1345,885,2381,3266,0.0354,0.0317466666666667,0.03266,4265,11530,399,1066,1465,0.01596,0.0142133333333333,0.01465,3890,11310,15200,0.1556,0.1508,0.152,147,387,66,164,257,790,2521,6983,9504,0.10084,0.0931066666666667,0.09504,20477,62671,22197,67157,89354,0.88788,0.895426666666667,0.89354,663,4220,4883,0.02652,0.0562666666666667,0.04883,11947,50989,62936,0.47788,0.679853333333333,0.62936,12610,55209,78,549,0.00618556701030928,0.00994403086453296,177,441,0.0140364789849326,0.00798782807151008,255,990,0.0202220459952419,0.017931858936043,0.0766891445193706,0.0844708194631895,0.0949576492631273,-1.12166918049271,-0.491355882602899,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",242,TRUE,"highUnequal",1.22166918049271,0.591355882602899,1.19835832501208,0.575826702066088,1.23685978169605,0.636736153936645,1.21721008273601,0.627086285643182,0.09504,0.11446,0.22717,242,254,0.1,0.2,0.03,81,48023670,6.00518
