"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"288819",792,792,3235,2906,6141,0.1294,0.0387466666666667,0.06141,6121,5533,1403,1236,2639,0.05612,0.01648,0.02639,3786,11414,15200,0.15144,0.152186666666667,0.152,514,436,219,173,3588,12955,3309,2983,6292,0.13236,0.0397733333333333,0.06292,15286,56507,17583,58568,76151,0.70332,0.780906666666667,0.76151,756,1560,2316,0.03024,0.0208,0.02316,5840,35444,41284,0.2336,0.472586666666667,0.41284,6596,37004,83,216,0.0125833838690115,0.0058372067884553,53,64,0.0080351728320194,0.0017295427521349,136,280,0.0206185567010309,0.00756674954059021,0.69950639669588,0.729361817362911,0.756135776800744,0.312169312169312,0.660004693296647,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",89,TRUE,"highUnequal",0.387830687830688,0.0399953067033532,0.387337084526568,0.0693571240662642,0.393937345052964,0.0434008712665694,0.393744604930895,0.10117617564725,0.06292,0.11833,0.21409,89,104,0.7,0.2,0.1,62,134762686,6.00502
"289167",87,87,2812,2549,5361,0.11248,0.0339866666666667,0.05361,5159,4717,1220,1034,2254,0.0488,0.0137866666666667,0.02254,3807,11393,15200,0.15228,0.151906666666667,0.152,438,390,195,161,4004,13846,2718,2458,5176,0.10872,0.0327733333333333,0.05176,15828,56436,17798,58212,76010,0.71192,0.77616,0.7601,1385,1326,2711,0.0554,0.01768,0.02711,10794,34815,45609,0.43176,0.4642,0.45609,12179,36141,179,158,0.0146974300024633,0.00437176613818101,54,49,0.00443386156498892,0.00135580089095487,233,207,0.0191312915674522,0.00572756702913588,0.698552857493255,0.723502564299369,0.746369053178994,0.68086642599278,0.703168651629993,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",86,TRUE,"equal",0.0191335740072203,-0.00316865162999269,0.0176864315004751,0.020333912669376,0.00763990267639891,-0.0399361698004665,0.00440211074433949,0.015088643324714,0.05176,0.11993,0.21394,86,105,0.7,0.2,0.1,63,649758597,6.00504
"289518",438,438,2812,2549,5361,0.11248,0.0339866666666667,0.05361,5159,4717,1220,1034,2254,0.0488,0.0137866666666667,0.02254,3807,11393,15200,0.15228,0.151906666666667,0.152,438,390,195,161,4004,13846,2718,2458,5176,0.10872,0.0327733333333333,0.05176,15828,56436,17798,58212,76010,0.71192,0.77616,0.7601,860,1326,2186,0.0344,0.01768,0.02186,7041,34815,41856,0.28164,0.4642,0.41856,7901,36141,108,158,0.0136691558030629,0.00437176613818101,49,49,0.00620174661435261,0.00135580089095487,157,207,0.0198709024174155,0.00572756702913588,0.698552857493255,0.723502564299369,0.746369053178994,0.486046511627907,0.688173501798543,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",86,TRUE,"modUnequal",0.213953488372093,0.0118264982014569,0.212506345865348,0.0353290625008256,0.224734395750332,0.00904887329019166,0.221496603818273,0.0640736864153723,0.05176,0.11993,0.21394,86,105,0.7,0.2,0.1,63,649758597,6.00504
"289869",789,789,2812,2549,5361,0.11248,0.0339866666666667,0.05361,5159,4717,1220,1034,2254,0.0488,0.0137866666666667,0.02254,3807,11393,15200,0.15228,0.151906666666667,0.152,438,390,195,161,4004,13846,2718,2458,5176,0.10872,0.0327733333333333,0.05176,15828,56436,17798,58212,76010,0.71192,0.77616,0.7601,592,1326,1918,0.02368,0.01768,0.01918,5807,34815,40622,0.23228,0.4642,0.40622,6399,36141,75,158,0.0117205813408345,0.00437176613818101,49,49,0.00765744647601188,0.00135580089095487,124,207,0.0193780278168464,0.00572756702913588,0.698552857493255,0.723502564299369,0.746369053178994,0.253378378378378,0.626399676281193,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",86,TRUE,"highUnequal",0.446621621621622,0.0736003237188072,0.445174479114877,0.0971028880181759,0.421689497716895,0.0615898360285985,0.418451705784835,0.116614649153779,0.05176,0.11993,0.21394,86,105,0.7,0.2,0.1,63,649758597,6.00504
"290230",97,97,3193,2844,6037,0.12772,0.03792,0.06037,6340,5575,1374,1214,2588,0.05496,0.0161866666666667,0.02588,3837,11363,15200,0.15348,0.151506666666667,0.152,462,428,189,169,3192,11533,3494,3025,6519,0.13976,0.0403333333333333,0.06519,15461,57889,17842,60038,77880,0.71368,0.800506666666667,0.7788,1884,1621,3505,0.07536,0.0216133333333333,0.03505,11133,36792,47925,0.44532,0.49056,0.47925,13017,38413,247,223,0.0189751862948452,0.00580532632181813,74,79,0.00568487362679573,0.00205659542342436,321,302,0.0246600599216409,0.0078619217452425,0.711410036252624,0.742711842507377,0.7687700895076,0.713198867657466,0.739647993609799,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",96,TRUE,"equal",-0.0131988676574664,-0.0396479936097989,-0.00178883140484276,0.0030638488975786,-0.00742932281393827,-0.0543136977220064,-0.000411225170840579,0.0104950729154194,0.06519,0.11905,0.21056,96,111,0.7,0.2,0.1,64,862105495,6.00544
"290581",448,448,3193,2844,6037,0.12772,0.03792,0.06037,6340,5575,1374,1214,2588,0.05496,0.0161866666666667,0.02588,3837,11363,15200,0.15348,0.151506666666667,0.152,462,428,189,169,3192,11533,3494,3025,6519,0.13976,0.0403333333333333,0.06519,15461,57889,17842,60038,77880,0.71368,0.800506666666667,0.7788,1045,1621,2666,0.0418,0.0216133333333333,0.02666,7321,36792,44113,0.29284,0.49056,0.44113,8366,38413,118,223,0.0141047095386087,0.00580532632181813,77,79,0.00920392063112599,0.00205659542342436,195,302,0.0233086301697346,0.0078619217452425,0.711410036252624,0.742711842507377,0.7687700895076,0.482934609250399,0.691337595753602,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",96,TRUE,"modUnequal",0.217065390749601,0.00866240424639841,0.228475427002225,0.0513742467537759,0.226538201487491,0.00511546405134944,0.233556299130589,0.0699242346887753,0.06519,0.11905,0.21056,96,111,0.7,0.2,0.1,64,862105495,6.00544
"290932",799,799,3193,2844,6037,0.12772,0.03792,0.06037,6340,5575,1374,1214,2588,0.05496,0.0161866666666667,0.02588,3837,11363,15200,0.15348,0.151506666666667,0.152,462,428,189,169,3192,11533,3494,3025,6519,0.13976,0.0403333333333333,0.06519,15461,57889,17842,60038,77880,0.71368,0.800506666666667,0.7788,783,1621,2404,0.03132,0.0216133333333333,0.02404,6148,36792,42940,0.24592,0.49056,0.4294,6931,38413,80,223,0.0115423459818208,0.00580532632181813,65,79,0.0093781561102294,0.00205659542342436,145,302,0.0209205020920502,0.0078619217452425,0.711410036252624,0.742711842507377,0.7687700895076,0.309919114516816,0.654059256037947,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",96,TRUE,"highUnequal",0.390080885483184,0.0459407439620529,0.401490921735808,0.0886525864694304,0.392222222222222,0.0486142039542143,0.39924031986532,0.11342297459164,0.06519,0.11905,0.21056,96,111,0.7,0.2,0.1,64,862105495,6.00544
"291279",93,93,3646,3357,7003,0.14584,0.04476,0.07003,7418,6871,1547,1499,3046,0.06188,0.0199866666666667,0.03046,3787,11413,15200,0.15148,0.152173333333333,0.152,577,516,271,242,3155,11980,4046,3740,7786,0.16184,0.0498666666666667,0.07786,14421,56145,17202,58756,75958,0.68808,0.783413333333333,0.75958,2229,2050,4279,0.08916,0.0273333333333333,0.04279,10808,35887,46695,0.43232,0.478493333333333,0.46695,13037,37937,281,281,0.0215540385057912,0.00740701689643356,78,91,0.00598297154253279,0.00239871365685215,359,372,0.027537010048324,0.00980573055328571,0.69187675070028,0.729372176401366,0.762573049524378,0.693435023179303,0.723017727633007,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",92,TRUE,"equal",0.00656497682069679,-0.0230177276330071,-0.00155827247902307,0.00635444876835878,0.00261660978384515,-0.0406318600558071,-0.00537322972660403,0.00536743197166323,0.07786,0.11109,0.21195,92,101,0.7,0.2,0.1,65,473214034,6.00534
"291630",444,444,3646,3357,7003,0.14584,0.04476,0.07003,7418,6871,1547,1499,3046,0.06188,0.0199866666666667,0.03046,3787,11413,15200,0.15148,0.152173333333333,0.152,577,516,271,242,3155,11980,4046,3740,7786,0.16184,0.0498666666666667,0.07786,14421,56145,17202,58756,75958,0.68808,0.783413333333333,0.75958,1257,2050,3307,0.05028,0.0273333333333333,0.03307,7068,35887,42955,0.28272,0.478493333333333,0.42955,8325,37937,164,281,0.0196996996996997,0.00740701689643356,75,91,0.00900900900900901,0.00239871365685215,239,372,0.0287087087087087,0.00980573055328571,0.69187675070028,0.729372176401366,0.762573049524378,0.456377618668788,0.678798200636804,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",92,TRUE,"modUnequal",0.243622381331212,0.021201799363196,0.235499132031492,0.0505739757645619,0.228063526439271,0.00642555542222056,0.220073686928822,0.0524248474496909,0.07786,0.11109,0.21195,92,101,0.7,0.2,0.1,65,473214034,6.00534
"291981",795,795,3646,3357,7003,0.14584,0.04476,0.07003,7418,6871,1547,1499,3046,0.06188,0.0199866666666667,0.03046,3787,11413,15200,0.15148,0.152173333333333,0.152,577,516,271,242,3155,11980,4046,3740,7786,0.16184,0.0498666666666667,0.07786,14421,56145,17202,58756,75958,0.68808,0.783413333333333,0.75958,924,2050,2974,0.03696,0.0273333333333333,0.02974,5973,35887,41860,0.23892,0.478493333333333,0.4186,6897,37937,111,281,0.016093953892997,0.00740701689643356,78,91,0.0113092648977816,0.00239871365685215,189,372,0.0274032187907786,0.00980573055328571,0.69187675070028,0.729372176401366,0.762573049524378,0.26046176046176,0.630735761855666,"VE Susc.= 0.7","VE Infect.= 0.2","VE Susc.= 0.7 VE Infect.= 0.2",92,TRUE,"highUnequal",0.43953823953824,0.069264238144334,0.43141499023852,0.0986364145456999,0.424078198465726,0.0629882031118282,0.416088358955277,0.108987495139299,0.07786,0.11109,0.21195,92,101,0.7,0.2,0.1,65,473214034,6.00534
